Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63844554633290;457262;1;100;0,000106;3ea2f30248
63844554633688;457596;1;100;7,6E-05;3ea2f30248
63844554634187;457929;1;100;0,000101;3ea2f30248
63844554634320;458129;1;100;7,6E-05;3ea2f30248
63844554639620;463328;1;100;0,000432;3ea2f30248
63844554640554;464195;1;100;0,000573;3ea2f30248
63844554641354;464795;1;100;0,000401;3ea2f30248
63844554642088;466062;1;100;9,3E-05;3ea2f30248
63844554648020;471861;1;100;6,2E-05;3ea2f30248
63844554649354;473061;1;100;0,000274;3ea2f30248
63844554649654;473394;1;100;0,000223;3ea2f30248
63844554650020;473927;1;100;0,000176;3ea2f30248
63844554651253;474860;1;100;0,000307;3ea2f30248
63844554654820;478461;1;100;0,00039;3ea2f30248
63844554655020;478927;1;100;0,00011;3ea2f30248
63844554655787;479393;1;100;4,7E-05;3ea2f30248
63844554655854;479593;1;100;7,3E-05;3ea2f30248
63844554656553;480127;1;100;0,00073;3ea2f30248
63844554658320;481594;1;100;0,000774;3ea2f30248
63844554658587;482527;1;100;4,8E-05;3ea2f30248
63844554658887;482727;1;100;0,00024;3ea2f30248
63844554659287;483127;1;100;7,5E-05;3ea2f30248
63844554659887;483860;1;100;3,7E-05;3ea2f30248
63844554661020;484793;1;100;0,000542;3ea2f30248
63844554661220;485193;1;100;0,000285;3ea2f30248
63844554661653;485526;1;100;0,000157;3ea2f30248
63844554661920;485726;1;100;0,000418;3ea2f30248
63844554663953;487326;1;100;0,000541;3ea2f30248
63844554664287;488193;1;100;0,000141;3ea2f30248
63844554664487;488393;1;100;7,1E-05;3ea2f30248
63844554664887;488792;1;100;2,2E-05;3ea2f30248
63844554666122;490059;1;100;3,3E-05;3ea2f30248
63844554667887;491592;1;100;0,000209;3ea2f30248
63844554668487;492392;1;100;7,1E-05;3ea2f30248
63844554668920;492592;1;100;0,000314;3ea2f30248
63844554675353;499192;1;100;0,000116;3ea2f30248
63844554675953;499792;1;100;0,000144;3ea2f30248
63844554680719;504524;1;100;0,000186;3ea2f30248
63844554681020;504858;1;100;0,000247;3ea2f30248
63844554682487;506191;1;100;0,000176;3ea2f30248
63844554688886;512724;1;100;0,000216;3ea2f30248
63844554689586;513190;1;100;0,000283;3ea2f30248
63844554689887;513590;1;100;0,000513;3ea2f30248
63844554690319;513990;1;100;0,000347;3ea2f30248
63844554696020;519789;1;100;0,000201;3ea2f30248
63844554696787;520257;1;100;0,000224;3ea2f30248
63844554696787;520657;1;100;1,1E-05;3ea2f30248
63844554699053;522456;1;100;0,000174;3ea2f30248
63844554699188;523056;1;100;1,1E-05;3ea2f30248
63844554700019;523589;1;100;0,000283;3ea2f30248
63844554700419;524256;1;100;0,000108;3ea2f30248
63844554700553;524522;1;100;6,8E-05;3ea2f30248
63844554700853;524722;1;100;0,000199;3ea2f30248
63844554702153;525656;-1;100;0,000817;3ea2f30248
63844554702553;526522;-1;100;2,3E-05;3ea2f30248
63844554703286;527255;-1;100;0,000201;3ea2f30248
63844554705319;529122;-1;100;0,000213;3ea2f30248
63844554706620;530388;-1;100;0,000156;3ea2f30248
63844554708686;532321;-1;100;8,7E-05;3ea2f30248
63844554708819;532721;-1;100;7,5E-05;3ea2f30248
63844554709486;533055;-1;100;0,000447;3ea2f30248
63844554709986;533788;-1;100;0,00025;3ea2f30248
63844554710386;534255;-1;100;0,000222;3ea2f30248
63844554711119;534922;-1;100;0,000176;3ea2f30248
63844554711420;535188;-1;100;0,000318;3ea2f30248
63844554712019;535788;-1;100;0,00023;3ea2f30248
63844554717452;540988;2;100;0,000651;3ea2f30248
63844554717753;541588;2;100;0,000288;3ea2f30248
63844554718287;541854;2;100;0,000108;3ea2f30248
63844554718753;542720;2;100;0,000181;3ea2f30248
63844554720687;544454;2;100;0,000152;3ea2f30248
63844554721254;545120;2;100;0,000121;3ea2f30248
63844554721455;545320;2;100;0,000176;3ea2f30248
63844554721953;545853;2;100;0,000237;3ea2f30248
63844554723086;546721;2;100;6E-06;3ea2f30248
63844554723486;547053;2;100;0,000373;3ea2f30248
