Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844554633488;457596;1;100;43,2926;3ea2f30248
63844554634154;457862;1;100;44,8741;3ea2f30248
63844554634187;458195;1;100;46,4372;3ea2f30248
63844554634588;458662;1;100;47,9823;3ea2f30248
63844554634788;458862;1;100;47,4272;3ea2f30248
63844554635087;459195;1;100;46,8786;3ea2f30248
63844554635487;459595;1;100;46,3363;3ea2f30248
63844554635787;459862;1;100;45,8002;3ea2f30248
63844554636087;460195;1;100;45,2704;3ea2f30248
63844554636588;460529;1;100;44,7467;3ea2f30248
63844554636787;460862;1;100;44,2291;3ea2f30248
63844554637188;461262;1;100;43,7175;3ea2f30248
63844554637454;461528;1;100;43,2117;3ea2f30248
63844554637787;461862;1;100;42,7119;3ea2f30248
63844554638088;462195;1;100;42,2178;3ea2f30248
63844554638487;462595;1;100;41,7294;3ea2f30248
63844554638954;462928;1;100;41,2467;3ea2f30248
63844554639120;463195;1;100;40,7695;3ea2f30248
63844554639420;463528;1;100;40,2979;3ea2f30248
63844554639820;463928;1;100;41,914;3ea2f30248
63844554640187;464195;1;100;41,4291;3ea2f30248
63844554640454;464528;1;100;40,9499;3ea2f30248
63844554640788;464862;1;100;42,5584;3ea2f30248
63844554641387;465195;1;100;44,1483;3ea2f30248
63844554641554;465595;1;100;43,6376;3ea2f30248
63844554641787;465861;1;100;43,1328;3ea2f30248
63844554642088;466195;1;100;44,7161;3ea2f30248
63844554642420;466528;1;100;44,1988;3ea2f30248
63844554642754;466861;1;100;43,6875;3ea2f30248
63844554643220;467261;1;100;43,1822;3ea2f30248
63844554643787;467595;1;100;42,6826;3ea2f30248
63844554643788;467861;1;100;42,1889;3ea2f30248
63844554644154;468194;1;100;41,7008;3ea2f30248
63844554644487;468595;1;100;41,2184;3ea2f30248
63844554644854;468928;1;100;40,7416;3ea2f30248
63844554645120;469194;1;100;40,2703;3ea2f30248
63844554645454;469528;1;100;39,8044;3ea2f30248
63844554645754;469861;1;100;39,344;3ea2f30248
63844554646288;470261;1;100;38,8889;3ea2f30248
63844554646454;470528;1;100;38,439;3ea2f30248
63844554646754;470861;1;100;37,9943;3ea2f30248
63844554647087;471194;1;100;37,5548;3ea2f30248
63844554647487;471594;1;100;37,1204;3ea2f30248
63844554647787;471861;1;100;36,691;3ea2f30248
63844554648120;472194;1;100;38,3488;3ea2f30248
63844554648754;472527;1;100;37,9051;3ea2f30248
63844554648820;472927;1;100;37,4667;3ea2f30248
63844554649354;473394;1;100;37,0332;3ea2f30248
63844554649654;473661;1;100;38,6871;3ea2f30248
63844554649820;473927;1;100;40,3218;3ea2f30248
63844554650187;474194;1;100;41,9376;3ea2f30248
63844554650453;474527;1;100;41,4525;3ea2f30248
63844554651020;474860;1;100;40,9729;3ea2f30248
63844554651154;475260;1;100;40,499;3ea2f30248
63844554651454;475527;1;100;42,1127;3ea2f30248
63844554651754;475860;1;100;41,6256;3ea2f30248
63844554652187;476260;1;100;41,144;3ea2f30248
63844554652488;476594;1;100;40,6681;3ea2f30248
63844554652787;476860;1;100;40,1976;3ea2f30248
63844554653387;477194;1;100;39,7326;3ea2f30248
63844554653520;477594;1;100;39,273;3ea2f30248
63844554653787;477860;1;100;38,8187;3ea2f30248
63844554654120;478194;1;100;38,3696;3ea2f30248
63844554654420;478527;1;100;37,9258;3ea2f30248
63844554654820;478927;1;100;39,5693;3ea2f30248
63844554655154;479193;1;100;41,1938;3ea2f30248
63844554655787;479527;1;100;42,7995;3ea2f30248
63844554655854;479927;1;100;44,3867;3ea2f30248
63844554656220;480260;1;100;43,8732;3ea2f30248
63844554656453;480527;1;100;43,3657;3ea2f30248
63844554656754;480860;1;100;44,9463;3ea2f30248
63844554657153;481260;1;100;44,4263;3ea2f30248
63844554657453;481527;1;100;43,9124;3ea2f30248
63844554657754;481860;1;100;43,4044;3ea2f30248
63844554658320;482193;1;100;44,9846;3ea2f30248
63844554658487;482593;1;100;44,4642;3ea2f30248
63844554658787;482860;1;100;46,0321;3ea2f30248
63844554659087;483193;1;100;47,5818;3ea2f30248
63844554659487;483593;1;100;49,1136;3ea2f30248
63844554659787;483860;1;100;48,5455;3ea2f30248
63844554660120;484193;1;100;50,0662;3ea2f30248
63844554660588;484526;1;100;49,487;3ea2f30248
63844554660820;484926;1;100;48,9145;3ea2f30248
63844554661220;485193;1;100;50,4309;3ea2f30248
63844554661420;485526;1;100;51,9298;3ea2f30248
63844554661855;485926;1;100;53,4113;3ea2f30248
63844554662220;486193;1;100;54,8757;3ea2f30248
63844554662454;486526;1;100;54,2409;3ea2f30248
63844554663054;486859;1;100;53,6134;3ea2f30248
63844554663154;487259;1;100;52,9932;3ea2f30248
63844554663453;487526;1;100;52,3802;3ea2f30248
63844554663753;487859;1;100;51,7743;3ea2f30248
63844554664187;488259;1;100;53,2576;3ea2f30248
63844554664487;488592;1;100;54,7237;3ea2f30248
63844554664787;488859;1;100;56,1729;3ea2f30248
63844554665387;489192;1;100;57,6054;3ea2f30248
63844554665520;489592;1;100;56,939;3ea2f30248
63844554665787;489859;1;100;56,2803;3ea2f30248
63844554666122;490192;1;100;57,7115;3ea2f30248
63844554666420;490526;1;100;57,0439;3ea2f30248
63844554666820;490926;1;100;56,384;3ea2f30248
63844554667220;491192;1;100;55,7318;3ea2f30248
63844554667786;491592;1;100;55,0871;3ea2f30248
63844554667853;491859;1;100;54,4498;3ea2f30248
63844554668087;492192;1;100;55,9022;3ea2f30248
63844554668487;492592;1;100;57,3378;3ea2f30248
63844554668787;492859;1;100;56,6745;3ea2f30248
63844554669120;493192;1;100;58,1011;3ea2f30248
63844554669420;493525;1;100;57,429;3ea2f30248
63844554670220;493925;1;100;56,7646;3ea2f30248
63844554670220;494258;1;100;56,108;3ea2f30248
63844554670453;494592;1;100;55,4589;3ea2f30248
