Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63844988624933;922201;0;100;-18768,8;3ff709a4a6
63844988624999;922335;0;100;-18768,8;3ff709a4a6
63844988624999;922335;0;100;-18769,6;3ff709a4a6
63844988625099;922401;0;100;-18769,4;3ff709a4a6
63844988625199;922535;0;100;-18770;3ff709a4a6
63844988625199;922535;0;100;-18767;3ff709a4a6
63844988625299;922601;0;100;-18768,2;3ff709a4a6
63844988625399;922735;0;100;-18767,4;3ff709a4a6
63844988625399;922735;0;100;-18766,2;3ff709a4a6
63844988625499;922868;0;100;-18766,6;3ff709a4a6
63844988625499;922868;0;100;-18770,4;3ff709a4a6
63844988625599;922935;0;100;-18770;3ff709a4a6
63844988625699;923068;0;100;-18771,4;3ff709a4a6
63844988625699;923068;0;100;-18770,6;3ff709a4a6
63844988625799;923135;0;100;-18773,2;3ff709a4a6
63844988625899;923268;0;100;-18778,6;3ff709a4a6
63844988625899;923268;0;100;-18780,6;3ff709a4a6
63844988626398;923335;0;100;-18783,4;3ff709a4a6
63844988626499;923468;0;100;-18787,2;3ff709a4a6
63844988626499;923468;0;100;-18789,2;3ff709a4a6
63844988626499;923535;0;100;-18790,8;3ff709a4a6
63844988626499;923668;0;100;-18791,8;3ff709a4a6
63844988626499;923668;0;100;-18794,4;3ff709a4a6
63844988626499;923734;0;100;-18796,4;3ff709a4a6
63844988626532;923868;0;100;-18797,8;3ff709a4a6
63844988626532;923868;0;100;-18798,8;3ff709a4a6
63844988626632;923935;0;100;-18799,8;3ff709a4a6
63844988626732;924068;0;100;-18799,4;3ff709a4a6
63844988626732;924068;0;100;-18799,8;3ff709a4a6
63844988626865;924135;0;100;-18801;3ff709a4a6
63844988626965;924268;0;100;-18803;3ff709a4a6
63844988626965;924268;0;100;-18802,8;3ff709a4a6
63844988627032;924334;0;100;-18802,6;3ff709a4a6
63844988627132;924468;0;100;-18800,8;3ff709a4a6
63844988627132;924468;0;100;-18800,2;3ff709a4a6
63844988627232;924601;0;100;-18800,4;3ff709a4a6
63844988627232;924601;0;100;-18801,4;3ff709a4a6
63844988627332;924668;0;100;-18802,8;3ff709a4a6
63844988627465;924801;0;100;-18803,4;3ff709a4a6
63844988627465;924801;0;100;-18802,4;3ff709a4a6
63844988627532;924868;0;100;-18800,8;3ff709a4a6
63844988627632;925001;0;100;-18800;3ff709a4a6
63844988627632;925001;0;100;-18797,2;3ff709a4a6
63844988627732;925068;0;100;-18796,6;3ff709a4a6
63844988627865;925201;0;100;-18798,2;3ff709a4a6
63844988627865;925201;0;100;-18795,2;3ff709a4a6
63844988627932;925268;0;100;-18794,2;3ff709a4a6
63844988628065;925401;0;100;-18790,6;3ff709a4a6
63844988628065;925401;0;100;-18793;3ff709a4a6
63844988628132;925468;0;100;-18792,6;3ff709a4a6
