Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844988625199;922535;0;100;7,33;3ff709a4a6
63844988625499;922868;0;100;7,2452;3ff709a4a6
63844988625799;923135;0;100;7,1614;3ff709a4a6
63844988626499;923468;0;100;7,0785;3ff709a4a6
63844988626532;923868;0;100;6,9966;3ff709a4a6
63844988626865;924135;0;100;8,998;3ff709a4a6
63844988627132;924468;0;100;8,8939;3ff709a4a6
63844988627465;924801;0;100;8,791;3ff709a4a6
63844988627865;925201;0;100;8,6893;3ff709a4a6
63844988628132;925468;0;100;8,5888;3ff709a4a6
63844988628799;925801;0;100;8,4894;3ff709a4a6
63844988628865;926201;0;100;8,3912;3ff709a4a6
63844988629165;926468;0;100;8,2941;3ff709a4a6
63844988629465;926801;0;100;8,1982;3ff709a4a6
63844988629765;927134;0;100;8,1033;3ff709a4a6
63844988630199;927534;0;100;8,0096;3ff709a4a6
63844988630499;927801;0;100;7,917;3ff709a4a6
63844988631199;928134;0;100;7,8254;3ff709a4a6
63844988631299;928467;0;100;7,7348;3ff709a4a6
63844988631498;928867;0;100;7,6454;3ff709a4a6
63844988631832;929134;0;100;7,5569;3ff709a4a6
63844988632132;929467;0;100;7,4695;3ff709a4a6
63844988632532;929867;0;100;7,3831;3ff709a4a6
63844988632832;930201;0;100;7,2977;3ff709a4a6
63844988633132;930467;0;100;7,2133;3ff709a4a6
63844988633632;930800;0;100;7,1298;3ff709a4a6
63844988633865;931200;0;100;7,0473;3ff709a4a6
63844988634165;931467;0;100;6,9658;3ff709a4a6
63844988634466;931800;0;100;6,8852;3ff709a4a6
63844988634865;932200;0;100;6,8056;3ff709a4a6
63844988635165;932534;0;100;6,7269;3ff709a4a6
63844988635465;932800;0;100;6,649;3ff709a4a6
63844988635998;933134;0;100;6,5721;3ff709a4a6
63844988636199;933534;0;100;6,4961;3ff709a4a6
63844988636499;933800;0;100;6,421;3ff709a4a6
63844988636799;934134;0;100;6,3467;3ff709a4a6
63844988637098;934467;0;100;6,2733;3ff709a4a6
63844988637498;934867;0;100;6,2007;3ff709a4a6
63844988637798;935134;0;100;6,129;3ff709a4a6
63844988638398;935467;0;100;6,0581;3ff709a4a6
63844988638565;935867;0;100;5,988;3ff709a4a6
63844988638831;936133;0;100;5,9187;3ff709a4a6
63844988639132;936467;0;100;5,8502;3ff709a4a6
63844988639465;936800;0;100;5,7826;3ff709a4a6
63844988639932;937200;0;100;7,7979;3ff709a4a6
63844988640165;937467;0;100;7,7077;3ff709a4a6
63844988640798;937800;0;100;7,6186;3ff709a4a6
63844988640865;938200;0;100;7,5304;3ff709a4a6
63844988641165;938533;0;100;7,4433;3ff709a4a6
63844988641465;938800;0;100;7,3572;3ff709a4a6
63844988641765;939133;0;100;7,2721;3ff709a4a6
63844988642198;939533;0;100;7,188;3ff709a4a6
63844988642498;939800;0;100;7,1048;3ff709a4a6
63844988642798;940133;0;100;7,0226;3ff709a4a6
63844988643299;940466;0;100;9,0236;3ff709a4a6
63844988643498;940866;0;100;8,9193;3ff709a4a6
63844988643799;941133;0;100;8,8161;3ff709a4a6
63844988644131;941466;0;100;8,7141;3ff709a4a6
63844988644531;941866;0;100;8,6133;3ff709a4a6
63844988644899;942199;0;100;8,5137;3ff709a4a6
63844988645132;942466;0;100;8,4152;3ff709a4a6
63844988645732;942866;0;100;8,3178;3ff709a4a6
63844988645898;943199;0;100;8,2216;3ff709a4a6
63844988646165;943466;0;100;8,1265;3ff709a4a6
63844988646465;943799;0;100;8,0325;3ff709a4a6
63844988646765;944133;0;100;7,9396;3ff709a4a6
63844988647165;944532;0;100;7,8477;3ff709a4a6
63844988647532;944799;0;100;7,7569;3ff709a4a6
63844988648065;945132;0;100;7,6672;3ff709a4a6
63844988648132;945466;0;100;11,743;3ff709a4a6
63844988648531;945866;0;100;11,6072;3ff709a4a6
63844988648831;946132;0;100;11,4729;3ff709a4a6
63844988649132;946466;0;100;11,3402;3ff709a4a6
63844988649532;946866;0;100;11,209;3ff709a4a6
63844988649832;947199;0;100;11,0793;3ff709a4a6
63844988650432;947465;0;100;10,9512;3ff709a4a6
63844988650432;947799;0;100;10,8245;3ff709a4a6
63844988650798;948132;0;100;10,6993;3ff709a4a6
63844988651098;948465;0;100;10,5755;3ff709a4a6
63844988651531;948865;0;100;10,4532;3ff709a4a6
63844988651798;949132;0;100;10,3322;3ff709a4a6
63844988652132;949465;0;100;10,2127;3ff709a4a6
63844988652865;949865;0;100;10,0946;3ff709a4a6
63844988652965;950199;0;100;9,9778;3ff709a4a6
63844988653132;950465;0;100;9,8624;3ff709a4a6
63844988653432;950798;0;100;9,7483;3ff709a4a6
63844988653898;951199;0;100;9,6355;3ff709a4a6
63844988654165;951465;0;100;9,524;3ff709a4a6
63844988654465;951798;0;100;9,4139;3ff709a4a6
63844988655331;952198;0;100;9,305;3ff709a4a6
63844988655332;952532;0;100;9,1973;3ff709a4a6
63844988655465;952798;0;100;9,0909;3ff709a4a6
63844988655765;953132;0;100;8,9858;3ff709a4a6
63844988656199;953532;0;100;8,8818;3ff709a4a6
63844988656498;953798;0;100;8,7791;3ff709a4a6
63844988656798;954131;0;100;8,6775;3ff709a4a6
63844988657098;954465;0;100;8,5771;3ff709a4a6
63844988657665;954865;0;100;8,4779;3ff709a4a6
63844988657798;955131;0;100;8,3798;3ff709a4a6
63844988658098;955465;0;100;8,2829;3ff709a4a6
63844988658531;955865;0;100;12,3516;3ff709a4a6
63844988658831;956131;0;100;12,2087;3ff709a4a6
63844988659132;956465;0;100;12,0675;3ff709a4a6
63844988659432;956798;0;100;11,9279;3ff709a4a6
63844988660031;957198;0;100;11,7899;3ff709a4a6
63844988660198;957465;0;100;11,6535;3ff709a4a6
63844988660465;957798;0;100;13,601;3ff709a4a6
63844988660765;958131;0;100;13,4436;3ff709a4a6
63844988661165;958531;0;100;13,2881;3ff709a4a6
63844988661498;958798;0;100;13,1344;3ff709a4a6
63844988661798;959131;0;100;12,9824;3ff709a4a6
63844988662531;959531;0;100;12,8323;3ff709a4a6
