Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63845150708234;2397564;0;100;56;4e8ae8d588
63845150709898;2398484;0;100;92;4e8ae8d588
63845150709899;2399057;0;100;95;4e8ae8d588
63845150710898;2400180;0;100;86;4e8ae8d588
63845150712065;2401344;0;100;79;4e8ae8d588
63845150713765;2402823;0;100;70;4e8ae8d588
63845150714931;2404197;0;100;64;4e8ae8d588
63845150716265;2405423;0;100;61;4e8ae8d588
63845150717398;2406706;0;100;58;4e8ae8d588
63845150718131;2407436;0;100;64;4e8ae8d588
63845150719431;2408796;0;100;59;4e8ae8d588
63845150719965;2409236;0;100;77;4e8ae8d588
63845150720965;2410109;0;100;75;4e8ae8d588
63845150721898;2411176;0;100;71;4e8ae8d588
63845150726364;2415659;0;100;58;4e8ae8d588
63845150731165;2420502;0;100;48;4e8ae8d588
63845150731764;2421102;0;100;60;4e8ae8d588
63845150733064;2422362;0;100;57;4e8ae8d588
63845150733798;2423135;0;100;62;4e8ae8d588
63845150739298;2428607;0;100;51;4e8ae8d588
63845150740731;2430017;0;100;49;4e8ae8d588
63845150741698;2431027;0;100;51;4e8ae8d588
63845150743298;2432574;0;100;49;4e8ae8d588
63845150744998;2434300;0;100;46;4e8ae8d588
63845150745364;2434624;0;100;77;4e8ae8d588
63845150745897;2435170;0;100;85;4e8ae8d588
63845150746931;2436204;0;100;79;4e8ae8d588
63845150749197;2438470;0;100;67;4e8ae8d588
63845150750931;2440273;0;100;60;4e8ae8d588
63845150752864;2442156;0;100;54;4e8ae8d588
63845150753664;2442940;0;100;59;4e8ae8d588
63845150756231;2445546;0;100;51;4e8ae8d588
63845150757031;2446299;0;100;58;4e8ae8d588
63845150758264;2447586;0;100;55;4e8ae8d588
63845150759997;2449262;0;100;51;4e8ae8d588
63845150762130;2451455;0;100;46;4e8ae8d588
63845150763397;2452725;0;100;46;4e8ae8d588
63845150764297;2453288;0;100;60;4e8ae8d588
63845150764664;2453992;0;100;66;4e8ae8d588
63845150765264;2454562;0;100;75;4e8ae8d588
63845150766630;2455665;0;100;70;4e8ae8d588
63845150766764;2456078;0;100;88;4e8ae8d588
63845150768365;2457645;0;100;77;4e8ae8d588
63845150769098;2458304;0;100;80;4e8ae8d588
63845150770097;2459388;0;100;75;4e8ae8d588
63845150771431;2460548;0;100;70;4e8ae8d588
63845150771730;2461024;0;100;83;4e8ae8d588
63845150772164;2461444;0;100;97;4e8ae8d588
63845150772764;2462017;0;100;99;4e8ae8d588
63845150775097;2464357;0;100;83;4e8ae8d588
63845150776364;2465430;1;100;77;4e8ae8d588
63845150777264;2466570;1;100;72;4e8ae8d588
63845150777764;2467110;1;100;81;4e8ae8d588
63845150778164;2467500;1;100;97;4e8ae8d588
63845150779697;2469024;1;100;84;4e8ae8d588
63845150781064;2469957;1;100;80;4e8ae8d588
63845150784463;2473816;1;100;66;4e8ae8d588
63845150785063;2474376;1;100;75;4e8ae8d588
63845150786096;2475423;1;100;71;4e8ae8d588
63845150787796;2477063;1;100;64;4e8ae8d588
63845150789863;2479142;1;100;56;4e8ae8d588
63845150790764;2480109;1;100;57;4e8ae8d588
63845150792596;2481886;1;100;52;4e8ae8d588
63845150793230;2482445;1;100;64;4e8ae8d588
63845150794196;2483415;1;100;64;4e8ae8d588
63845150794630;2483886;1;100;78;4e8ae8d588
63845150797996;2487105;1;100;65;4e8ae8d588
63845150800263;2489185;1;100;57;4e8ae8d588
63845150800863;2490158;1;100;58;4e8ae8d588
63845150801596;2490905;1;100;63;4e8ae8d588
63845150802163;2491405;1;100;77;4e8ae8d588
63845150803696;2492934;1;100;68;4e8ae8d588
63845150805663;2494921;1;100;60;4e8ae8d588
63845150806363;2495661;1;100;65;4e8ae8d588
63845150808496;2497794;1;100;57;4e8ae8d588
63845150809296;2498490;1;100;64;4e8ae8d588
63845150809396;2498747;1;100;101;4e8ae8d588
63845150810096;2499444;1;100;98;4e8ae8d588
63845150811729;2501050;1;100;84;4e8ae8d588
63845150813263;2502560;1;100;75;4e8ae8d588
63845150815563;2504887;1;100;64;4e8ae8d588
63845150817296;2506630;1;100;57;4e8ae8d588
63845150818096;2507400;1;100;62;4e8ae8d588
63845150819497;2508670;1;100;59;4e8ae8d588
63845150821863;2510786;1;100;52;4e8ae8d588
63845150822496;2511843;1;100;53;4e8ae8d588
63845150822996;2512329;1;100;69;4e8ae8d588
63845150824296;2513292;1;100;68;4e8ae8d588
63845150825863;2515159;1;100;60;4e8ae8d588
63845150828097;2517395;1;100;53;4e8ae8d588
63845150829131;2518382;1;100;55;4e8ae8d588
63845150829696;2518959;1;100;66;4e8ae8d588
63845150830329;2519662;1;100;70;4e8ae8d588
63845150831496;2520682;-1;100;68;4e8ae8d588
63845150832296;2521641;-1;100;67;4e8ae8d588
63845150833363;2522685;-1;100;65;4e8ae8d588
63845150835529;2524812;-1;100;57;4e8ae8d588
63845150837629;2526918;-1;100;51;4e8ae8d588
63845150839496;2528724;-1;100;47;4e8ae8d588
63845150841129;2530101;2;100;46;4e8ae8d588
63845150846030;2535290;2;100;39;4e8ae8d588
63845150846629;2535943;2;100;51;4e8ae8d588
63845150847163;2536490;2;100;64;4e8ae8d588
63845150849362;2538640;2;100;56;4e8ae8d588
63845150851462;2540810;2;100;50;4e8ae8d588
63845150851962;2541266;2;100;68;4e8ae8d588
63845150852463;2541793;2;100;79;4e8ae8d588
63845150853129;2542236;2;100;92;4e8ae8d588
63845150853396;2542673;2;100;102;4e8ae8d588
63845150854095;2543359;2;100;99;4e8ae8d588
63845150855029;2544329;2;100;91;4e8ae8d588
63845150855696;2545036;2;100;90;4e8ae8d588
63845150856696;2546042;2;100;83;4e8ae8d588
63845150857429;2546749;2;100;84;4e8ae8d588
63845150858729;2547999;2;100;76;4e8ae8d588
63845150861529;2550875;2;100;64;4e8ae8d588
63845150864162;2553505;2;100;55;4e8ae8d588
63845150865262;2554442;2;100;57;4e8ae8d588
63845150865828;2555158;2;100;63;4e8ae8d588
