Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63845150708234;2397569;0;100;-17926,4;4e8ae8d588
63845150708234;2397569;0;100;-17927,8;4e8ae8d588
63845150708332;2397636;0;100;-17930,6;4e8ae8d588
63845150708432;2397769;0;100;-17931,2;4e8ae8d588
63845150708432;2397769;0;100;-17931,8;4e8ae8d588
63845150709865;2398303;0;100;-17964,4;4e8ae8d588
63845150709865;2398303;0;100;-17963,6;4e8ae8d588
63845150709898;2398369;0;100;-17942;4e8ae8d588
63845150709898;2398503;0;100;-17927,8;4e8ae8d588
63845150709898;2398503;0;100;-17921,2;4e8ae8d588
63845150709899;2398569;0;100;-17924,8;4e8ae8d588
63845150709899;2398702;0;100;-17927,6;4e8ae8d588
63845150709899;2398702;0;100;-17930;4e8ae8d588
63845150709899;2398769;0;100;-17930,2;4e8ae8d588
63845150709899;2398902;0;100;-17929,2;4e8ae8d588
63845150709899;2398902;0;100;-17931,4;4e8ae8d588
63845150709899;2398969;0;100;-17932,4;4e8ae8d588
63845150709899;2399102;0;100;-17933,6;4e8ae8d588
63845150709899;2399102;0;100;-17931,4;4e8ae8d588
63845150709899;2399169;0;100;-17933;4e8ae8d588
63845150710032;2399302;0;100;-17934,4;4e8ae8d588
63845150710032;2399302;0;100;-17931,8;4e8ae8d588
63845150710098;2399369;0;100;-17930;4e8ae8d588
63845150710198;2399502;0;100;-17930,8;4e8ae8d588
63845150710198;2399502;0;100;-17931,4;4e8ae8d588
63845150710298;2399636;0;100;-17931,2;4e8ae8d588
63845150710298;2399636;0;100;-17930,2;4e8ae8d588
63845150710365;2399702;0;100;-17932;4e8ae8d588
63845150710498;2399836;0;100;-17934,6;4e8ae8d588
63845150710498;2399836;0;100;-17935,4;4e8ae8d588
63845150710598;2399902;0;100;-17934;4e8ae8d588
63845150710698;2400036;0;100;-17932,4;4e8ae8d588
63845150710698;2400036;0;100;-17935;4e8ae8d588
63845150710798;2400102;0;100;-17938;4e8ae8d588
63845150710898;2400236;0;100;-17937,6;4e8ae8d588
63845150710898;2400236;0;100;-17937,2;4e8ae8d588
63845150711331;2400302;0;100;-17935,8;4e8ae8d588
63845150711365;2400436;0;100;-17934,6;4e8ae8d588
63845150711365;2400436;0;100;-17931,8;4e8ae8d588
63845150711365;2400502;0;100;-17928,6;4e8ae8d588
63845150711365;2400636;0;100;-17932;4e8ae8d588
63845150711365;2400636;0;100;-17934;4e8ae8d588
63845150711398;2400702;0;100;-17935,6;4e8ae8d588
63845150711498;2400836;0;100;-17933,6;4e8ae8d588
63845150711498;2400836;0;100;-17932,4;4e8ae8d588
63845150711598;2400903;0;100;-17933;4e8ae8d588
63845150711698;2401036;0;100;-17933,8;4e8ae8d588
63845150711698;2401036;0;100;-17932;4e8ae8d588
63845150711865;2401169;0;100;-17932;4e8ae8d588
63845150711865;2401169;0;100;-17931;4e8ae8d588
63845150711965;2401302;0;100;-17933;4e8ae8d588
63845150711965;2401302;0;100;-17933;4e8ae8d588
63845150712065;2401369;0;100;-17932,4;4e8ae8d588
63845150712165;2401502;0;100;-17931;4e8ae8d588
63845150712165;2401502;0;100;-17930,6;4e8ae8d588
63845150712298;2401636;0;100;-17931,2;4e8ae8d588
63845150712298;2401636;0;100;-17931,8;4e8ae8d588
63845150712398;2401702;0;100;-17932,8;4e8ae8d588
63845150712465;2401836;0;100;-17933,8;4e8ae8d588
63845150712465;2401836;0;100;-17932,6;4e8ae8d588
63845150712598;2401902;0;100;-17932,2;4e8ae8d588
63845150712698;2402036;0;100;-17931,2;4e8ae8d588
63845150712698;2402036;0;100;-17931;4e8ae8d588
63845150712798;2402102;0;100;-17932;4e8ae8d588
63845150712898;2402236;0;100;-17932,8;4e8ae8d588
63845150712898;2402236;0;100;-17930,2;4e8ae8d588
63845150712998;2402302;0;100;-17930,2;4e8ae8d588
63845150713165;2402436;0;100;-17930,6;4e8ae8d588
63845150713165;2402436;0;100;-17931;4e8ae8d588
63845150713198;2402502;0;100;-17931,6;4e8ae8d588
63845150713298;2402636;0;100;-17931,8;4e8ae8d588
63845150713298;2402636;0;100;-17931;4e8ae8d588
63845150713731;2402702;0;100;-17930,8;4e8ae8d588
63845150713765;2402836;0;100;-17932,2;4e8ae8d588
63845150713765;2402836;0;100;-17933,8;4e8ae8d588
63845150713765;2402902;0;100;-17932,2;4e8ae8d588
63845150713765;2403035;0;100;-17932,2;4e8ae8d588
63845150713765;2403035;0;100;-17932,4;4e8ae8d588
63845150713798;2403169;0;100;-17932,8;4e8ae8d588
63845150713798;2403169;0;100;-17931,4;4e8ae8d588
63845150713931;2403235;0;100;-17932,2;4e8ae8d588
63845150714032;2403369;0;100;-17932;4e8ae8d588
63845150714032;2403369;0;100;-17931,8;4e8ae8d588
63845150714131;2403435;0;100;-17933,2;4e8ae8d588
63845150714231;2403569;0;100;-17933,4;4e8ae8d588
63845150714231;2403569;0;100;-17933;4e8ae8d588
63845150714331;2403635;0;100;-17933,4;4e8ae8d588
63845150714432;2403769;0;100;-17932,6;4e8ae8d588
63845150714432;2403769;0;100;-17933,2;4e8ae8d588
63845150714531;2403835;0;100;-17932;4e8ae8d588
63845150714631;2403969;0;100;-17932;4e8ae8d588
63845150714631;2403969;0;100;-17932;4e8ae8d588
63845150714731;2404035;0;100;-17932,2;4e8ae8d588
63845150714831;2404169;0;100;-17932,4;4e8ae8d588
63845150714831;2404169;0;100;-17933,2;4e8ae8d588
63845150714931;2404235;0;100;-17932;4e8ae8d588
63845150715031;2404369;0;100;-17932,4;4e8ae8d588
63845150715031;2404369;0;100;-17933;4e8ae8d588
63845150715165;2404435;0;100;-17932,6;4e8ae8d588
63845150715232;2404569;0;100;-17934,2;4e8ae8d588
63845150715232;2404569;0;100;-17933,8;4e8ae8d588
63845150715365;2404635;0;100;-17932;4e8ae8d588
63845150715431;2404769;0;100;-17932,6;4e8ae8d588
63845150715431;2404769;0;100;-17933,6;4e8ae8d588
63845150715532;2404835;0;100;-17933,4;4e8ae8d588
63845150715698;2404968;0;100;-17933,2;4e8ae8d588
