Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63843964841906;810059;0;100;5520;62be6f86c1
63843964844039;812182;0;100;2090;62be6f86c1
63843964844773;812889;0;100;700;62be6f86c1
63843964850740;818868;0;100;5910;62be6f86c1
63843964853206;821245;0;100;2340;62be6f86c1
63843964854073;822154;0;100;900;62be6f86c1
63843964854940;823048;0;100;880;62be6f86c1
63843964855906;823991;0;100;930;62be6f86c1
63843964860041;828150;0;100;4110;62be6f86c1
63843964862273;830264;0;100;2090;62be6f86c1
63843964863006;831123;0;100;850;62be6f86c1
63843964864073;832137;0;100;1000;62be6f86c1
63843964865873;833983;0;100;1820;62be6f86c1
63843964866972;835113;0;100;1120;62be6f86c1
63843964869506;837626;0;100;2480;62be6f86c1
63843964871039;839209;0;100;1570;62be6f86c1
63843964872239;840329;0;100;1100;62be6f86c1
63843964873573;841653;0;100;1310;62be6f86c1
63843964874306;842449;0;100;780;62be6f86c1
63843964875206;843289;0;100;830;62be6f86c1
63843964879172;847269;0;100;3930;62be6f86c1
63843964880339;848512;0;100;1230;62be6f86c1
63843964881972;850102;0;100;1570;62be6f86c1
63843964883206;851338;0;100;1220;62be6f86c1
63843964884339;852488;0;100;1140;62be6f86c1
63843964890039;858194;0;100;5630;62be6f86c1
63843964891872;860021;0;100;1810;62be6f86c1
63843964892372;860481;0;100;450;62be6f86c1
63843964893473;861567;0;100;1080;62be6f86c1
63843964899072;867173;0;100;5530;62be6f86c1
63843964900905;868970;0;100;1780;62be6f86c1
63843964903572;871749;0;100;2740;62be6f86c1
63843964904405;872503;0;100;750;62be6f86c1
63843964907772;875669;0;100;3120;62be6f86c1
63843964908772;876846;0;100;1160;62be6f86c1
63843964911272;879349;0;100;2480;62be6f86c1
63843964912606;880572;0;100;1200;62be6f86c1
63843964913372;881512;0;100;930;62be6f86c1
63843964913905;881978;0;100;460;62be6f86c1
63843964915005;883082;0;100;1090;62be6f86c1
63843964917438;885545;0;100;2440;62be6f86c1
63843964918771;886901;0;100;1330;62be6f86c1
63843964920205;888344;0;100;1430;62be6f86c1
63843964922838;891028;0;100;2650;62be6f86c1
63843964923571;891664;0;100;630;62be6f86c1
63843964924772;892824;0;100;1140;62be6f86c1
63843964926105;894241;0;100;1400;62be6f86c1
63843964926505;894604;0;100;360;62be6f86c1
63843964927172;895161;0;100;550;62be6f86c1
63843964930305;898433;0;100;3230;62be6f86c1
63843964931872;899973;0;100;1530;62be6f86c1
63843964941437;909279;0;100;9190;62be6f86c1
63843964942238;910252;0;100;950;62be6f86c1
63843964943237;911322;0;100;1060;62be6f86c1
63843964945405;913562;0;100;2220;62be6f86c1
63843964952404;920498;0;100;6850;62be6f86c1
63843964952805;920901;0;100;390;62be6f86c1
63843964961338;929474;0;100;8470;62be6f86c1
63843964964605;932737;0;100;3220;62be6f86c1
63843964966037;934153;1;100;1400;62be6f86c1
63843964973071;941186;1;100;6950;62be6f86c1
63843964975204;942952;1;100;1740;62be6f86c1
63843964976004;944169;1;100;1200;62be6f86c1
63843964976605;944782;1;100;610;62be6f86c1
63843964977472;945545;1;100;750;62be6f86c1
63843964978137;946225;1;100;670;62be6f86c1
63843964980005;948088;1;100;1840;62be6f86c1
63843964980871;948998;1;100;900;62be6f86c1
63843964981837;949948;1;100;940;62be6f86c1
63843964985204;953208;1;100;3220;62be6f86c1
63843964989938;957994;1;100;4730;62be6f86c1
63843964990304;958487;1;100;490;62be6f86c1
63843964991138;959231;1;100;730;62be6f86c1
63843964992004;960114;1;100;870;62be6f86c1
63843964992671;960784;1;100;660;62be6f86c1
63843964994806;962894;1;100;2090;62be6f86c1
63843964995537;963594;1;100;690;62be6f86c1
63843964996706;964677;1;100;1070;62be6f86c1
63843964998337;966473;1;100;1770;62be6f86c1
63843964999172;967093;1;100;610;62be6f86c1
63843964999771;967867;1;100;770;62be6f86c1
63843965002404;970566;1;100;2660;62be6f86c1
63843965003337;971416;1;100;840;62be6f86c1
63843965004038;972183;1;100;760;62be6f86c1
63843965004737;972893;1;100;700;62be6f86c1
63843965005671;973783;1;100;880;62be6f86c1
63843965008838;976516;1;100;2700;62be6f86c1
63843965013571;981279;1;100;4700;62be6f86c1
63843965016437;984512;1;100;3200;62be6f86c1
63843965017737;985871;1;100;1340;62be6f86c1
63843965019337;987408;1;100;1520;62be6f86c1
63843965020971;988871;1;100;1440;62be6f86c1
63843965021704;989791;1;100;910;62be6f86c1
63843965022604;990718;1;100;920;62be6f86c1
63843965024837;992977;1;100;2230;62be6f86c1
63843965026804;994894;1;100;1890;62be6f86c1
63843965027937;996054;1;100;1150;62be6f86c1
63843965030971;999137;1;100;3040;62be6f86c1
63843965033004;1001090;1;100;1930;62be6f86c1
63843965035637;1003783;1;100;2660;62be6f86c1
63843965036670;1004746;1;100;950;62be6f86c1
63843965037537;1005420;1;100;670;62be6f86c1
63843965038737;1006793;1;100;1350;62be6f86c1
63843965040004;1007819;1;100;1010;62be6f86c1
63843965040670;1008789;1;100;960;62be6f86c1
63843965042637;1010732;1;100;1920;62be6f86c1
63843965043037;1011216;1;100;480;62be6f86c1
63843965045703;1013766;1;100;2520;62be6f86c1
63843965046104;1014245;1;100;470;62be6f86c1
63843965046637;1014805;1;100;560;62be6f86c1
63843965047370;1015492;1;100;670;62be6f86c1
63843965047970;1016055;1;100;560;62be6f86c1
63843965050837;1018968;1;100;2880;62be6f86c1
63843965053303;1021368;1;100;2370;62be6f86c1
63843965054837;1022964;1;100;1570;62be6f86c1
63843965055770;1023884;1;100;910;62be6f86c1
63843965060570;1028727;1;100;4780;62be6f86c1
63843965062703;1030790;1;100;2040;62be6f86c1
63843965063537;1031633;1;100;830;62be6f86c1
63843965064170;1032284;1;100;650;62be6f86c1
63843965065770;1033860;1;100;1550;62be6f86c1
63843965066670;1034810;1;100;940;62be6f86c1
63843965068804;1036803;1;100;1970;62be6f86c1
63843965070270;1038413;1;100;1590;62be6f86c1
63843965072537;1040706;1;100;2270;62be6f86c1
63843965074070;1042176;1;100;1450;62be6f86c1
63843965075469;1043562;1;100;1370;62be6f86c1
63843965077470;1045642;1;100;2050;62be6f86c1
63843965078403;1046349;1;100;700;62be6f86c1
