Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63843964837440;805608;0;100;-18689,4;62be6f86c1
63843964837540;805675;0;100;-18686,2;62be6f86c1
63843964837673;805808;0;100;-18683,8;62be6f86c1
63843964838106;805875;0;100;-18682;62be6f86c1
63843964838106;806008;0;100;-18683,6;62be6f86c1
63843964838106;806075;0;100;-18684;62be6f86c1
63843964838106;806208;0;100;-18685,4;62be6f86c1
63843964838207;806275;0;100;-18684,6;62be6f86c1
63843964838273;806408;0;100;-18685;62be6f86c1
63843964838373;806475;0;100;-18685;62be6f86c1
63843964838473;806608;0;100;-18687,8;62be6f86c1
63843964838573;806675;0;100;-18689,4;62be6f86c1
63843964838673;806808;0;100;-18688,6;62be6f86c1
63843964838773;806875;0;100;-18691,2;62be6f86c1
63843964838873;807008;0;100;-18690;62be6f86c1
63843964838973;807141;0;100;-18688;62be6f86c1
63843964839073;807208;0;100;-18689;62be6f86c1
63843964839173;807341;0;100;-18692,8;62be6f86c1
63843964839273;807408;0;100;-18690;62be6f86c1
63843964839373;807541;0;100;-18688,2;62be6f86c1
63843964839473;807608;0;100;-18687;62be6f86c1
63843964839573;807741;0;100;-18686,8;62be6f86c1
63843964839674;807808;0;100;-18689,8;62be6f86c1
63843964839773;807941;0;100;-18689,2;62be6f86c1
63843964839873;808008;0;100;-18687,6;62be6f86c1
63843964840006;808141;0;100;-18686,8;62be6f86c1
63843964840473;808208;0;100;-18689,2;62be6f86c1
63843964840506;808341;0;100;-18687,8;62be6f86c1
63843964840506;808408;0;100;-18688;62be6f86c1
63843964840506;808541;0;100;-18688,4;62be6f86c1
63843964840507;808608;0;100;-18687,8;62be6f86c1
63843964840740;808741;0;100;-18688,2;62be6f86c1
63843964840740;808874;0;100;-18687,2;62be6f86c1
63843964840807;808941;0;100;-18689,2;62be6f86c1
63843964840906;809074;0;100;-18687,2;62be6f86c1
63843964841006;809141;0;100;-18687,8;62be6f86c1
63843964841140;809274;0;100;-18686,2;62be6f86c1
63843964841239;809341;0;100;-18686,2;62be6f86c1
63843964841306;809474;0;100;-18687;62be6f86c1
63843964841406;809541;0;100;-18689;62be6f86c1
63843964841506;809674;0;100;-18688,8;62be6f86c1
63843964841606;809741;0;100;-18690;62be6f86c1
63843964841740;809874;0;100;-18694,2;62be6f86c1
63843964841806;809941;0;100;-18689,6;62be6f86c1
63843964841907;810074;0;100;-18690,4;62be6f86c1
63843964842007;810141;0;100;-18695;62be6f86c1
63843964842206;810274;0;100;-18692,8;62be6f86c1
63843964842206;810341;0;100;-18689,4;62be6f86c1
63843964842340;810474;0;100;-18689,8;62be6f86c1
63843964842440;810541;0;100;-18688,2;62be6f86c1
63843964842906;810674;0;100;-18689,4;62be6f86c1
63843964842906;810741;0;100;-18690,4;62be6f86c1
63843964842907;810874;0;100;-18690,2;62be6f86c1
63843964842908;810941;0;100;-18691,4;62be6f86c1
63843964842973;811074;0;100;-18693,4;62be6f86c1
63843964843040;811207;0;100;-18694,6;62be6f86c1
63843964843140;811274;0;100;-18693,6;62be6f86c1
63843964843240;811407;0;100;-18693,6;62be6f86c1
63843964843340;811474;0;100;-18692,8;62be6f86c1
63843964843439;811607;0;100;-18692,6;62be6f86c1
63843964843539;811674;0;100;-18695,2;62be6f86c1
63843964843673;811807;0;100;-18695,4;62be6f86c1
63843964843740;811874;0;100;-18696,4;62be6f86c1
63843964843839;812008;0;100;-18697,6;62be6f86c1
63843964843940;812074;0;100;-18698;62be6f86c1
63843964844039;812207;0;100;-18697;62be6f86c1
63843964844207;812274;0;100;-18696,6;62be6f86c1
63843964844240;812407;0;100;-18699,4;62be6f86c1
63843964844340;812474;0;100;-18693,8;62be6f86c1
63843964844440;812607;0;100;-18694;62be6f86c1
63843964844573;812674;0;100;-18695,2;62be6f86c1
63843964844673;812807;0;100;-18698;62be6f86c1
63843964844773;812874;0;100;-18695,6;62be6f86c1
63843964844873;813007;0;100;-18691,4;62be6f86c1
63843964845306;813074;0;100;-18689,6;62be6f86c1
63843964845406;813207;0;100;-18686,6;62be6f86c1
63843964845406;813341;0;100;-18687;62be6f86c1
63843964845406;813407;0;100;-18685,8;62be6f86c1
63843964845407;813541;0;100;-18683,6;62be6f86c1
63843964845473;813607;0;100;-18682,4;62be6f86c1
63843964845573;813741;0;100;-18685,2;62be6f86c1
63843964845673;813807;0;100;-18684,4;62be6f86c1
63843964845773;813941;0;100;-18685;62be6f86c1
63843964845873;814007;0;100;-18687,4;62be6f86c1
63843964845973;814140;0;100;-18689;62be6f86c1
63843964846073;814207;0;100;-18691,4;62be6f86c1
63843964846173;814341;0;100;-18690,4;62be6f86c1
63843964846273;814407;0;100;-18691,2;62be6f86c1
63843964846373;814540;0;100;-18690,8;62be6f86c1
63843964846473;814607;0;100;-18693,4;62be6f86c1
63843964846573;814740;0;100;-18696,4;62be6f86c1
63843964846706;814807;0;100;-18700;62be6f86c1
63843964846807;814940;0;100;-18701,2;62be6f86c1
63843964846906;815007;0;100;-18700;62be6f86c1
63843964847006;815140;0;100;-18700,8;62be6f86c1
63843964847106;815207;0;100;-18701;62be6f86c1
63843964847206;815340;0;100;-18700,6;62be6f86c1
63843964847706;815474;0;100;-18700,8;62be6f86c1
63843964847773;815540;0;100;-18701,6;62be6f86c1
63843964847773;815674;0;100;-18701,4;62be6f86c1
63843964847773;815740;0;100;-18700,4;62be6f86c1
63843964847773;815874;0;100;-18700,4;62be6f86c1
63843964847873;816007;0;100;-18699,2;62be6f86c1
63843964847973;816140;0;100;-18698,6;62be6f86c1
63843964848074;816207;0;100;-18699,4;62be6f86c1
63843964848173;816340;0;100;-18699;62be6f86c1
63843964848273;816407;0;100;-18698;62be6f86c1
63843964848373;816540;0;100;-18698;62be6f86c1
63843964848506;816607;0;100;-18696,8;62be6f86c1
63843964848573;816740;0;100;-18697;62be6f86c1
63843964848673;816807;0;100;-18694,2;62be6f86c1
63843964848773;816940;0;100;-18694,6;62be6f86c1
63843964848873;817007;0;100;-18693,6;62be6f86c1
63843964848973;817140;0;100;-18695,4;62be6f86c1
63843964849073;817207;0;100;-18693,2;62be6f86c1
63843964849206;817340;0;100;-18695,8;62be6f86c1
63843964849273;817407;0;100;-18693,4;62be6f86c1
63843964849373;817540;0;100;-18693,2;62be6f86c1
63843964849506;817607;0;100;-18694,2;62be6f86c1
63843964849573;817740;0;100;-18694,4;62be6f86c1
63843964850106;817874;0;100;-18695;62be6f86c1
63843964850106;817940;0;100;-18693,8;62be6f86c1
63843964850106;818073;0;100;-18694,8;62be6f86c1
63843964850106;818140;0;100;-18692,6;62be6f86c1
63843964850107;818273;0;100;-18693,6;62be6f86c1
63843964850239;818340;0;100;-18694,8;62be6f86c1
63843964850306;818473;0;100;-18694,2;62be6f86c1
63843964850406;818540;0;100;-18695,2;62be6f86c1
63843964850506;818673;0;100;-18694,6;62be6f86c1
63843964850640;818740;0;100;-18693;62be6f86c1
63843964850740;818873;0;100;-18693,2;62be6f86c1
63843964850806;818940;0;100;-18694,2;62be6f86c1
63843964850906;819073;0;100;-18691,6;62be6f86c1
63843964851006;819140;0;100;-18692,8;62be6f86c1
63843964851173;819273;0;100;-18693,2;62be6f86c1
63843964851240;819340;0;100;-18696,2;62be6f86c1
63843964851340;819473;0;100;-18698,6;62be6f86c1
63843964851406;819540;0;100;-18700;62be6f86c1
63843964851540;819673;0;100;-18700,8;62be6f86c1
63843964851639;819740;0;100;-18705,6;62be6f86c1
63843964851739;819873;0;100;-18708,6;62be6f86c1
63843964851840;819940;0;100;-18712,4;62be6f86c1
63843964851940;820073;0;100;-18715,4;62be6f86c1
63843964852039;820207;0;100;-18719;62be6f86c1
63843964852506;820273;0;100;-18721,2;62be6f86c1
63843964852540;820407;0;100;-18723;62be6f86c1
63843964852540;820473;0;100;-18725,6;62be6f86c1
63843964852540;820607;0;100;-18726,8;62be6f86c1
63843964852540;820673;0;100;-18728,2;62be6f86c1
63843964852706;820807;0;100;-18731,6;62be6f86c1
63843964852739;820873;0;100;-18730,6;62be6f86c1
63843964852839;821007;0;100;-18732,2;62be6f86c1
63843964852939;821073;0;100;-18731;62be6f86c1
63843964853039;821206;0;100;-18733;62be6f86c1
63843964853206;821273;0;100;-18735,2;62be6f86c1
63843964853239;821406;0;100;-18735;62be6f86c1
63843964853340;821473;0;100;-18734,4;62be6f86c1
63843964853439;821606;0;100;-18736,8;62be6f86c1
63843964853539;821673;0;100;-18741,2;62be6f86c1
63843964853639;821806;0;100;-18743,2;62be6f86c1
63843964853773;821873;0;100;-18743,4;62be6f86c1
63843964853873;822006;0;100;-18747;62be6f86c1
63843964853939;822073;0;100;-18749,2;62be6f86c1
63843964854073;822206;0;100;-18749,6;62be6f86c1
63843964854206;822273;0;100;-18746,4;62be6f86c1
63843964854273;822406;0;100;-18746,6;62be6f86c1
63843964854373;822540;0;100;-18749,6;62be6f86c1
63843964854473;822606;0;100;-18748,2;62be6f86c1
63843964854906;822740;0;100;-18748,6;62be6f86c1
63843964854940;822806;0;100;-18751,6;62be6f86c1
63843964854940;822940;0;100;-18750,8;62be6f86c1
63843964854940;823006;0;100;-18749,2;62be6f86c1
63843964854973;823140;0;100;-18750,2;62be6f86c1
63843964855074;823206;0;100;-18746,4;62be6f86c1
63843964855173;823340;0;100;-18746,2;62be6f86c1
63843964855273;823406;0;100;-18746,8;62be6f86c1
63843964855373;823540;0;100;-18745,6;62be6f86c1
63843964855473;823606;0;100;-18744,2;62be6f86c1
63843964855573;823739;0;100;-18743,4;62be6f86c1
63843964855673;823806;0;100;-18743,2;62be6f86c1
63843964855772;823940;0;100;-18742;62be6f86c1
63843964855906;824006;0;100;-18740,6;62be6f86c1
63843964856006;824139;0;100;-18737,4;62be6f86c1
63843964856106;824206;0;100;-18731,2;62be6f86c1
63843964856206;824340;0;100;-18729,2;62be6f86c1
63843964856306;824473;0;100;-18729,4;62be6f86c1
63843964856406;824539;0;100;-18731;62be6f86c1
63843964856506;824673;0;100;-18731,4;62be6f86c1
