Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63843964852506;819807;0;100;0,024536;62be6f86c1
63843964852540;820473;0;100;0,002094;62be6f86c1
63843964852706;820673;0;100;0,005978;62be6f86c1
63843964853773;821540;0;100;0,011509;62be6f86c1
63843964854073;821940;0;100;0,00403;62be6f86c1
63843964854940;822740;0;100;0,001845;62be6f86c1
63843964857506;825540;0;100;0,001843;62be6f86c1
63843964860673;828606;0;100;0,002232;62be6f86c1
63843964861373;828872;0;100;0,028535;62be6f86c1
63843964863239;829873;0;100;0,258533;62be6f86c1
63843964865473;832872;0;100;0,11167;62be6f86c1
63843964865873;833672;0;100;0,043611;62be6f86c1
63843964871039;838471;0;100;0,096908;62be6f86c1
63843964872239;840072;0;100;0,026955;62be6f86c1
63843964872772;840672;0;100;0,033245;62be6f86c1
63843964873372;841005;0;100;0,244305;62be6f86c1
63843964874706;842538;0;100;0,034432;62be6f86c1
63843964875705;843538;0;100;0,040226;62be6f86c1
63843964876839;844737;0;100;0,018874;62be6f86c1
63843964877839;845738;0;100;0,019527;62be6f86c1
63843964878272;846071;0;100;0,024849;62be6f86c1
63843964894306;861402;0;100;0,334703;62be6f86c1
63843964895772;863003;0;100;0,258608;62be6f86c1
63843964914505;882067;0;100;0,048258;62be6f86c1
63843964915638;883201;0;100;0,25922;62be6f86c1
63843964917405;885267;0;100;0,006419;62be6f86c1
63843964917639;885600;0;100;0,013047;62be6f86c1
63843964917872;885800;0;100;0,006623;62be6f86c1
63843965004437;972258;1;100;0,114272;62be6f86c1
63843965005037;972658;1;100;0,235098;62be6f86c1
63843965005871;973525;1;100;0,219187;62be6f86c1
63843965006471;974324;1;100;0,078177;62be6f86c1
63843965027304;994990;1;100;0,180456;62be6f86c1
63843965094503;1062449;1;100;0,042021;62be6f86c1
