Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844036237776;866795;0;100;3,5176;6e4d7fa8b2
63844036237776;867195;0;100;3,4769;6e4d7fa8b2
63844036237776;867528;0;100;3,4367;6e4d7fa8b2
63844036237776;867795;0;100;3,397;6e4d7fa8b2
63844036237776;868128;0;100;3,3577;6e4d7fa8b2
63844036237777;868528;0;100;3,3188;6e4d7fa8b2
63844036237777;868795;0;100;5,3627;6e4d7fa8b2
63844036237777;869128;0;100;7,3829;6e4d7fa8b2
63844036237777;869528;0;100;7,2975;6e4d7fa8b2
63844036237777;869861;0;100;9,2953;6e4d7fa8b2
63844036237778;870128;0;100;9,1878;6e4d7fa8b2
63844036237778;870461;0;100;9,0815;6e4d7fa8b2
63844036237779;870861;0;100;8,9765;6e4d7fa8b2
63844036237779;871195;0;100;8,8726;6e4d7fa8b2
63844036237780;871461;0;100;8,77;6e4d7fa8b2
63844036237780;871794;0;100;8,6685;6e4d7fa8b2
63844036237781;872194;0;100;8,5683;6e4d7fa8b2
63844036237782;872528;0;100;8,4691;6e4d7fa8b2
63844036237782;872794;0;100;8,3712;6e4d7fa8b2
63844036237783;873128;0;100;8,2743;6e4d7fa8b2
63844036237783;873528;0;100;8,1786;6e4d7fa8b2
63844036237783;873794;0;100;8,084;6e4d7fa8b2
63844036237784;874128;0;100;7,9905;6e4d7fa8b2
63844036237786;874527;0;100;7,898;6e4d7fa8b2
63844036237786;874861;0;100;7,8067;6e4d7fa8b2
63844036237786;875127;0;100;7,7164;6e4d7fa8b2
63844036237786;875461;0;100;7,6271;6e4d7fa8b2
63844036237786;875861;0;100;7,5389;6e4d7fa8b2
63844036237786;876127;0;100;7,4517;6e4d7fa8b2
63844036237787;876461;0;100;7,3655;6e4d7fa8b2
63844036237787;876794;0;100;7,2803;6e4d7fa8b2
63844036237788;877194;0;100;7,196;6e4d7fa8b2
63844036237788;877461;0;100;7,1128;6e4d7fa8b2
63844036237789;877794;0;100;7,0305;6e4d7fa8b2
63844036237789;878194;0;100;6,9492;6e4d7fa8b2
63844036237790;878460;0;100;6,8688;6e4d7fa8b2
63844036237790;878794;0;100;6,7893;6e4d7fa8b2
63844036237791;879127;0;100;6,7108;6e4d7fa8b2
63844036237791;879527;0;100;6,6332;6e4d7fa8b2
63844036237792;879794;0;100;6,5564;6e4d7fa8b2
63844036237792;880127;0;100;6,4806;6e4d7fa8b2
63844036237793;880460;0;100;6,4056;6e4d7fa8b2
63844036237793;880860;0;100;6,3315;6e4d7fa8b2
63844036237794;881127;0;100;6,2583;6e4d7fa8b2
63844036237794;881460;0;100;6,1859;6e4d7fa8b2
63844036237795;881860;0;100;6,1143;6e4d7fa8b2
63844036237795;882127;0;100;6,0436;6e4d7fa8b2
63844036237795;882460;0;100;5,9737;6e4d7fa8b2
63844036237796;882793;0;100;5,9046;6e4d7fa8b2
63844036237797;883193;0;100;5,8363;6e4d7fa8b2
63844036237797;883460;0;100;5,7688;6e4d7fa8b2
63844036237797;883793;0;100;5,702;6e4d7fa8b2
63844036237798;884193;0;100;5,6361;6e4d7fa8b2
63844036237798;884460;0;100;5,5709;6e4d7fa8b2
63844036237799;884793;0;100;5,5064;6e4d7fa8b2
63844036237799;885126;0;100;5,4427;6e4d7fa8b2
63844036237800;885526;0;100;5,3798;6e4d7fa8b2
63844036237800;885793;0;100;5,3175;6e4d7fa8b2
63844036237801;886126;0;100;5,256;6e4d7fa8b2
63844036237801;886526;0;100;5,1952;6e4d7fa8b2
63844036237802;886860;0;100;5,1351;6e4d7fa8b2
63844036237803;887126;0;100;5,0757;6e4d7fa8b2
63844036237803;887460;0;100;5,017;6e4d7fa8b2
63844036237803;887793;0;100;4,959;6e4d7fa8b2
63844036237803;888193;0;100;4,9016;6e4d7fa8b2
63844036237804;888460;0;100;4,8449;6e4d7fa8b2
63844036237804;888793;0;100;4,7888;6e4d7fa8b2
63844036237804;889193;0;100;4,7334;6e4d7fa8b2
63844036237805;889526;0;100;4,6787;6e4d7fa8b2
63844036237805;889793;0;100;4,6246;6e4d7fa8b2
63844036237806;890126;0;100;4,5711;6e4d7fa8b2
63844036237807;890526;0;100;4,5182;6e4d7fa8b2
63844036237807;890793;0;100;4,4659;6e4d7fa8b2
63844036237808;891126;0;100;4,4143;6e4d7fa8b2
63844036237808;891526;0;100;4,3632;6e4d7fa8b2
63844036237809;891792;0;100;4,3127;6e4d7fa8b2
63844036237809;892126;0;100;4,2628;6e4d7fa8b2
63844036237810;892459;0;100;4,2135;6e4d7fa8b2
63844036237810;892859;0;100;4,1648;6e4d7fa8b2
63844036237811;893192;0;100;4,1166;6e4d7fa8b2
63844036237811;893459;0;100;4,069;6e4d7fa8b2
63844036237812;893792;0;100;4,0219;6e4d7fa8b2
63844036237812;894192;0;100;3,9754;6e4d7fa8b2
63844036237813;894459;0;100;3,9294;6e4d7fa8b2
63844036237813;894792;0;100;5,9662;6e4d7fa8b2
63844036237814;895192;0;100;7,9794;6e4d7fa8b2
63844036237814;895525;0;100;7,8871;6e4d7fa8b2
63844036237815;895792;0;100;9,8781;6e4d7fa8b2
63844036237815;896125;0;100;9,7639;6e4d7fa8b2
63844036237816;896525;0;100;9,6509;6e4d7fa8b2
63844036237816;896792;0;100;9,5393;6e4d7fa8b2
63844036237817;897125;0;100;9,4289;6e4d7fa8b2
63844036237817;897459;0;100;9,3198;6e4d7fa8b2
63844036237818;897792;0;100;9,212;6e4d7fa8b2
63844036237818;898125;0;100;9,1055;6e4d7fa8b2
63844036237818;898458;0;100;9,0001;6e4d7fa8b2
63844036237819;898858;0;100;8,896;6e4d7fa8b2
63844036237821;899192;0;100;8,7931;6e4d7fa8b2
63844036237821;899458;0;100;8,6914;6e4d7fa8b2
63844036237821;899792;0;100;8,5908;6e4d7fa8b2
63844036237821;900192;0;100;8,4915;6e4d7fa8b2
63844036237821;900458;0;100;8,3932;6e4d7fa8b2
63844036237822;900792;0;100;8,2961;6e4d7fa8b2
63844036237822;901125;0;100;8,2002;6e4d7fa8b2
63844036237823;901525;0;100;8,1053;6e4d7fa8b2
63844036237823;901792;0;100;8,0116;6e4d7fa8b2
63844036237824;902125;0;100;7,9189;6e4d7fa8b2
63844036237824;902525;0;100;7,8273;6e4d7fa8b2
63844036237825;902791;0;100;7,7367;6e4d7fa8b2
63844036237825;903191;0;100;7,6472;6e4d7fa8b2
63844036237826;903458;0;100;7,5588;6e4d7fa8b2
63844036237827;903791;0;100;7,4713;6e4d7fa8b2
63844036237827;904125;0;100;7,3849;6e4d7fa8b2
63844036237828;904525;0;100;7,2995;6e4d7fa8b2
63844036237828;904791;0;100;7,215;6e4d7fa8b2
63844036237829;905124;0;100;7,1316;6e4d7fa8b2
63844036237829;905524;0;100;7,0491;6e4d7fa8b2
63844036237829;905858;0;100;6,9675;6e4d7fa8b2
63844036237830;906124;0;100;6,8869;6e4d7fa8b2
63844036237830;906458;0;100;6,8072;6e4d7fa8b2
63844036237831;906858;0;100;6,7285;6e4d7fa8b2
63844036237831;907124;0;100;6,6507;6e4d7fa8b2
63844036237832;907458;0;100;6,5737;6e4d7fa8b2
63844036237832;907791;0;100;6,4977;6e4d7fa8b2
63844036237833;908191;0;100;6,4225;6e4d7fa8b2
63844036237833;908457;0;100;6,3482;6e4d7fa8b2
63844036237834;908791;0;100;8,357;6e4d7fa8b2
63844036237835;909191;0;100;10,3426;6e4d7fa8b2
63844036237835;909457;0;100;10,223;6e4d7fa8b2
63844036237836;909791;0;100;14,2692;6e4d7fa8b2
63844036237836;910124;0;100;14,1041;6e4d7fa8b2
63844036237837;910524;0;100;13,941;6e4d7fa8b2
63844036237837;910791;0;100;13,7797;6e4d7fa8b2
63844036237838;911124;0;100;13,6203;6e4d7fa8b2
63844036237839;911524;0;100;13,4628;6e4d7fa8b2
63844036237839;911790;0;100;13,307;6e4d7fa8b2
63844036237839;912124;0;100;13,1531;6e4d7fa8b2
63844036237839;912457;0;100;13,0009;6e4d7fa8b2
63844036237840;912857;0;100;12,8505;6e4d7fa8b2
63844036237840;913124;0;100;12,7019;6e4d7fa8b2
63844036237841;913457;0;100;12,5549;6e4d7fa8b2
63844036237841;913857;0;100;12,4097;6e4d7fa8b2
63844036237842;914124;0;100;12,2661;6e4d7fa8b2
63844036237842;914457;0;100;12,1242;6e4d7fa8b2
63844036237842;914790;0;100;11,984;6e4d7fa8b2
63844036237843;915190;0;100;11,8454;6e4d7fa8b2
63844036237844;915457;0;100;11,7083;6e4d7fa8b2
63844036237844;915790;0;100;11,5729;6e4d7fa8b2
63844036237845;916190;0;100;11,439;6e4d7fa8b2
63844036237846;916523;0;100;11,3067;6e4d7fa8b2
63844036237846;916790;0;100;11,1759;6e4d7fa8b2
63844036237847;917123;0;100;11,0466;6e4d7fa8b2
63844036237848;917523;0;100;10,9188;6e4d7fa8b2
63844036237849;917790;0;100;10,7925;6e4d7fa8b2
63844036237849;918123;0;100;10,6677;6e4d7fa8b2
63844036237850;918456;0;100;10,5443;6e4d7fa8b2
63844036237850;918856;0;100;10,4223;6e4d7fa8b2
63844036237851;919123;0;100;10,3017;6e4d7fa8b2
63844036237851;919456;0;100;10,1825;6e4d7fa8b2
63844036237852;919856;0;100;10,0648;6e4d7fa8b2
63844036237852;920123;0;100;9,9483;6e4d7fa8b2
63844036237853;920456;0;100;9,8332;6e4d7fa8b2
63844036237853;920790;0;100;9,7195;6e4d7fa8b2
63844036237854;921189;0;100;9,6071;6e4d7fa8b2
63844036237854;921456;0;100;9,4959;6e4d7fa8b2
63844036237854;921789;0;100;9,3861;6e4d7fa8b2
63844036237855;922189;0;100;9,2775;6e4d7fa8b2
63844036237855;922523;0;100;9,1702;6e4d7fa8b2
63844036237856;922789;0;100;9,0641;6e4d7fa8b2
63844036237856;923123;0;100;8,9592;6e4d7fa8b2
63844036237858;923523;0;100;8,8556;6e4d7fa8b2
63844036237859;923789;0;100;8,7532;6e4d7fa8b2
63844036237859;924122;0;100;8,6519;6e4d7fa8b2
63844036237876;924522;0;100;8,5518;6e4d7fa8b2
63844036242220;924856;0;100;8,4529;6e4d7fa8b2
63844036242221;925122;0;100;8,3551;6e4d7fa8b2
63844036242221;925456;0;100;8,2584;6e4d7fa8b2
63844036242222;925856;0;100;8,1629;6e4d7fa8b2
63844036242222;926123;0;100;8,0685;6e4d7fa8b2
63844036242223;926456;0;100;7,9751;6e4d7fa8b2
63844036242223;926856;0;100;7,8829;6e4d7fa8b2
63844036242224;927189;0;100;7,7917;6e4d7fa8b2
63844036242224;927456;0;100;7,7016;6e4d7fa8b2
63844036242225;927789;0;100;7,6125;6e4d7fa8b2
63844036242226;928189;0;100;7,5244;6e4d7fa8b2
63844036242227;928455;0;100;7,4374;6e4d7fa8b2
63844036242227;928855;0;100;7,3513;6e4d7fa8b2
63844036242675;929189;0;100;7,2663;6e4d7fa8b2
63844036242709;929455;0;100;7,1822;6e4d7fa8b2
63844036242875;929789;0;100;7,0991;6e4d7fa8b2
63844036243274;930189;0;100;7,017;6e4d7fa8b2
63844036332432;930455;0;100;6,9359;6e4d7fa8b2
63844036332432;930789;0;100;6,8556;6e4d7fa8b2
63844036332433;931188;0;100;6,7763;6e4d7fa8b2
63844036332434;931522;0;100;6,6979;6e4d7fa8b2
63844036332434;931788;0;100;6,6204;6e4d7fa8b2
63844036332434;932122;0;100;6,5439;6e4d7fa8b2
63844036332435;932522;0;100;6,4682;6e4d7fa8b2
63844036332435;932788;0;100;6,3933;6e4d7fa8b2
63844036332436;933122;0;100;6,3194;6e4d7fa8b2
63844036332436;933455;0;100;6,2463;6e4d7fa8b2
63844036332437;933855;0;100;6,174;6e4d7fa8b2
63844036332437;934188;0;100;6,1026;6e4d7fa8b2
63844036332438;934455;0;100;6,032;6e4d7fa8b2
63844036332438;934788;0;100;5,9622;6e4d7fa8b2
63844036332439;935121;0;100;5,8932;6e4d7fa8b2
63844036332439;935521;0;100;5,8251;6e4d7fa8b2
63844036332440;935788;0;100;5,7577;6e4d7fa8b2
63844036332440;936121;0;100;5,6911;6e4d7fa8b2
63844036332441;936521;0;100;5,6252;6e4d7fa8b2
63844036332441;936788;0;100;5,5602;6e4d7fa8b2
63844036332442;937121;0;100;5,4959;6e4d7fa8b2
63844036332442;937455;0;100;5,4323;6e4d7fa8b2
