Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63844036237777;868195;0;100;0,466667;6e4d7fa8b2
63844036237777;868795;0;100;0,133333;6e4d7fa8b2
63844036237777;869328;0;100;0,133333;6e4d7fa8b2
63844036237813;894259;0;100;0,333333;6e4d7fa8b2
63844036237814;894726;0;100;0,133333;6e4d7fa8b2
63844036237814;895525;0;100;0,133333;6e4d7fa8b2
63844036237834;908258;0;100;0,333333;6e4d7fa8b2
63844036237835;908725;0;100;0,266667;6e4d7fa8b2
63844036237835;909257;0;100;0,2;6e4d7fa8b2
63844036237836;909591;0;100;0,066667;6e4d7fa8b2
63844036332443;937455;0;100;0,466667;6e4d7fa8b2
63844036332448;941187;0;100;0,266667;6e4d7fa8b2
63844036332449;941854;0;100;0,333333;6e4d7fa8b2
63844036332451;942455;0;100;0,066667;6e4d7fa8b2
63844036332466;953587;0;100;0,533333;6e4d7fa8b2
63844036332466;954253;0;100;0,066667;6e4d7fa8b2
63844036332468;955119;0;100;0,133333;6e4d7fa8b2
63844036332471;956986;0;100;0,4;6e4d7fa8b2
63844036332471;957520;0;100;0,066667;6e4d7fa8b2
63844036332473;958386;0;100;0,133333;6e4d7fa8b2
63844036332482;964319;0;100;0,533333;6e4d7fa8b2
63844036332483;965385;0;100;0,133333;6e4d7fa8b2
63844036332484;966185;0;100;0,066667;6e4d7fa8b2
63844036332491;971051;0;100;0,133333;6e4d7fa8b2
63844036332492;971451;0;100;0,466667;6e4d7fa8b2
63844036332493;972184;0;100;0,2;6e4d7fa8b2
63844036332494;972784;0;100;0,533333;6e4d7fa8b2
63844036332495;973584;0;100;0,2;6e4d7fa8b2
63844036332496;974185;0;100;0,066667;6e4d7fa8b2
63844036332502;977850;0;100;0,2;6e4d7fa8b2
63844036332503;978184;0;100;0,6;6e4d7fa8b2
63844036332505;978917;0;100;0,2;6e4d7fa8b2
63844036332505;979517;0;100;0,333333;6e4d7fa8b2
63844036332509;981783;0;100;1;6e4d7fa8b2
63844036332510;983317;0;100;0,133333;6e4d7fa8b2
63844036332511;983851;0;100;0,333333;6e4d7fa8b2
63844036332518;988650;0;100;0,6;6e4d7fa8b2
63844036332528;995049;0;100;0,2;6e4d7fa8b2
63844036332536;999448;0;100;0,866667;6e4d7fa8b2
63844036332537;1000982;0;100;0,066667;6e4d7fa8b2
63844036332552;1010780;0;100;0,6;6e4d7fa8b2
63844036332553;1011647;0;100;0,4;6e4d7fa8b2
63844036333974;1019846;0;100;0,666667;6e4d7fa8b2
63844036333974;1020647;0;100;0,066667;6e4d7fa8b2
63844036334207;1020980;0;100;0,066667;6e4d7fa8b2
63844036334407;1021180;0;100;0,066667;6e4d7fa8b2
63844036345972;1021647;0;100;0,066667;6e4d7fa8b2
63844036346040;1032245;0;100;0,6;6e4d7fa8b2
63844036359490;1037911;0;100;0,4;6e4d7fa8b2
63844036359491;1038711;0;100;0,2;6e4d7fa8b2
63844036359492;1039311;0;100;0,2;6e4d7fa8b2
63844036359499;1044311;0;100;0,466667;6e4d7fa8b2
63844036359500;1045177;0;100;0,133333;6e4d7fa8b2
63844036359500;1045577;0;100;0,066667;6e4d7fa8b2
63844036359606;1046177;0;100;0,266667;6e4d7fa8b2
63844036518523;1056843;2;100;0,4;6e4d7fa8b2
63844036518525;1058042;2;100;0,133333;6e4d7fa8b2
63844036518526;1058576;2;100;0,133333;6e4d7fa8b2
63844036518529;1059776;2;100;0,2;6e4d7fa8b2
63844036518559;1074041;2;100;0,133333;6e4d7fa8b2
63844036518579;1084307;2;100;0,4;6e4d7fa8b2
63844036518579;1084840;2;100;0,066667;6e4d7fa8b2
63844036518580;1085040;2;100;0,133333;6e4d7fa8b2
63844036518598;1093172;2;100;0,666667;6e4d7fa8b2
63844036518621;1105304;2;100;0,333333;6e4d7fa8b2
63844036518637;1113637;2;100;0,4;6e4d7fa8b2
63844036518638;1114304;2;100;0,066667;6e4d7fa8b2
63844036518653;1121103;2;100;0,266667;6e4d7fa8b2
63844036518654;1121503;2;100;0,133333;6e4d7fa8b2
63844036518655;1122036;2;100;0,133333;6e4d7fa8b2
63844036518665;1127236;2;100;0,133333;6e4d7fa8b2
63844036518666;1127902;2;100;0,066667;6e4d7fa8b2
63844036518676;1132768;2;100;0,333333;6e4d7fa8b2
63844036518687;1138835;2;100;0,266667;6e4d7fa8b2
63844036518687;1139234;2;100;0,066667;6e4d7fa8b2
63844036518688;1139702;2;100;0,066667;6e4d7fa8b2
63844036518704;1147900;2;100;0,2;6e4d7fa8b2
63844036518704;1148233;2;100;0,066667;6e4d7fa8b2
63844036519187;1205761;2;100;0,266667;6e4d7fa8b2
63844036519820;1206562;2;100;0,066667;6e4d7fa8b2
63844036845048;1213427;5;100;0,2;6e4d7fa8b2
63844036845156;1288620;5;100;0,066667;6e4d7fa8b2
63844036845218;1331615;5;100;0,466667;6e4d7fa8b2
63844036845218;1332215;5;100;0,066667;6e4d7fa8b2
63844036845219;1332548;5;100;0,133333;6e4d7fa8b2
63844036845391;1454270;5;100;0,066667;6e4d7fa8b2
63844037021277;1707578;6;100;0,266667;6e4d7fa8b2
63844037042978;1729376;6;100;0,333333;6e4d7fa8b2
63844037043244;1729975;6;100;0,133333;6e4d7fa8b2
63844037054244;1740575;6;100;0,466667;6e4d7fa8b2
63844037072643;1759239;6;100;0,2;6e4d7fa8b2
63844037171175;1857763;7;100;0,2;6e4d7fa8b2
63844037172642;1858963;7;100;0,266667;6e4d7fa8b2
63844037219041;1905492;7;100;0,333333;6e4d7fa8b2
63844037245174;1931755;7;100;0,2;6e4d7fa8b2
63844037413671;2100072;8;100;0,4;6e4d7fa8b2
63844037593934;2280054;10;100;0,6;6e4d7fa8b2
63844037594134;2280920;10;100;0,066667;6e4d7fa8b2
