Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844808233566;1339419;0;100;6,2048;6f25c69f20
63844808233965;1339819;0;100;6,133;6f25c69f20
63844808234265;1340085;0;100;6,0621;6f25c69f20
63844808234598;1340419;0;100;5,992;6f25c69f20
63844808235165;1340752;0;100;5,9227;6f25c69f20
63844808235332;1341152;0;100;5,8541;6f25c69f20
63844808235632;1341419;0;100;5,7864;6f25c69f20
63844808235931;1341752;0;100;5,7195;6f25c69f20
63844808236231;1342085;0;100;5,6533;6f25c69f20
63844808236632;1342485;0;100;5,5879;6f25c69f20
63844808236932;1342752;0;100;5,5233;6f25c69f20
63844808237565;1343085;0;100;5,4594;6f25c69f20
63844808237698;1343485;0;100;5,3962;6f25c69f20
63844808237965;1343752;0;100;5,3338;6f25c69f20
63844808238265;1344085;0;100;5,2721;6f25c69f20
63844808238565;1344418;0;100;5,2111;6f25c69f20
63844808238965;1344818;0;100;5,1508;6f25c69f20
63844808239265;1345085;0;100;5,0912;6f25c69f20
63844808239998;1345418;0;100;5,0324;6f25c69f20
63844808239998;1345751;0;100;4,9741;6f25c69f20
63844808240231;1346085;0;100;4,9166;6f25c69f20
63844808240632;1346485;0;100;4,8597;6f25c69f20
63844808240932;1346751;0;100;4,8035;6f25c69f20
63844808241232;1347085;0;100;4,7479;6f25c69f20
63844808241731;1347485;0;100;4,693;6f25c69f20
63844808241965;1347751;0;100;4,6387;6f25c69f20
63844808242398;1348085;0;100;4,5851;6f25c69f20
63844808242565;1348418;0;100;4,532;6f25c69f20
63844808242965;1348818;0;100;4,4796;6f25c69f20
63844808243265;1349085;0;100;4,4278;6f25c69f20
63844808243598;1349418;0;100;4,3766;6f25c69f20
63844808243998;1349818;0;100;4,3259;6f25c69f20
63844808244298;1350151;0;100;4,2759;6f25c69f20
63844808244799;1350418;0;100;4,2264;6f25c69f20
63844808244998;1350818;0;100;4,1775;6f25c69f20
63844808245298;1351151;0;100;4,1292;6f25c69f20
63844808245632;1351418;0;100;4,0814;6f25c69f20
63844808245931;1351751;0;100;4,0342;6f25c69f20
63844808246331;1352151;0;100;3,9876;6f25c69f20
63844808246632;1352484;0;100;3,9414;6f25c69f20
63844808247265;1352751;0;100;3,8958;6f25c69f20
63844808247265;1353084;0;100;3,8508;6f25c69f20
63844808247698;1353484;0;100;3,8062;6f25c69f20
63844808247931;1353751;0;100;3,7622;6f25c69f20
63844808248265;1354084;0;100;3,7187;6f25c69f20
63844808248564;1354417;0;100;3,6756;6f25c69f20
63844808248965;1354817;0;100;3,6331;6f25c69f20
63844808249598;1355084;0;100;3,5911;6f25c69f20
63844808249599;1355417;0;100;3,5496;6f25c69f20
63844808249998;1355817;0;100;3,5085;6f25c69f20
63844808250298;1356084;0;100;3,4679;6f25c69f20
63844808250598;1356417;0;100;3,4278;6f25c69f20
63844808250898;1356750;0;100;3,3881;6f25c69f20
63844808251298;1357150;0;100;3,3489;6f25c69f20
63844808252031;1357417;0;100;3,3102;6f25c69f20
63844808252032;1357750;0;100;3,2719;6f25c69f20
63844808252331;1358150;0;100;3,2341;6f25c69f20
63844808252698;1358417;0;100;3,1966;6f25c69f20
63844808252931;1358750;0;100;3,1597;6f25c69f20
63844808253231;1359083;0;100;3,1231;6f25c69f20
63844808253698;1359483;0;100;3,087;6f25c69f20
63844808253931;1359750;0;100;3,0513;6f25c69f20
63844808254398;1360083;0;100;3,016;6f25c69f20
63844808254665;1360483;0;100;2,9811;6f25c69f20
