Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63844227129308;1463963;0;100;670;6f7e481ac0
63844227129741;1464487;0;100;520;6f7e481ac0
63844227132975;1467710;0;100;3180;6f7e481ac0
63844227134175;1468953;0;100;1230;6f7e481ac0
63844227135707;1470359;0;100;1390;6f7e481ac0
63844227138974;1473416;0;100;3020;6f7e481ac0
63844227139508;1474286;0;100;850;6f7e481ac0
63844227140240;1475026;0;100;740;6f7e481ac0
63844227141341;1475785;0;100;750;6f7e481ac0
63844227142041;1476832;0;100;1030;6f7e481ac0
63844227142740;1477479;0;100;640;6f7e481ac0
63844227143674;1478205;0;100;720;6f7e481ac0
63844227143841;1478649;0;100;430;6f7e481ac0
63844227144874;1479652;0;100;990;6f7e481ac0
63844227146441;1481192;0;100;1520;6f7e481ac0
63844227146741;1481568;0;100;380;6f7e481ac0
63844227147274;1482045;0;100;470;6f7e481ac0
63844227148474;1482935;0;100;870;6f7e481ac0
63844227149607;1484431;0;100;1480;6f7e481ac0
63844227151173;1485991;0;100;1540;6f7e481ac0
63844227151740;1486574;0;100;580;6f7e481ac0
63844227153274;1487708;0;100;1120;6f7e481ac0
63844227156473;1491224;0;100;3470;6f7e481ac0
63844227158107;1492437;0;100;1200;6f7e481ac0
63844227158273;1493024;0;100;580;6f7e481ac0
63844227159174;1493900;0;100;860;6f7e481ac0
63844227160041;1494810;0;100;900;6f7e481ac0
63844227160707;1495480;0;100;660;6f7e481ac0
63844227162441;1497180;0;100;1680;6f7e481ac0
63844227163473;1498247;0;100;1060;6f7e481ac0
63844227164307;1499080;0;100;820;6f7e481ac0
63844227166173;1500936;0;100;1830;6f7e481ac0
63844227166940;1501716;0;100;770;6f7e481ac0
63844227167707;1502370;0;100;650;6f7e481ac0
63844227168440;1503289;0;100;910;6f7e481ac0
63844227170241;1504902;0;100;1590;6f7e481ac0
63844227171207;1505986;0;100;1070;6f7e481ac0
63844227171740;1506512;0;100;520;6f7e481ac0
63844227172973;1507782;0;100;1250;6f7e481ac0
63844227175940;1510769;0;100;2950;6f7e481ac0
63844227177373;1511889;0;100;1110;6f7e481ac0
63844227180974;1515738;0;100;3800;6f7e481ac0
63844227182473;1517211;0;100;1450;6f7e481ac0
63844227184540;1519278;0;100;2040;6f7e481ac0
63844227185340;1520181;0;100;900;6f7e481ac0
63844227186174;1520914;0;100;720;6f7e481ac0
63844227187040;1521411;0;100;490;6f7e481ac0
63844227192707;1527497;1;100;6010;6f7e481ac0
63844227194406;1529207;1;100;1690;6f7e481ac0
63844227194940;1529687;1;100;470;6f7e481ac0
63844227196606;1531123;1;100;1420;6f7e481ac0
63844227196973;1531743;1;100;620;6f7e481ac0
63844227197573;1532406;1;100;660;6f7e481ac0
63844227198240;1532993;1;100;580;6f7e481ac0
63844227199040;1533606;1;100;600;6f7e481ac0
63844227199373;1534183;1;100;570;6f7e481ac0
63844227200073;1534863;1;100;670;6f7e481ac0
63844227200806;1535559;1;100;690;6f7e481ac0
63844227202707;1537489;1;100;1910;6f7e481ac0
63844227203740;1538146;1;100;650;6f7e481ac0
63844227204906;1539679;1;100;1510;6f7e481ac0
63844227205740;1540492;1;100;800;6f7e481ac0
63844227207040;1541842;1;100;1340;6f7e481ac0
63844227207873;1542685;1;100;830;6f7e481ac0
63844227208740;1543536;1;100;840;6f7e481ac0
63844227209339;1544179;1;100;630;6f7e481ac0
63844227210040;1544835;1;100;650;6f7e481ac0
63844227210440;1545255;1;100;420;6f7e481ac0
63844227211073;1545698;1;100;430;6f7e481ac0
63844227213540;1548342;1;100;2610;6f7e481ac0
