Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844227128742;1463439;0;100;10,9829;6f7e481ac0
63844227129241;1463772;0;100;10,8558;6f7e481ac0
63844227129308;1464039;0;100;10,7302;6f7e481ac0
63844227129541;1464372;0;100;10,6061;6f7e481ac0
63844227130008;1464772;0;100;10,4834;6f7e481ac0
63844227130307;1465105;0;100;10,3621;6f7e481ac0
63844227130608;1465372;0;100;10,2423;6f7e481ac0
63844227131008;1465838;0;100;10,1238;6f7e481ac0
63844227131207;1466038;0;100;10,0067;6f7e481ac0
63844227131675;1466438;0;100;9,8909;6f7e481ac0
63844227131941;1466705;0;100;9,7765;6f7e481ac0
63844227132241;1467038;0;100;9,6634;6f7e481ac0
63844227132607;1467371;0;100;9,5516;6f7e481ac0
63844227132975;1467771;0;100;9,4411;6f7e481ac0
63844227133273;1468105;0;100;9,3319;6f7e481ac0
63844227133574;1468371;0;100;9,224;6f7e481ac0
63844227134175;1468705;0;100;9,1173;6f7e481ac0
63844227134273;1469105;0;100;9,0118;6f7e481ac0
63844227134575;1469371;0;100;8,9075;6f7e481ac0
63844227134873;1469705;0;100;8,8045;6f7e481ac0
63844227135307;1470105;0;100;8,7026;6f7e481ac0
63844227135708;1470438;0;100;8,602;6f7e481ac0
63844227135908;1470705;0;100;8,5025;6f7e481ac0
63844227136474;1471038;0;100;8,4041;6f7e481ac0
63844227136607;1471371;0;100;8,3069;6f7e481ac0
63844227136874;1471704;0;100;8,2108;6f7e481ac0
63844227137273;1472104;0;100;8,1158;6f7e481ac0
63844227137574;1472371;0;100;8,0219;6f7e481ac0
63844227137874;1472704;0;100;7,9291;6f7e481ac0
63844227138308;1473104;0;100;7,8374;6f7e481ac0
63844227138974;1473371;0;100;7,7467;6f7e481ac0
63844227138975;1473704;0;100;7,6571;6f7e481ac0
63844227139207;1474038;0;100;7,5685;6f7e481ac0
63844227139607;1474437;0;100;7,481;6f7e481ac0
63844227139908;1474704;0;100;7,3944;6f7e481ac0
63844227140240;1475038;0;100;7,3089;6f7e481ac0
63844227140741;1475437;0;100;7,2244;6f7e481ac0
63844227141341;1475771;0;100;7,1408;6f7e481ac0
63844227141341;1476104;0;100;7,0582;6f7e481ac0
63844227141607;1476371;0;100;6,9765;6f7e481ac0
63844227141941;1476704;0;100;6,8958;6f7e481ac0
