Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63845764480363;677486;0;100;52;839d1c9ec4
63845764480727;677969;0;100;68;839d1c9ec4
63845764483394;680529;0;100;58;839d1c9ec4
63845764485993;683238;0;100;50;839d1c9ec4
63845764488460;685722;0;100;45;839d1c9ec4
63845764490094;687358;0;100;43;839d1c9ec4
63845764491527;688765;0;100;43;839d1c9ec4
63845764495027;692241;0;100;37;839d1c9ec4
63845764495660;692904;0;100;49;839d1c9ec4
63845764496960;693814;0;100;53;839d1c9ec4
63845764499377;696307;0;100;47;839d1c9ec4
63845764501210;698454;0;100;43;839d1c9ec4
63845764501877;699044;0;100;56;839d1c9ec4
63845764503043;700240;0;100;55;839d1c9ec4
63845764503644;700840;0;100;65;839d1c9ec4
63845764504161;700960;0;100;162;839d1c9ec4
63845764504211;701403;0;100;156;839d1c9ec4
63845764507677;704896;0;100;125;839d1c9ec4
63845764510343;707536;0;100;103;839d1c9ec4
63845764510943;708119;0;100;103;839d1c9ec4
63845764511377;708476;0;100;118;839d1c9ec4
63845764513827;710759;0;100;98;839d1c9ec4
63845764514643;711812;0;100;89;839d1c9ec4
63845764515343;712592;0;100;86;839d1c9ec4
63845764517076;714272;0;100;75;839d1c9ec4
63845764518010;715172;0;100;73;839d1c9ec4
63845764518610;715812;0;100;78;839d1c9ec4
63845764519010;716275;0;100;90;839d1c9ec4
63845764519777;717015;0;100;88;839d1c9ec4
63845764520376;717532;0;100;95;839d1c9ec4
63845764524476;721685;0;100;77;839d1c9ec4
63845764525876;722775;0;100;72;839d1c9ec4
63845764527576;724818;0;100;63;839d1c9ec4
63845764528610;725864;0;100;62;839d1c9ec4
63845764530643;727527;0;100;56;839d1c9ec4
63845764532243;729490;0;100;51;839d1c9ec4
63845764533576;730780;0;100;50;839d1c9ec4
63845764534510;731694;0;100;53;839d1c9ec4
63845764535777;732970;0;100;52;839d1c9ec4
63845764536877;734077;0;100;53;839d1c9ec4
63845764538809;736000;0;100;48;839d1c9ec4
63845764540976;738206;0;100;44;839d1c9ec4
63845764542209;739420;0;100;45;839d1c9ec4
63845764543376;740550;0;100;47;839d1c9ec4
63845764544376;741516;0;100;50;839d1c9ec4
63845764546009;743193;0;100;47;839d1c9ec4
63845764546809;744006;0;100;53;839d1c9ec4
63845764548343;745526;0;100;50;839d1c9ec4
63845764549143;746329;0;100;56;839d1c9ec4
63845764549942;747192;0;100;59;839d1c9ec4
63845764550642;747879;0;100;66;839d1c9ec4
63845764552242;749148;0;100;62;839d1c9ec4
63845764552877;750068;0;100;63;839d1c9ec4
63845764554109;751292;0;100;60;839d1c9ec4
63845764555043;752225;0;100;61;839d1c9ec4
63845764555543;752831;1;100;70;839d1c9ec4
63845764560377;757591;1;100;57;839d1c9ec4
63845764561842;758814;1;100;55;839d1c9ec4
63845764562809;760061;1;100;54;839d1c9ec4
63845764564276;761321;1;100;53;839d1c9ec4
63845764565142;762324;1;100;54;839d1c9ec4
63845764566676;763560;1;100;53;839d1c9ec4
63845764570109;767317;1;100;45;839d1c9ec4
63845764570842;768044;1;100;53;839d1c9ec4
63845764572242;769450;1;100;51;839d1c9ec4
63845764572842;770113;1;100;60;839d1c9ec4
63845764576242;773056;1;100;51;839d1c9ec4
63845764577109;774313;1;100;51;839d1c9ec4
63845764578109;775296;1;100;53;839d1c9ec4
63845764578776;775489;1;100;112;839d1c9ec4
63845764579542;776782;1;100;97;839d1c9ec4
63845764580476;777642;1;100;91;839d1c9ec4
63845764583475;780325;1;100;76;839d1c9ec4
63845764585142;782405;1;100;66;839d1c9ec4
63845764587142;784415;1;100;58;839d1c9ec4
63845764588476;785695;1;100;56;839d1c9ec4
63845764590909;788148;1;100;49;839d1c9ec4
63845764592209;789428;1;100;48;839d1c9ec4
63845764592609;789838;1;100;71;839d1c9ec4
63845764593209;790381;1;100;80;839d1c9ec4
63845764593842;791095;1;100;81;839d1c9ec4
63845764597308;794448;1;100;67;839d1c9ec4
63845764598075;795241;1;100;69;839d1c9ec4
63845764599375;796621;1;100;64;839d1c9ec4
63845764600409;797184;1;100;73;839d1c9ec4
63845764601008;798177;1;100;71;839d1c9ec4
63845764601875;799127;1;100;69;839d1c9ec4
63845764603209;800467;-1;100;64;839d1c9ec4
63845764603808;801030;-1;100;73;839d1c9ec4
63845764606042;803296;-1;100;63;839d1c9ec4
63845764606342;803563;-1;100;100;839d1c9ec4
63845764606908;804136;-1;100;101;839d1c9ec4
63845764609975;807016;-1;100;84;839d1c9ec4
63845764610475;807713;-1;100;84;839d1c9ec4
63845764610875;808136;-1;100;97;839d1c9ec4
63845764611542;808779;-1;100;97;839d1c9ec4
63845764612875;810109;-1;100;85;839d1c9ec4
63845764613342;810493;2;100;102;839d1c9ec4
63845764615908;813172;2;100;84;839d1c9ec4
63845764618875;816038;2;100;70;839d1c9ec4
63845764619509;816692;2;100;75;839d1c9ec4
63845764621975;819028;2;100;64;839d1c9ec4
63845764622674;819908;2;100;65;839d1c9ec4
63845764623175;820348;2;100;82;839d1c9ec4
63845764624708;821881;2;100;72;839d1c9ec4
63845764625808;823041;2;100;68;839d1c9ec4
63845764626742;823834;2;100;70;839d1c9ec4
63845764628608;825877;2;100;61;839d1c9ec4
63845764629642;826811;2;100;62;839d1c9ec4
63845764631542;828691;2;100;55;839d1c9ec4
63845764631775;829024;2;100;83;839d1c9ec4
63845764632575;829840;2;100;81;839d1c9ec4
63845764633175;830464;2;100;85;839d1c9ec4
63845764634008;831177;2;100;85;839d1c9ec4
63845764634508;831724;2;100;91;839d1c9ec4
63845764636875;834077;2;100;76;839d1c9ec4
63845764637741;834993;2;100;74;839d1c9ec4
63845764638975;836190;2;100;69;839d1c9ec4
63845764639808;837023;2;100;70;839d1c9ec4
63845764640508;837763;2;100;73;839d1c9ec4
63845764641308;838553;2;100;74;839d1c9ec4
63845764642375;839623;2;100;70;839d1c9ec4
63845764644575;841809;2;100;60;839d1c9ec4
63845764645941;842802;2;100;61;839d1c9ec4
63845764647207;844429;2;100;55;839d1c9ec4
63845764647841;845032;2;100;66;839d1c9ec4
63845764649074;846229;2;100;62;839d1c9ec4
63845764650074;847332;2;100;61;839d1c9ec4
63845764650876;847935;2;100;70;839d1c9ec4
63845764652207;849405;2;100;63;839d1c9ec4
63845764653174;850338;2;100;64;839d1c9ec4
63845764654941;852138;2;100;57;839d1c9ec4
63845764657441;854685;2;100;50;839d1c9ec4
63845764657974;855221;2;100;64;839d1c9ec4
63845764659074;856321;2;100;62;839d1c9ec4
63845764660874;858124;2;100;56;839d1c9ec4
63845764661607;858784;2;100;64;839d1c9ec4
63845764662007;859244;2;100;79;839d1c9ec4
63845764664674;861894;2;100;67;839d1c9ec4
63845764665508;862711;2;100;68;839d1c9ec4
63845764667574;864441;2;100;61;839d1c9ec4
63845764667940;865187;2;100;66;839d1c9ec4
63845764668775;866000;2;100;68;839d1c9ec4
63845764669474;866680;2;100;72;839d1c9ec4
63845764672507;869346;2;100;61;839d1c9ec4
63845764672508;869760;2;100;80;839d1c9ec4
63845764673207;870466;2;100;81;839d1c9ec4
63845764674974;872103;2;100;72;839d1c9ec4
63845764678107;875276;2;100;60;839d1c9ec4
63845764679707;876913;2;100;55;839d1c9ec4
63845764680441;877699;2;100;60;839d1c9ec4
63845764680940;878186;2;100;74;839d1c9ec4
63845764682141;879349;2;100;69;839d1c9ec4
63845764684508;881549;2;100;60;839d1c9ec4
63845764685041;882229;2;100;67;839d1c9ec4
63845764685741;882905;2;100;72;839d1c9ec4
63845764686907;883938;2;100;69;839d1c9ec4
63845764686974;884182;2;100;109;839d1c9ec4
63845764690240;887511;-2;100;89;839d1c9ec4
63845764691707;888758;-2;100;80;839d1c9ec4
63845764692607;889871;-2;100;74;839d1c9ec4
63845764693574;890741;-2;100;73;839d1c9ec4
63845764695007;892238;-2;100;66;839d1c9ec4
63845764695540;892741;-2;100;78;839d1c9ec4
63845764696408;893304;-2;100;85;839d1c9ec4
63845764697507;894734;-2;100;75;839d1c9ec4
63845764699640;896824;-2;100;65;839d1c9ec4
63845764700273;897444;-2;100;72;839d1c9ec4
63845764701307;898237;-2;100;73;839d1c9ec4
63845764702740;899910;-2;100;65;839d1c9ec4
63845764703707;900573;3;100;71;839d1c9ec4
63845764708507;905356;3;100;58;839d1c9ec4
63845764708807;906020;3;100;65;839d1c9ec4
63845764711706;908956;3;100;55;839d1c9ec4
63845764712440;909606;3;100;64;839d1c9ec4
63845764713240;910016;3;100;82;839d1c9ec4
63845764714773;911949;3;100;71;839d1c9ec4
63845764715873;913099;3;100;67;839d1c9ec4
63845764718040;914895;3;100;59;839d1c9ec4
63845764718340;915549;3;100;67;839d1c9ec4
63845764721873;919055;3;100;56;839d1c9ec4
63845764723140;920345;3;100;54;839d1c9ec4
63845764723540;920768;3;100;74;839d1c9ec4
63845764723873;921081;3;100;100;839d1c9ec4
63845764724506;921721;3;100;99;839d1c9ec4
63845764725940;923098;3;100;87;839d1c9ec4
63845764727740;924964;3;100;75;839d1c9ec4
63845764728473;925734;3;100;76;839d1c9ec4
63845764729606;926834;3;100;71;839d1c9ec4
63845764731039;928277;3;100;65;839d1c9ec4
63845764731673;928901;3;100;72;839d1c9ec4
63845764733839;931024;3;100;62;839d1c9ec4
63845764734339;931591;3;100;72;839d1c9ec4
63845764736473;933687;3;100;63;839d1c9ec4
63845764736773;933993;3;100;93;839d1c9ec4
63845764739673;936507;3;100;78;839d1c9ec4
63845764740539;937770;3;100;71;839d1c9ec4
63845764742106;939289;3;100;64;839d1c9ec4
63845764742773;939936;3;100;71;839d1c9ec4
63845764743173;940336;3;100;88;839d1c9ec4
63845764744573;941603;3;100;79;839d1c9ec4
63845764745039;942273;3;100;82;839d1c9ec4
63845764745839;943046;3;100;81;839d1c9ec4
63845764746873;943892;3;100;79;839d1c9ec4
63845764747373;944492;3;100;84;839d1c9ec4
63845764749273;946099;-3;100;74;839d1c9ec4
63845764750506;947715;-3;100;66;839d1c9ec4
63845764751039;948262;-3;100;75;839d1c9ec4
63845764754140;951188;-3;100;63;839d1c9ec4
63845764755473;952695;-3;100;58;839d1c9ec4
63845764755872;953145;-3;100;75;839d1c9ec4
63845764756906;954128;-3;100;72;839d1c9ec4
63845764758206;955418;4;100;67;839d1c9ec4
63845764759039;956291;4;100;67;839d1c9ec4
63845764760173;957354;4;100;65;839d1c9ec4
63845764762506;959707;4;100;56;839d1c9ec4
63845764763673;960627;4;100;58;839d1c9ec4
63845764763906;961184;4;100;70;839d1c9ec4
63845764766239;963017;4;100;62;839d1c9ec4
63845764766240;963424;4;100;81;839d1c9ec4
63845764766973;964227;4;100;80;839d1c9ec4
63845764769205;966437;4;100;68;839d1c9ec4
63845764770006;967220;4;100;70;839d1c9ec4
63845764770339;967567;4;100;94;839d1c9ec4
63845764771872;969017;4;100;82;839d1c9ec4
63845764772472;969700;4;100;84;839d1c9ec4
63845764773339;970450;4;100;83;839d1c9ec4
63845764776405;973653;4;100;69;839d1c9ec4
63845764776806;973996;4;100;93;839d1c9ec4
63845764777005;974256;4;100;126;839d1c9ec4
63845764778239;975429;4;100;109;839d1c9ec4
63845764778539;975796;4;100;122;839d1c9ec4
63845764779806;976929;4;100;107;839d1c9ec4
63845764781739;978936;4;100;90;839d1c9ec4
63845764782339;979599;4;100;90;839d1c9ec4
63845764783972;981215;4;100;78;839d1c9ec4
63845764784672;981852;4;100;82;839d1c9ec4
63845764786139;983339;4;100;73;839d1c9ec4
63845764787738;984668;4;100;67;839d1c9ec4
63845764787739;984928;4;100;103;839d1c9ec4
63845764788072;985302;4;100;117;839d1c9ec4
63845764788972;986218;4;100;106;839d1c9ec4
63845764790173;987278;4;100;95;839d1c9ec4
