Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63845764480363;677544;0;100;18,3315;839d1c9ec4
63845764480627;677878;0;100;18,1194;839d1c9ec4
63845764481027;678278;0;100;17,9098;839d1c9ec4
63845764481360;678544;0;100;17,7026;839d1c9ec4
63845764481627;678878;0;100;17,4978;839d1c9ec4
63845764481960;679211;0;100;19,3777;839d1c9ec4
63845764482561;679611;0;100;19,1535;839d1c9ec4
63845764482727;679878;0;100;18,9319;839d1c9ec4
63845764482960;680211;0;100;18,7129;839d1c9ec4
63845764483394;680544;0;100;18,4964;839d1c9ec4
63845764483627;680877;0;100;18,2825;839d1c9ec4
63845764483960;681211;0;100;18,071;839d1c9ec4
63845764484360;681611;0;100;17,8619;839d1c9ec4
63845764484927;681877;0;100;17,6553;839d1c9ec4
63845764484960;682211;0;100;17,4511;839d1c9ec4
63845764485394;682610;0;100;17,2492;839d1c9ec4
63845764485694;682944;0;100;17,0497;839d1c9ec4
63845764485993;683210;0;100;16,8524;839d1c9ec4
63845764486327;683544;0;100;16,6575;839d1c9ec4
63845764486694;683944;0;100;16,4648;839d1c9ec4
63845764487360;684210;0;100;16,2743;839d1c9ec4
63845764487427;684544;0;100;16,0861;839d1c9ec4
63845764487594;684877;0;100;15,9;839d1c9ec4
63845764488027;685277;0;100;17,7983;839d1c9ec4
63845764488360;685610;0;100;17,5924;839d1c9ec4
63845764488660;685877;0;100;17,3889;839d1c9ec4
63845764488960;686210;0;100;17,1877;839d1c9ec4
63845764489360;686543;0;100;16,9889;839d1c9ec4
63845764489760;686943;0;100;16,7924;839d1c9ec4
63845764489994;687210;0;100;16,5981;839d1c9ec4
63845764490360;687543;0;100;16,4061;839d1c9ec4
63845764490627;687877;0;100;16,2163;839d1c9ec4
63845764491027;688277;0;100;16,0287;839d1c9ec4
63845764491327;688543;0;100;15,8433;839d1c9ec4
63845764491627;688877;0;100;15,66;839d1c9ec4
63845764492177;689277;0;100;15,4789;839d1c9ec4
63845764492360;689610;0;100;15,2998;839d1c9ec4
63845764492627;689876;0;100;15,1228;839d1c9ec4
63845764492943;690210;0;100;17,0301;839d1c9ec4
63845764493393;690610;0;100;16,8331;839d1c9ec4
63845764493677;690876;0;100;16,6384;839d1c9ec4
63845764493976;691210;0;100;16,4459;839d1c9ec4
63845764494560;691610;0;100;18,3379;839d1c9ec4
63845764494710;691876;0;100;18,1258;839d1c9ec4
63845764495027;692276;0;100;17,9161;839d1c9ec4
63845764495377;692543;0;100;17,7089;839d1c9ec4
