Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63844230255702;1204127;0;100;5300;8cf2a7d56a
63844230256336;1204614;0;100;480;8cf2a7d56a
63844230256769;1205140;0;100;520;8cf2a7d56a
63844230257335;1205724;0;100;580;8cf2a7d56a
63844230257802;1206184;0;100;450;8cf2a7d56a
63844230258769;1206707;0;100;520;8cf2a7d56a
63844230259469;1207920;0;100;1200;8cf2a7d56a
63844230259936;1208313;0;100;390;8cf2a7d56a
63844230260437;1208790;0;100;470;8cf2a7d56a
63844230261136;1209347;0;100;550;8cf2a7d56a
63844230261436;1209853;0;100;500;8cf2a7d56a
63844230262069;1210497;0;100;630;8cf2a7d56a
63844230262869;1211320;0;100;820;8cf2a7d56a
63844230263536;1211943;0;100;610;8cf2a7d56a
63844230264502;1212876;0;100;920;8cf2a7d56a
63844230264902;1213370;0;100;490;8cf2a7d56a
63844230265935;1214000;0;100;620;8cf2a7d56a
63844230266036;1214363;0;100;360;8cf2a7d56a
63844230266569;1215036;0;100;670;8cf2a7d56a
63844230270735;1218799;0;100;3710;8cf2a7d56a
63844230271102;1219546;0;100;740;8cf2a7d56a
63844230271402;1219812;0;100;260;8cf2a7d56a
63844230274802;1223212;0;100;3360;8cf2a7d56a
63844230280502;1228781;0;100;5500;8cf2a7d56a
63844230280735;1229168;0;100;380;8cf2a7d56a
63844230281368;1229781;0;100;610;8cf2a7d56a
63844230281702;1230118;0;100;330;8cf2a7d56a
63844230282768;1230805;0;100;680;8cf2a7d56a
63844230285635;1234057;0;100;3210;8cf2a7d56a
63844230287969;1236371;0;100;2280;8cf2a7d56a
63844230288769;1237184;0;100;810;8cf2a7d56a
63844230289168;1237574;0;100;380;8cf2a7d56a
63844230295602;1243967;0;100;6320;8cf2a7d56a
63844230296102;1244543;0;100;570;8cf2a7d56a
63844230296501;1244913;0;100;360;8cf2a7d56a
63844230297202;1245403;0;100;480;8cf2a7d56a
63844230297635;1245993;0;100;590;8cf2a7d56a
63844230297935;1246330;0;100;330;8cf2a7d56a
63844230298435;1246816;0;100;480;8cf2a7d56a
63844230298935;1247406;0;100;580;8cf2a7d56a
63844230299602;1247863;0;100;450;8cf2a7d56a
63844230299768;1248209;0;100;350;8cf2a7d56a
63844230300268;1248726;0;100;510;8cf2a7d56a
63844230300768;1249183;0;100;450;8cf2a7d56a
63844230301401;1249836;0;100;640;8cf2a7d56a
63844230302068;1250123;0;100;290;8cf2a7d56a
63844230302202;1250649;0;100;520;8cf2a7d56a
63844230308001;1256412;0;100;5690;8cf2a7d56a
63844230308435;1256802;0;100;380;8cf2a7d56a
63844230309202;1257378;0;100;570;8cf2a7d56a
63844230310735;1259155;0;100;1760;8cf2a7d56a
