Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63844549069367;1332549;0;100;3240;c7bd047d00
63844549070200;1333362;0;100;800;c7bd047d00
63844549072034;1335188;0;100;1800;c7bd047d00
63844549076800;1339961;0;100;4720;c7bd047d00
63844549078534;1341744;0;100;1760;c7bd047d00
63844549080334;1343424;0;100;1660;c7bd047d00
63844549080967;1344164;0;100;730;c7bd047d00
63844549081567;1344804;0;100;630;c7bd047d00
63844549083200;1346370;0;100;1550;c7bd047d00
63844549087467;1350247;0;100;3830;c7bd047d00
63844549087667;1350877;0;100;620;c7bd047d00
63844549088100;1351280;0;100;400;c7bd047d00
63844549090334;1353510;0;100;2200;c7bd047d00
63844549091067;1354286;0;100;770;c7bd047d00
63844549091367;1354573;0;100;280;c7bd047d00
63844549092369;1355546;0;100;960;c7bd047d00
63844549095200;1358456;0;100;2880;c7bd047d00
63844549099800;1362979;0;100;4470;c7bd047d00
63844549101333;1364559;0;100;1570;c7bd047d00
63844549102533;1365785;0;100;1210;c7bd047d00
63844549103366;1366538;0;100;740;c7bd047d00
63844549104433;1367625;0;100;1070;c7bd047d00
63844549105033;1368198;0;100;570;c7bd047d00
63844549107067;1370248;0;100;2020;c7bd047d00
63844549117333;1380574;0;100;10200;c7bd047d00
63844549117933;1381147;0;100;570;c7bd047d00
63844549119466;1382677;0;100;1510;c7bd047d00
63844549120000;1383157;0;100;480;c7bd047d00
63844549120400;1383557;0;100;390;c7bd047d00
63844549126200;1389243;0;100;5620;c7bd047d00
63844549129100;1392302;0;100;3020;c7bd047d00
63844549129833;1392962;0;100;650;c7bd047d00
63844549131066;1394223;0;100;1250;c7bd047d00
63844549132299;1395475;0;100;1230;c7bd047d00
63844549132599;1395782;0;100;310;c7bd047d00
63844549134032;1397132;0;100;1330;c7bd047d00
63844549135666;1398879;0;100;1730;c7bd047d00
63844549136399;1399558;0;100;670;c7bd047d00
63844549137466;1400662;0;100;1090;c7bd047d00
63844549138166;1401278;0;100;610;c7bd047d00
63844549139133;1402362;0;100;1070;c7bd047d00
63844549139866;1403041;0;100;670;c7bd047d00
63844549142266;1405444;0;100;2370;c7bd047d00
63844549143099;1406318;0;100;860;c7bd047d00
63844549144399;1407578;0;100;1250;c7bd047d00
63844549145166;1408064;0;100;480;c7bd047d00
63844549145833;1409034;0;100;960;c7bd047d00
63844549146933;1410194;0;100;1140;c7bd047d00
63844549148566;1411781;0;100;1570;c7bd047d00
63844549149466;1412637;0;100;850;c7bd047d00
63844549150199;1413357;0;100;710;c7bd047d00
63844549150699;1413864;0;100;500;c7bd047d00
63844549158599;1421786;0;100;7820;c7bd047d00
63844549164533;1427712;0;100;5860;c7bd047d00
63844549167033;1430269;0;100;2520;c7bd047d00
63844549172599;1435805;1;100;5470;c7bd047d00
63844549178232;1441441;1;100;5570;c7bd047d00
63844549179798;1442964;1;100;1500;c7bd047d00
63844549181365;1444454;1;100;1470;c7bd047d00
63844549183199;1446327;1;100;1850;c7bd047d00
63844549183732;1446960;1;100;630;c7bd047d00
63844549184465;1447657;1;100;690;c7bd047d00
63844549186099;1448913;1;100;1240;c7bd047d00
63844549190198;1453363;1;100;4390;c7bd047d00
63844549192598;1455843;1;100;2450;c7bd047d00
63844549198132;1460839;1;100;4940;c7bd047d00
63844549199898;1463082;1;100;2210;c7bd047d00
63844549202933;1465925;1;100;2810;c7bd047d00
63844549205432;1468655;1;100;2700;c7bd047d00
63844549206232;1469438;1;100;770;c7bd047d00
63844549206831;1469991;1;100;550;c7bd047d00
63844549210632;1473894;1;100;3870;c7bd047d00
63844549211465;1474648;1;100;740;c7bd047d00
63844549212499;1475397;1;100;740;c7bd047d00
63844549212499;1475648;1;100;250;c7bd047d00
63844549217265;1480380;1;100;4670;c7bd047d00
63844549217865;1481070;1;100;680;c7bd047d00
63844549218598;1481770;1;100;690;c7bd047d00
