Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63844549067668;1330854;0;100;-14015,2;c7bd047d00
63844549067767;1330987;0;100;-14000,8;c7bd047d00
63844549067767;1330987;0;100;-13999;c7bd047d00
63844549068234;1331054;0;100;-13999,2;c7bd047d00
63844549068334;1331187;0;100;-14000,6;c7bd047d00
63844549068334;1331187;0;100;-13991,4;c7bd047d00
63844549068334;1331254;0;100;-13996,8;c7bd047d00
63844549068334;1331387;0;100;-13986,4;c7bd047d00
63844549068334;1331387;0;100;-13975,8;c7bd047d00
63844549068334;1331454;0;100;-13978,2;c7bd047d00
63844549068367;1331587;0;100;-13984;c7bd047d00
63844549068367;1331587;0;100;-13978;c7bd047d00
63844549068467;1331654;0;100;-13986,4;c7bd047d00
63844549068567;1331787;0;100;-13992,8;c7bd047d00
63844549068567;1331787;0;100;-14002,2;c7bd047d00
63844549068700;1331921;0;100;-14001,6;c7bd047d00
63844549068700;1331921;0;100;-13998,4;c7bd047d00
63844549068768;1331987;0;100;-13988;c7bd047d00
63844549068867;1332120;0;100;-13985,6;c7bd047d00
63844549068867;1332120;0;100;-13987;c7bd047d00
63844549068967;1332187;0;100;-13988,8;c7bd047d00
63844549069067;1332320;0;100;-13989,4;c7bd047d00
63844549069067;1332320;0;100;-13990,8;c7bd047d00
63844549069167;1332387;0;100;-13987,4;c7bd047d00
63844549069267;1332520;0;100;-13986,4;c7bd047d00
63844549069267;1332520;0;100;-13986,2;c7bd047d00
63844549069367;1332587;0;100;-13992,6;c7bd047d00
63844549069467;1332720;0;100;-13996;c7bd047d00
63844549069467;1332720;0;100;-14007;c7bd047d00
63844549069567;1332787;0;100;-14014,8;c7bd047d00
63844549069667;1332920;0;100;-14005,8;c7bd047d00
63844549069667;1332920;0;100;-13996,6;c7bd047d00
63844549069767;1332987;0;100;-13993;c7bd047d00
63844549069901;1333120;0;100;-13988,2;c7bd047d00
63844549069901;1333120;0;100;-13997,8;c7bd047d00
63844549070067;1333187;0;100;-13996,6;c7bd047d00
63844549070101;1333320;0;100;-13992;c7bd047d00
63844549070101;1333320;0;100;-13978,2;c7bd047d00
63844549070200;1333387;0;100;-13970;c7bd047d00
63844549070667;1333520;0;100;-13971;c7bd047d00
63844549070667;1333520;0;100;-13969,2;c7bd047d00
63844549070667;1333587;0;100;-13972,8;c7bd047d00
63844549070667;1333720;0;100;-13971,4;c7bd047d00
63844549070667;1333720;0;100;-13971,2;c7bd047d00
63844549070667;1333787;0;100;-13988,4;c7bd047d00
63844549070700;1333920;0;100;-13968,4;c7bd047d00
63844549070700;1333920;0;100;-13960,4;c7bd047d00
63844549070800;1334054;0;100;-13956;c7bd047d00
63844549070800;1334054;0;100;-13957;c7bd047d00
63844549070901;1334120;0;100;-13958,6;c7bd047d00
63844549071000;1334254;0;100;-13970,4;c7bd047d00
63844549071000;1334254;0;100;-13979;c7bd047d00
63844549071100;1334320;0;100;-13975,2;c7bd047d00
63844549071234;1334454;0;100;-13957,8;c7bd047d00
63844549071234;1334454;0;100;-13966,6;c7bd047d00
63844549071301;1334520;0;100;-13971,6;c7bd047d00
63844549071400;1334654;0;100;-13961,4;c7bd047d00
63844549071400;1334654;0;100;-13960;c7bd047d00
63844549071567;1334720;0;100;-13970;c7bd047d00
63844549071634;1334854;0;100;-13954,8;c7bd047d00
63844549071634;1334854;0;100;-13956,8;c7bd047d00
63844549071734;1334920;0;100;-13984,4;c7bd047d00
63844549071801;1335054;0;100;-13992;c7bd047d00
63844549071801;1335054;0;100;-13956,2;c7bd047d00
63844549071900;1335120;0;100;-13929,8;c7bd047d00
63844549072034;1335254;0;100;-13928,2;c7bd047d00
63844549072034;1335254;0;100;-13930,4;c7bd047d00
63844549072134;1335320;0;100;-13933,8;c7bd047d00
63844549072234;1335453;0;100;-13935,4;c7bd047d00
63844549072234;1335453;0;100;-13935,8;c7bd047d00
63844549072334;1335520;0;100;-13935,4;c7bd047d00
63844549072434;1335653;0;100;-13939,8;c7bd047d00
63844549072434;1335653;0;100;-13946,2;c7bd047d00
63844549072534;1335787;0;100;-13933;c7bd047d00
63844549072534;1335787;0;100;-13935,4;c7bd047d00
63844549072634;1335853;0;100;-13925,8;c7bd047d00
63844549073067;1335987;0;100;-13921,8;c7bd047d00
63844549073067;1335987;0;100;-13925;c7bd047d00
63844549073067;1336053;0;100;-13928,6;c7bd047d00
63844549073067;1336187;0;100;-13932;c7bd047d00
63844549073067;1336187;0;100;-13931;c7bd047d00
63844549073068;1336253;0;100;-13931,2;c7bd047d00
63844549073200;1336387;0;100;-13934,6;c7bd047d00
63844549073200;1336387;0;100;-13930;c7bd047d00
63844549073234;1336453;0;100;-13937,8;c7bd047d00
63844549073334;1336587;0;100;-13932;c7bd047d00
63844549073334;1336587;0;100;-13932,6;c7bd047d00
63844549073434;1336653;0;100;-13922;c7bd047d00
63844549073534;1336787;0;100;-13903,4;c7bd047d00
63844549073534;1336787;0;100;-13902,4;c7bd047d00
63844549073634;1336853;0;100;-13898,2;c7bd047d00
63844549073767;1336987;0;100;-13895,4;c7bd047d00
63844549073767;1336987;0;100;-13901,6;c7bd047d00
63844549073834;1337054;0;100;-13907,6;c7bd047d00
63844549073934;1337187;0;100;-13922,8;c7bd047d00
63844549073934;1337187;0;100;-13935;c7bd047d00
63844549074034;1337253;0;100;-13936,8;c7bd047d00
63844549074167;1337387;0;100;-13929;c7bd047d00
63844549074167;1337387;0;100;-13930,6;c7bd047d00
63844549074267;1337453;0;100;-13932,4;c7bd047d00
63844549074368;1337587;0;100;-13935,4;c7bd047d00
63844549074368;1337587;0;100;-13941,2;c7bd047d00
63844549074467;1337653;0;100;-13940,2;c7bd047d00
63844549074567;1337787;0;100;-13923;c7bd047d00
63844549074567;1337787;0;100;-13907,2;c7bd047d00
63844549074667;1337853;0;100;-13899;c7bd047d00
63844549074767;1337987;0;100;-13895,4;c7bd047d00
63844549074767;1337987;0;100;-13896;c7bd047d00
63844549074867;1338120;0;100;-13909,4;c7bd047d00
63844549074867;1338120;0;100;-13910,4;c7bd047d00
63844549074967;1338187;0;100;-13898,2;c7bd047d00
63844549075434;1338320;0;100;-13901,8;c7bd047d00
63844549075434;1338320;0;100;-13905,6;c7bd047d00
63844549075467;1338387;0;100;-13914,6;c7bd047d00
63844549075468;1338520;0;100;-13920,6;c7bd047d00
63844549075468;1338520;0;100;-13909,4;c7bd047d00
63844549075468;1338587;0;100;-13900,4;c7bd047d00
63844549075468;1338720;0;100;-13897,2;c7bd047d00
63844549075468;1338720;0;100;-13899,4;c7bd047d00
63844549075634;1338787;0;100;-13898,2;c7bd047d00
63844549075667;1338920;0;100;-13906;c7bd047d00
63844549075667;1338920;0;100;-13898,6;c7bd047d00
63844549075767;1338987;0;100;-13893,8;c7bd047d00
63844549075867;1339120;0;100;-13898,6;c7bd047d00
63844549075867;1339120;0;100;-13896;c7bd047d00
63844549075967;1339187;0;100;-13888,4;c7bd047d00
63844549076067;1339320;0;100;-13891,8;c7bd047d00
63844549076067;1339320;0;100;-13887,8;c7bd047d00
63844549076167;1339386;0;100;-13887,2;c7bd047d00
63844549076267;1339520;0;100;-13892,2;c7bd047d00
63844549076267;1339520;0;100;-13897;c7bd047d00
63844549076400;1339587;0;100;-13895,2;c7bd047d00
63844549076500;1339720;0;100;-13886,4;c7bd047d00
63844549076500;1339720;0;100;-13877,6;c7bd047d00
63844549076567;1339786;0;100;-13882,4;c7bd047d00
63844549076701;1339920;0;100;-13889,4;c7bd047d00
63844549076701;1339920;0;100;-13901,4;c7bd047d00
63844549076800;1339986;0;100;-13903,8;c7bd047d00
63844549076900;1340120;0;100;-13906,2;c7bd047d00
63844549076900;1340120;0;100;-13910,6;c7bd047d00
63844549077000;1340186;0;100;-13903,2;c7bd047d00
