Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844549068334;1331187;0;100;9,6137;c7bd047d00
63844549068334;1331454;0;100;9,5025;c7bd047d00
63844549068567;1331787;0;100;9,3926;c7bd047d00
63844549068867;1332120;0;100;9,2839;c7bd047d00
63844549069267;1332520;0;100;9,1765;c7bd047d00
63844549069567;1332787;0;100;9,0704;c7bd047d00
63844549069901;1333120;0;100;8,9654;c7bd047d00
63844549070667;1333520;0;100;8,8617;c7bd047d00
63844549070667;1333787;0;100;8,7592;c7bd047d00
63844549070901;1334120;0;100;8,6579;c7bd047d00
63844549071234;1334454;0;100;8,5577;c7bd047d00
63844549071600;1334854;0;100;8,4587;c7bd047d00
63844549071900;1335120;0;100;8,3609;c7bd047d00
63844549072234;1335453;0;100;8,2642;c7bd047d00
63844549072534;1335787;0;100;8,1686;c7bd047d00
63844549073067;1336187;0;100;8,0741;c7bd047d00
63844549073234;1336453;0;100;7,9807;c7bd047d00
63844549073534;1336787;0;100;7,8884;c7bd047d00
63844549073934;1337187;0;100;7,7971;c7bd047d00
63844549074267;1337453;0;100;7,7069;c7bd047d00
63844549074567;1337787;0;100;7,6178;c7bd047d00
63844549074867;1338120;0;100;7,5296;c7bd047d00
63844549075468;1338520;0;100;7,4425;c7bd047d00
63844549075634;1338787;0;100;7,3564;c7bd047d00
63844549075867;1339120;0;100;7,2713;c7bd047d00
63844549076267;1339520;0;100;7,1872;c7bd047d00
63844549076567;1339786;0;100;7,1041;c7bd047d00
63844549076900;1340120;0;100;7,0219;c7bd047d00
63844549077267;1340453;0;100;6,9407;c7bd047d00
63844549077867;1340853;0;100;8,9426;c7bd047d00
63844549078000;1341120;0;100;10,9214;c7bd047d00
63844549078234;1341453;0;100;10,7951;c7bd047d00
63844549078634;1341853;0;100;10,6702;c7bd047d00
63844549078934;1342120;0;100;12,629;c7bd047d00
63844549079234;1342453;0;100;12,4829;c7bd047d00
63844549079534;1342786;0;100;12,3385;c7bd047d00
63844549080334;1343186;0;100;12,1958;c7bd047d00
63844549080334;1343453;0;100;12,0547;c7bd047d00
63844549080567;1343786;0;100;11,9153;c7bd047d00
63844549080967;1344186;0;100;11,7774;c7bd047d00
63844549081267;1344519;0;100;11,6412;c7bd047d00
63844549081567;1344786;0;100;11,5065;c7bd047d00
63844549081867;1345119;0;100;11,3734;c7bd047d00
63844549082667;1345519;0;100;11,2418;c7bd047d00
63844549082667;1345786;0;100;11,1118;c7bd047d00
63844549082900;1346119;0;100;10,9833;c7bd047d00
63844549083300;1346519;0;100;10,8562;c7bd047d00
63844549083600;1346852;0;100;12,8129;c7bd047d00
63844549083900;1347119;0;100;12,6646;c7bd047d00
63844549084234;1347452;0;100;12,5181;c7bd047d00
63844549084634;1347852;0;100;12,3733;c7bd047d00
63844549085134;1348119;0;100;12,2302;c7bd047d00
63844549085233;1348452;0;100;12,0887;c7bd047d00
63844549085534;1348785;0;100;11,9489;c7bd047d00
63844549085933;1349185;0;100;11,8106;c7bd047d00
63844549086234;1349452;0;100;11,674;c7bd047d00
63844549086534;1349785;0;100;11,539;c7bd047d00
63844549086967;1350185;0;100;11,4055;c7bd047d00
63844549087534;1350452;0;100;13,3558;c7bd047d00
63844549087567;1350785;0;100;15,2836;c7bd047d00
63844549087900;1351119;0;100;15,1068;c7bd047d00
63844549088234;1351452;0;100;17,0143;c7bd047d00
63844549088634;1351852;0;100;18,8997;c7bd047d00
63844549088934;1352119;0;100;18,681;c7bd047d00
63844549089233;1352452;0;100;20,5472;c7bd047d00
63844549089867;1352785;0;100;20,3095;c7bd047d00
63844549089968;1353185;0;100;20,0746;c7bd047d00
63844549090267;1353452;0;100;19,8423;c7bd047d00
63844549090533;1353785;0;100;19,6128;c7bd047d00
63844549090967;1354185;0;100;19,3859;c7bd047d00
63844549091267;1354452;0;100;19,1617;c7bd047d00
63844549091567;1354785;0;100;18,94;c7bd047d00
63844549092267;1355118;0;100;18,7209;c7bd047d00
63844549092369;1355518;0;100;20,5866;c7bd047d00
63844549092567;1355785;0;100;20,3484;c7bd047d00
63844549092867;1356118;0;100;20,113;c7bd047d00
63844549093300;1356518;0;100;21,9626;c7bd047d00
63844549093600;1356785;0;100;21,7086;c7bd047d00
63844549093900;1357118;0;100;21,4574;c7bd047d00
63844549094200;1357451;0;100;21,2092;c7bd047d00
63844549094734;1357851;0;100;20,9639;c7bd047d00
63844549094933;1358118;0;100;22,8036;c7bd047d00
63844549095200;1358451;0;100;22,5398;c7bd047d00
63844549095634;1358851;0;100;22,2791;c7bd047d00
63844549095933;1359184;0;100;22,0213;c7bd047d00
63844549096234;1359451;0;100;21,7666;c7bd047d00
63844549096534;1359784;0;100;21,5148;c7bd047d00
63844549097101;1360184;0;100;21,2659;c7bd047d00
63844549097267;1360451;0;100;21,0199;c7bd047d00
63844549097567;1360784;0;100;20,7768;c7bd047d00
63844549097967;1361184;0;100;20,5364;c7bd047d00
63844549098267;1361518;0;100;20,2988;c7bd047d00
63844549098567;1361784;0;100;20,064;c7bd047d00
63844549098866;1362118;0;100;19,8319;c7bd047d00
63844549099600;1362517;0;100;19,6025;c7bd047d00
63844549099634;1362784;0;100;19,3757;c7bd047d00
63844549099900;1363117;0;100;19,1516;c7bd047d00
63844549100300;1363517;0;100;18,9301;c7bd047d00
63844549100600;1363851;0;100;18,7111;c7bd047d00
63844549100900;1364117;0;100;20,5769;c7bd047d00
63844549101200;1364451;0;100;20,3388;c7bd047d00
63844549101900;1364851;0;100;20,1036;c7bd047d00
63844549101933;1365117;0;100;19,871;c7bd047d00
63844549102233;1365450;0;100;19,6411;c7bd047d00
63844549102533;1365784;0;100;19,4139;c7bd047d00
63844549102933;1366184;0;100;19,1893;c7bd047d00
63844549103233;1366450;0;100;18,9674;c7bd047d00
63844549103567;1366784;0;100;18,7479;c7bd047d00
63844549104300;1367184;0;100;18,5311;c7bd047d00
63844549104368;1367517;0;100;18,3167;c7bd047d00
63844549104733;1367850;0;100;18,1048;c7bd047d00
63844549104933;1368184;0;100;17,8954;c7bd047d00
63844549105233;1368450;0;100;17,6884;c7bd047d00
63844549105533;1368783;0;100;17,4837;c7bd047d00
63844549105933;1369184;0;100;17,2815;c7bd047d00
63844549106266;1369450;0;100;17,0816;c7bd047d00
63844549106700;1369783;0;100;16,884;c7bd047d00
63844549106900;1370117;0;100;16,6887;c7bd047d00
63844549107266;1370517;0;100;16,4956;c7bd047d00
63844549107567;1370783;0;100;16,3048;c7bd047d00
63844549107866;1371117;0;100;16,1162;c7bd047d00
63844549108300;1371517;0;100;15,9297;c7bd047d00
63844549108600;1371850;0;100;15,7455;c7bd047d00
63844549109100;1372117;0;100;15,5633;c7bd047d00
63844549109233;1372450;0;100;15,3833;c7bd047d00
63844549109600;1372850;0;100;15,2053;c7bd047d00
63844549109933;1373116;0;100;15,0294;c7bd047d00
63844549110234;1373450;0;100;14,8556;c7bd047d00
63844549110533;1373783;0;100;14,6837;c7bd047d00
63844549110933;1374183;0;100;14,5138;c7bd047d00
63844549111567;1374450;0;100;14,3459;c7bd047d00
63844549111567;1374783;0;100;16,2622;c7bd047d00
63844549111933;1375183;0;100;18,1564;c7bd047d00
63844549112266;1375450;0;100;17,9463;c7bd047d00
63844549112566;1375783;0;100;17,7387;c7bd047d00
63844549112867;1376116;0;100;17,5335;c7bd047d00
63844549113266;1376516;0;100;17,3307;c7bd047d00
63844549114000;1376783;0;100;17,1302;c7bd047d00
63844549114000;1377116;0;100;16,9321;c7bd047d00
63844549114300;1377516;0;100;16,7362;c7bd047d00
63844549114600;1377849;0;100;16,5426;c7bd047d00
63844549114900;1378116;0;100;16,3512;c7bd047d00
63844549115200;1378449;0;100;16,1621;c7bd047d00
63844549115634;1378849;0;100;15,9751;c7bd047d00
63844549116300;1379116;0;100;17,8725;c7bd047d00
63844549116467;1379449;0;100;17,6658;c7bd047d00
63844549116666;1379849;0;100;17,4614;c7bd047d00
63844549116933;1380182;0;100;17,2594;c7bd047d00
63844549117233;1380449;0;100;17,0598;c7bd047d00
63844549117533;1380782;0;100;16,8624;c7bd047d00
63844549117933;1381182;0;100;16,6674;c7bd047d00
63844549118267;1381449;0;100;16,4746;c7bd047d00
63844549118834;1381782;0;100;16,284;c7bd047d00
63844549118966;1382182;0;100;16,0956;c7bd047d00
63844549119266;1382515;0;100;15,9094;c7bd047d00
63844549119566;1382782;0;100;17,8076;c7bd047d00
63844549119900;1383115;0;100;19,6839;c7bd047d00
63844549120299;1383515;0;100;21,5384;c7bd047d00
63844549120600;1383782;0;100;21,2893;c7bd047d00
63844549121200;1384115;0;100;21,043;c7bd047d00
63844549121200;1384449;0;100;20,7996;c7bd047d00
63844549121533;1384782;0;100;20,559;c7bd047d00
63844549121933;1385182;0;100;20,3211;c7bd047d00
63844549122233;1385449;0;100;20,086;c7bd047d00
63844549122567;1385782;0;100;21,9359;c7bd047d00
63844549122966;1386182;0;100;23,7644;c7bd047d00
63844549123566;1386448;0;100;23,4895;c7bd047d00
63844549123600;1386848;0;100;23,2178;c7bd047d00
63844549123933;1387182;0;100;25,0315;c7bd047d00
63844549124234;1387448;0;100;24,7419;c7bd047d00
63844549124533;1387782;0;100;24,4557;c7bd047d00
63844549124933;1388182;0;100;24,1728;c7bd047d00
63844549125233;1388448;0;100;23,8931;c7bd047d00
63844549125900;1388782;0;100;23,6168;c7bd047d00
63844549126033;1389115;0;100;23,3435;c7bd047d00
63844549126200;1389448;0;100;23,0735;c7bd047d00
63844549126600;1389848;0;100;22,8066;c7bd047d00
63844549126899;1390115;0;100;22,5428;c7bd047d00
63844549127200;1390448;0;100;22,282;c7bd047d00
63844549127567;1390781;0;100;24,1065;c7bd047d00
63844549127866;1391115;0;100;23,8276;c7bd047d00
63844549128466;1391515;0;100;23,552;c7bd047d00
63844549128566;1391781;0;100;23,2795;c7bd047d00
63844549128866;1392114;0;100;23,0102;c7bd047d00
63844549129300;1392514;0;100;22,744;c7bd047d00
63844549129533;1392781;0;100;22,4809;c7bd047d00
63844549129933;1393181;0;100;22,2209;c7bd047d00
63844549130233;1393448;0;100;21,9638;c7bd047d00
63844549130833;1393781;0;100;21,7097;c7bd047d00
63844549130966;1394181;0;100;23,5409;c7bd047d00
63844549131266;1394514;0;100;23,2685;c7bd047d00
63844549131599;1394848;0;100;22,9994;c7bd047d00
63844549131900;1395114;0;100;22,7333;c7bd047d00
63844549132233;1395447;0;100;22,4703;c7bd047d00
63844549132599;1395847;0;100;22,2104;c7bd047d00
63844549133133;1396114;0;100;21,9535;c7bd047d00
63844549133299;1396447;0;100;21,6995;c7bd047d00
63844549133666;1396847;0;100;23,5307;c7bd047d00
63844549134032;1397247;0;100;23,2585;c7bd047d00
63844549134266;1397514;0;100;22,9895;c7bd047d00
63844549134566;1397781;0;100;24,8058;c7bd047d00
63844549134866;1398114;0;100;26,6011;c7bd047d00
63844549135599;1398514;0;100;26,2933;c7bd047d00
63844549135600;1398781;0;100;25,9892;c7bd047d00
63844549135933;1399114;0;100;25,6885;c7bd047d00
63844549136199;1399447;0;100;25,3914;c7bd047d00
63844549136599;1399847;0;100;25,0976;c7bd047d00
63844549136900;1400114;0;100;24,8073;c7bd047d00
63844549137233;1400447;0;100;26,6026;c7bd047d00
63844549137966;1400847;0;100;26,2949;c7bd047d00
63844549137967;1401114;0;100;25,9907;c7bd047d00
63844549138199;1401447;0;100;25,69;c7bd047d00
63844549138533;1401780;0;100;25,3928;c7bd047d00
63844549138933;1402180;0;100;25,0991;c7bd047d00
63844549139233;1402447;0;100;24,8087;c7bd047d00
63844549139532;1402780;0;100;24,5217;c7bd047d00
63844549140332;1403180;0;100;24,2381;c7bd047d00
63844549140433;1403580;0;100;23,9577;c7bd047d00
63844549140533;1403780;0;100;23,6805;c7bd047d00
63844549140932;1404180;0;100;23,4066;c7bd047d00
63844549141233;1404447;0;100;23,1358;c7bd047d00
63844549141533;1404780;0;100;22,8682;c7bd047d00
63844549141899;1405113;0;100;22,6037;c7bd047d00
63844549142266;1405513;0;100;22,3422;c7bd047d00
63844549142733;1405780;0;100;22,0837;c7bd047d00
63844549142900;1406113;0;100;21,8283;c7bd047d00
63844549143266;1406513;0;100;21,5757;c7bd047d00
63844549143599;1406780;0;100;23,4084;c7bd047d00
63844549143899;1407113;0;100;23,1376;c7bd047d00
63844549144233;1407446;0;100;22,87;c7bd047d00
63844549144599;1407846;0;100;22,6054;c7bd047d00
63844549145166;1408113;0;100;22,3439;c7bd047d00
63844549145333;1408446;0;100;22,0854;c7bd047d00
63844549145666;1408846;0;100;21,8299;c7bd047d00
63844549145932;1409113;0;100;21,5774;c7bd047d00
63844549146233;1409446;0;100;21,3278;c7bd047d00
63844549146532;1409779;0;100;21,0811;c7bd047d00
63844549146933;1410179;0;100;22,9195;c7bd047d00
63844549147533;1410446;0;100;22,6543;c7bd047d00
63844549147533;1410779;0;100;22,3923;c7bd047d00
63844549147933;1411179;0;100;22,1332;c7bd047d00
63844549148266;1411513;0;100;21,8772;c7bd047d00
63844549148566;1411779;0;100;21,6241;c7bd047d00
63844549148866;1412112;0;100;21,374;c7bd047d00
63844549149266;1412513;0;100;21,1267;c7bd047d00
63844549149933;1412779;0;100;20,8823;c7bd047d00
63844549150066;1413112;0;100;22,723;c7bd047d00
63844549150199;1413446;0;100;22,4601;c7bd047d00
63844549150599;1413846;0;100;22,2003;c7bd047d00
63844549150899;1414112;0;100;21,9435;c7bd047d00
63844549151199;1414446;0;100;21,6897;c7bd047d00
63844549151566;1414779;0;100;21,4387;c7bd047d00
63844549151899;1415112;0;100;21,1907;c7bd047d00
63844549152433;1415445;0;100;20,9456;c7bd047d00
63844549152599;1415845;0;100;20,7033;c7bd047d00
63844549152899;1416112;0;100;20,4638;c7bd047d00
63844549153199;1416445;0;100;20,2271;c7bd047d00
63844549153599;1416845;0;100;19,9931;c7bd047d00
63844549153932;1417179;0;100;19,7618;c7bd047d00
63844549154233;1417445;0;100;19,5332;c7bd047d00
63844549154766;1417779;0;100;19,3072;c7bd047d00
63844549154933;1418179;0;100;19,0839;c7bd047d00
63844549155232;1418445;0;100;18,8631;c7bd047d00
63844549155566;1418779;0;100;18,6449;c7bd047d00
63844549155865;1419112;0;100;18,4292;c7bd047d00
63844549156266;1419512;0;100;18,216;c7bd047d00
63844549156566;1419778;0;100;18,0053;c7bd047d00
63844549157166;1420112;0;100;17,797;c7bd047d00
63844549157366;1420512;0;100;17,5912;c7bd047d00
63844549157699;1420845;0;100;17,3877;c7bd047d00
63844549157899;1421112;0;100;17,1865;c7bd047d00
63844549158265;1421445;0;100;16,9877;c7bd047d00
63844549158599;1421845;0;100;16,7912;c7bd047d00
63844549158899;1422112;0;100;16,597;c7bd047d00
63844549159566;1422445;0;100;16,405;c7bd047d00
63844549159699;1422845;0;100;16,2152;c7bd047d00
63844549159933;1423111;0;100;16,0276;c7bd047d00
63844549160233;1423445;0;100;17,9244;c7bd047d00
63844549160532;1423778;0;100;19,7994;c7bd047d00
63844549160899;1424111;0;100;21,6526;c7bd047d00
63844549161199;1424445;0;100;25,5666;c7bd047d00
63844549162066;1424845;0;100;25,2708;c7bd047d00
63844549162066;1425111;0;100;24,9785;c7bd047d00
63844549162232;1425444;0;100;24,6895;c7bd047d00
63844549162633;1425844;0;100;24,4039;c7bd047d00
63844549162933;1426111;0;100;24,1216;c7bd047d00
63844549163232;1426444;0;100;23,8426;c7bd047d00
63844549163532;1426778;0;100;23,5668;c7bd047d00
63844549163932;1427178;0;100;23,2942;c7bd047d00
63844549164465;1427444;0;100;23,0247;c7bd047d00
63844549164533;1427778;0;100;22,7583;c7bd047d00
63844549164932;1428178;0;100;22,4951;c7bd047d00
63844549165265;1428444;0;100;22,2348;c7bd047d00
63844549165566;1428778;0;100;21,9776;c7bd047d00
63844549165865;1429111;0;100;21,7234;c7bd047d00
63844549166233;1429444;0;100;21,4721;c7bd047d00
63844549166865;1429777;0;100;21,2237;c7bd047d00
63844549166933;1430178;0;100;20,9782;c7bd047d00
63844549167232;1430444;0;100;20,7355;c7bd047d00
63844549167532;1430777;0;100;20,4956;c7bd047d00
63844549167865;1431111;0;100;20,2585;c7bd047d00
63844549168265;1431511;0;100;20,0242;c7bd047d00
63844549168566;1431777;0;100;19,7925;c7bd047d00
63844549169199;1432110;1;100;21,6458;c7bd047d00
63844549169365;1432511;1;100;23,4777;c7bd047d00
63844549169566;1432777;1;100;23,2061;c7bd047d00
63844549169899;1433110;1;100;25,0199;c7bd047d00
63844549170199;1433444;1;100;24,7305;c7bd047d00
63844549170599;1433844;1;100;24,4444;c7bd047d00
63844549170899;1434110;1;100;24,1616;c7bd047d00
63844549171566;1434510;1;100;23,8821;c7bd047d00
63844549171566;1434777;1;100;23,6058;c7bd047d00
63844549171865;1435110;1;100;23,3328;c7bd047d00
63844549172299;1435510;1;100;23,0628;c7bd047d00
63844549172599;1435843;1;100;22,7961;c7bd047d00
63844549172899;1436110;1;100;22,5324;c7bd047d00
63844549173232;1436443;1;100;22,2717;c7bd047d00
63844549174165;1436843;1;100;22,0141;c7bd047d00
