Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63844304094613;7114429;0;100;62;c9422ef353
63844304096080;7115805;0;100;58;c9422ef353
63844304097514;7117139;0;100;55;c9422ef353
63844304099913;7119312;0;100;49;c9422ef353
63844304100847;7120562;0;100;49;c9422ef353
63844304101613;7121352;0;100;55;c9422ef353
63844304102347;7121972;0;100;65;c9422ef353
63844304102613;7122385;0;100;83;c9422ef353
63844304104880;7124305;0;100;72;c9422ef353
63844304105647;7125435;0;100;68;c9422ef353
63844304106713;7126498;0;100;65;c9422ef353
63844304107546;7127301;0;100;68;c9422ef353
63844304108447;7128208;0;100;67;c9422ef353
63844304110780;7130544;0;100;58;c9422ef353
63844304112014;7131731;0;100;57;c9422ef353
63844304115080;7134840;0;100;48;c9422ef353
63844304115680;7135440;0;100;60;c9422ef353
63844304116746;7136220;0;100;64;c9422ef353
63844304117013;7136723;0;100;77;c9422ef353
63844304118280;7138017;0;100;70;c9422ef353
63844304119347;7139106;0;100;67;c9422ef353
63844304121680;7141400;0;100;58;c9422ef353
63844304123279;7143043;0;100;53;c9422ef353
63844304125913;7145706;0;100;46;c9422ef353
63844304127546;7147342;0;100;44;c9422ef353
63844304128846;7148422;0;100;47;c9422ef353
63844304130579;7150315;0;100;44;c9422ef353
63844304131713;7151525;0;100;45;c9422ef353
63844304135013;7154785;0;100;39;c9422ef353
63844304136746;7156565;0;100;38;c9422ef353
63844304137946;7157731;0;100;41;c9422ef353
63844304144279;7164007;0;100;34;c9422ef353
63844304148779;7168574;0;100;30;c9422ef353
63844304149713;7169443;0;100;39;c9422ef353
63844304150813;7170544;0;100;42;c9422ef353
63844304152913;7172650;0;100;39;c9422ef353
63844304156346;7176153;0;100;34;c9422ef353
63844304158346;7178163;0;100;33;c9422ef353
63844304161279;7181026;0;100;31;c9422ef353
63844304163346;7183135;0;100;30;c9422ef353
63844304164812;7184395;0;100;34;c9422ef353
63844304165379;7185142;0;100;45;c9422ef353
63844304165979;7185676;0;100;60;c9422ef353
63844304168512;7188272;0;100;52;c9422ef353
63844304169212;7188921;0;100;61;c9422ef353
63844304172345;7192164;0;100;52;c9422ef353
63844304174512;7194001;0;100;48;c9422ef353
63844304174813;7194554;0;100;62;c9422ef353
63844304177845;7197657;0;100;52;c9422ef353
63844304178512;7198300;0;100;62;c9422ef353
63844304181979;7201734;0;100;52;c9422ef353
63844304185979;7205766;0;100;44;c9422ef353
63844304186445;7206126;0;100;72;c9422ef353
63844304187079;7206843;0;100;75;c9422ef353
63844304187879;7207626;0;100;76;c9422ef353
63844304188944;7208753;0;100;71;c9422ef353
63844304189378;7209163;0;100;88;c9422ef353
63844304190078;7209813;0;100;89;c9422ef353
63844304191612;7211343;0;100;78;c9422ef353
63844304192812;7212539;0;100;72;c9422ef353
63844304194378;7214182;0;100;64;c9422ef353
63844304196045;7215439;1;100;61;c9422ef353
63844304197011;7216792;1;100;57;c9422ef353
63844304197912;7217689;1;100;60;c9422ef353
63844304198612;7218052;1;100;83;c9422ef353
63844304200878;7220298;1;100;71;c9422ef353
63844304201945;7221735;1;100;65;c9422ef353
63844304203245;7222718;1;100;64;c9422ef353
63844304206578;7226338;1;100;53;c9422ef353
63844304208045;7227784;1;100;51;c9422ef353
63844304209978;7229761;1;100;46;c9422ef353
63844304210978;7230764;1;100;50;c9422ef353
63844304211879;7231634;1;100;54;c9422ef353
63844304215345;7235120;1;100;46;c9422ef353
63844304216012;7235747;1;100;57;c9422ef353
63844304217678;7237347;1;100;53;c9422ef353
63844304218578;7238320;1;100;55;c9422ef353
63844304220545;7240316;1;100;50;c9422ef353
63844304223511;7243306;1;100;43;c9422ef353
63844304224011;7243773;1;100;62;c9422ef353
63844304225678;7245432;1;100;57;c9422ef353
63844304226478;7246226;1;100;61;c9422ef353
63844304227511;7247203;1;100;61;c9422ef353
63844304232344;7252062;1;100;51;c9422ef353
63844304234611;7253952;1;100;46;c9422ef353
63844304236044;7255791;1;100;43;c9422ef353
63844304238078;7257901;1;100;40;c9422ef353
63844304238811;7258568;1;100;52;c9422ef353
63844304239312;7259074;1;100;67;c9422ef353
63844304240211;7259934;1;100;68;c9422ef353
63844304240745;7260501;1;100;76;c9422ef353
63844304241911;7261694;1;100;71;c9422ef353
63844304242644;7262414;1;100;74;c9422ef353
63844304244111;7263607;1;100;69;c9422ef353
63844304245511;7265257;1;100;62;c9422ef353
63844304248178;7267980;1;100;53;c9422ef353
63844304249278;7269090;1;100;53;c9422ef353
63844304251478;7271073;1;100;48;c9422ef353
63844304252677;7272457;1;100;47;c9422ef353
63844304254277;7274080;1;100;45;c9422ef353
63844304254711;7274473;1;100;69;c9422ef353
63844304255244;7274930;1;100;84;c9422ef353
63844304257077;7276819;1;100;72;c9422ef353
63844304261977;7281732;1;100;59;c9422ef353
63844304262777;7282536;1;100;62;c9422ef353
63844304264010;7283802;-1;100;59;c9422ef353
63844304266378;7286195;-1;100;52;c9422ef353
63844304267311;7287095;-1;100;55;c9422ef353
63844304268144;7287622;-1;100;69;c9422ef353
63844304269444;7289188;-1;100;62;c9422ef353
63844304270544;7290191;-1;100;62;c9422ef353
63844304271910;7291681;-1;100;57;c9422ef353
63844304272944;7292474;-1;100;61;c9422ef353
63844304273310;7293078;-1;100;70;c9422ef353
63844304275644;7295411;-1;100;60;c9422ef353
63844304277810;7297597;-1;100;53;c9422ef353
63844304278110;7297877;-1;100;89;c9422ef353
63844304278510;7298297;-1;100;102;c9422ef353
63844304279043;7298824;-1;100;105;c9422ef353
63844304280177;7299870;-1;100;94;c9422ef353
63844304281977;7301794;-1;100;80;c9422ef353
63844304282910;7302724;-1;100;77;c9422ef353
63844304283412;7303170;-1;100;90;c9422ef353
63844304284244;7303994;-1;100;87;c9422ef353
63844304284977;7304713;-1;100;86;c9422ef353
63844304285677;7305400;-1;100;87;c9422ef353
63844304286744;7306460;-1;100;80;c9422ef353
63844304288977;7308720;-1;100;68;c9422ef353
63844304290277;7310076;-1;100;63;c9422ef353
63844304292143;7311603;-1;100;58;c9422ef353
63844304292743;7312489;2;100;60;c9422ef353
63844304293643;7313389;2;100;62;c9422ef353
63844304294610;7314366;2;100;62;c9422ef353
63844304297210;7317009;2;100;53;c9422ef353
63844304298577;7318299;2;100;52;c9422ef353
63844304300243;7319898;2;100;49;c9422ef353
63844304300743;7320552;2;100;58;c9422ef353
