Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844304094515;7114341;0;100;43,4761;c9422ef353
63844304095114;7114741;0;100;42,9732;c9422ef353
63844304095247;7115008;0;100;44,5583;c9422ef353
63844304095547;7115341;0;100;44,0429;c9422ef353
63844304095880;7115674;0;100;43,5334;c9422ef353
63844304096280;7116074;0;100;45,112;c9422ef353
63844304096580;7116341;0;100;44,5902;c9422ef353
63844304096880;7116674;0;100;44,0743;c9422ef353
63844304097513;7117007;0;100;43,5645;c9422ef353
63844304097614;7117407;0;100;43,0605;c9422ef353
63844304097913;7117674;0;100;42,5624;c9422ef353
63844304098213;7118007;0;100;42,07;c9422ef353
63844304098647;7118407;0;100;41,5834;c9422ef353
63844304098913;7118674;0;100;41,1023;c9422ef353
63844304099213;7119007;0;100;40,6269;c9422ef353
63844304099913;7119340;0;100;40,1569;c9422ef353
63844304099980;7119740;0;100;39,6923;c9422ef353
63844304100247;7120007;0;100;39,2332;c9422ef353
63844304100547;7120340;0;100;38,7793;c9422ef353
63844304100947;7120740;0;100;38,3307;c9422ef353
63844304101247;7121007;0;100;37,8873;c9422ef353
63844304101613;7121407;0;100;39,5313;c9422ef353
63844304102313;7121674;0;100;39,074;c9422ef353
63844304102347;7122007;0;100;40,7042;c9422ef353
63844304102613;7122407;0;100;40,2334;c9422ef353
63844304102913;7122740;0;100;41,8502;c9422ef353
63844304103213;7123007;0;100;43,4483;c9422ef353
63844304103613;7123407;0;100;45,0279;c9422ef353
63844304103880;7123673;0;100;44,5071;c9422ef353
63844304104213;7124007;0;100;43,9922;c9422ef353
63844304104880;7124407;0;100;43,4833;c9422ef353
63844304104913;7124673;0;100;45,0625;c9422ef353
63844304105213;7125007;0;100;44,5412;c9422ef353
63844304105546;7125340;0;100;48,1905;c9422ef353
63844304105946;7125740;0;100;49,7153;c9422ef353
63844304106246;7126006;0;100;49,1402;c9422ef353
63844304106547;7126340;0;100;50,654;c9422ef353
63844304107147;7126673;0;100;50,068;c9422ef353
63844304107213;7127006;0;100;49,4888;c9422ef353
63844304107546;7127340;0;100;50,9986;c9422ef353
63844304107913;7127740;0;100;52,4909;c9422ef353
63844304108247;7128006;0;100;53,9659;c9422ef353
63844304108546;7128340;0;100;55,4239;c9422ef353
63844304108946;7128740;0;100;54,7827;c9422ef353
63844304109514;7129006;0;100;54,149;c9422ef353
63844304109546;7129339;0;100;53,5226;c9422ef353
63844304109847;7129673;0;100;52,9034;c9422ef353
63844304110280;7130073;0;100;52,2914;c9422ef353
63844304110580;7130339;0;100;51,6865;c9422ef353
63844304110880;7130673;0;100;51,0886;c9422ef353
63844304111280;7131073;0;100;50,4976;c9422ef353
63844304111913;7131339;0;100;49,9135;c9422ef353
63844304112014;7131739;0;100;49,3361;c9422ef353
63844304112246;7132006;0;100;48,7653;c9422ef353
63844304112547;7132339;0;100;48,2012;c9422ef353
63844304112946;7132739;0;100;47,6436;c9422ef353
63844304113246;7133006;0;100;47,0925;c9422ef353
63844304113547;7133339;0;100;48,63;c9422ef353
63844304113879;7133672;0;100;48,0674;c9422ef353
63844304114446;7134072;0;100;47,5114;c9422ef353
63844304114580;7134339;0;100;46,9617;c9422ef353
63844304114879;7134672;0;100;48,5007;c9422ef353
63844304115280;7135072;0;100;47,9397;c9422ef353
63844304115580;7135405;0;100;49,4674;c9422ef353
63844304115880;7135672;0;100;50,9774;c9422ef353
63844304116213;7136005;0;100;50,3877;c9422ef353
63844304116747;7136405;0;100;49,8048;c9422ef353
63844304117013;7136805;0;100;49,2286;c9422ef353
63844304117213;7137005;0;100;48,6591;c9422ef353
63844304117513;7137339;0;100;48,0963;c9422ef353
63844304117913;7137739;0;100;47,5399;c9422ef353
63844304118280;7138005;0;100;46,9899;c9422ef353
63844304118546;7138339;0;100;48,5286;c9422ef353
63844304119146;7138739;0;100;47,9672;c9422ef353
63844304119313;7139005;0;100;49,4946;c9422ef353
63844304119546;7139338;0;100;48,922;c9422ef353
63844304119846;7139672;0;100;48,3561;c9422ef353
63844304120246;7140072;0;100;47,7967;c9422ef353
63844304120579;7140338;0;100;47,2438;c9422ef353
63844304120880;7140672;0;100;46,6973;c9422ef353
63844304121546;7141072;0;100;46,1571;c9422ef353
63844304121580;7141338;0;100;45,6231;c9422ef353
63844304121879;7141672;0;100;45,0954;c9422ef353
63844304122246;7142005;0;100;44,5737;c9422ef353
63844304122546;7142338;0;100;44,0581;c9422ef353
63844304122846;7142671;0;100;43,5484;c9422ef353
63844304123279;7143071;0;100;43,0446;c9422ef353
63844304123946;7143338;0;100;42,5467;c9422ef353
63844304124013;7143671;0;100;44,1367;c9422ef353
63844304124279;7144071;0;100;43,6262;c9422ef353
63844304124580;7144338;0;100;43,1215;c9422ef353
63844304124879;7144671;0;100;44,7049;c9422ef353
63844304125180;7145005;0;100;44,1878;c9422ef353
63844304125580;7145405;0;100;45,7589;c9422ef353
63844304125913;7145671;0;100;49,394;c9422ef353
63844304126346;7146004;0;100;50,9049;c9422ef353
63844304126646;7146404;0;100;50,316;c9422ef353
63844304126913;7146738;0;100;49,7339;c9422ef353
63844304127346;7147138;0;100;49,1586;c9422ef353
