Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63844283649740;1305973;0;100;9E-06;d8ca832244
63844283656907;1313105;0;100;3,8E-05;d8ca832244
63844283658306;1314572;0;100;1,6E-05;d8ca832244
63844283658906;1314839;0;100;5,2E-05;d8ca832244
63844283660740;1316772;0;100;5,2E-05;d8ca832244
63844283671873;1327904;0;100;2,8E-05;d8ca832244
63844283673507;1329637;0;100;4,3E-05;d8ca832244
63844283673807;1329970;0;100;4,4E-05;d8ca832244
63844283674006;1330304;0;100;1,7E-05;d8ca832244
63844283675840;1331704;0;100;2,7E-05;d8ca832244
63844283676239;1332237;0;100;0,000128;d8ca832244
63844283683539;1339570;0;100;0,001544;d8ca832244
63844283686239;1342436;0;100;2,1E-05;d8ca832244
63844283686606;1342837;0;100;4E-06;d8ca832244
63844283688473;1344636;0;100;2E-06;d8ca832244
63844283689672;1345570;0;100;8,8E-05;d8ca832244
63844283690139;1346169;0;100;3,6E-05;d8ca832244
63844283690539;1346769;0;100;1,1E-05;d8ca832244
63844283691239;1347369;0;100;4,8E-05;d8ca832244
63844283691773;1348035;0;100;1,5E-05;d8ca832244
63844283695546;1349302;0;100;9E-06;d8ca832244
63844283695547;1349836;0;100;7,7E-05;d8ca832244
63844283695548;1351036;0;100;2E-06;d8ca832244
63844283704589;1360168;0;100;0,000336;d8ca832244
63844283705422;1361701;0;100;2,2E-05;d8ca832244
63844283710888;1367100;0;100;1,4E-05;d8ca832244
63844283715555;1371767;0;100;7E-06;d8ca832244
63844283722855;1379166;0;100;6E-06;d8ca832244
63844283733755;1389898;0;100;5E-06;d8ca832244
63844283739855;1396097;0;100;8E-06;d8ca832244
63844283743821;1399831;0;100;7,9E-05;d8ca832244
63844283744355;1400697;0;100;2,4E-05;d8ca832244
63844283755122;1411030;0;100;8E-06;d8ca832244
63844283759821;1415762;0;100;1E-05;d8ca832244
63844283760621;1416695;0;100;0,00014;d8ca832244
63844283767954;1423894;0;100;0,000794;d8ca832244
63844283770654;1426961;0;100;2E-06;d8ca832244
63844283772288;1428495;0;100;8E-06;d8ca832244
63844283777521;1433827;0;100;7E-06;d8ca832244
63844283778054;1434227;0;100;2,3E-05;d8ca832244
63844283778354;1434561;0;100;3,9E-05;d8ca832244
63844283778554;1434893;0;100;8E-06;d8ca832244
63844283779088;1435093;0;100;4E-05;d8ca832244
63844283779287;1435560;0;100;3,8E-05;d8ca832244
63844283779487;1435826;0;100;1,5E-05;d8ca832244
63844283782354;1438426;0;100;4,2E-05;d8ca832244
63844283782754;1438826;0;100;5,3E-05;d8ca832244
63844283791055;1446825;0;100;0,000523;d8ca832244
63844283797554;1453692;0;100;5,5E-05;d8ca832244
63844283800654;1456491;0;100;0,000106;d8ca832244
63844283806153;1461491;0;100;0,000269;d8ca832244
63844283806953;1463224;0;100;1,5E-05;d8ca832244
63844283807887;1463558;0;100;0,000107;d8ca832244
63844283808022;1464158;0;100;5,1E-05;d8ca832244
63844283812020;1468090;0;100;2,8E-05;d8ca832244
63844283815353;1471623;0;100;1E-05;d8ca832244
63844283816287;1472356;0;100;7,7E-05;d8ca832244
63844283818020;1474089;0;100;0,000424;d8ca832244
63844283818820;1474623;0;100;0,004264;d8ca832244
63844283819887;1475756;0;100;0,028884;d8ca832244
63844283822387;1478222;0;100;0,037142;d8ca832244
63844283825820;1481823;0;100;1,3E-05;d8ca832244
63844283830853;1486755;0;100;0,003267;d8ca832244
63844283834620;1490622;0;100;0,000262;d8ca832244
63844283839987;1496088;0;100;7,4E-05;d8ca832244
63844283840486;1496754;0;100;5,5E-05;d8ca832244
63844283860753;1516085;0;100;0,000505;d8ca832244
63844283863187;1519018;0;100;3,7E-05;d8ca832244
63844283863486;1519751;0;100;1,5E-05;d8ca832244
