Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844283637341;1293574;0;100;16,8727;d8ca832244
63844283637507;1293974;0;100;16,6775;d8ca832244
63844283637807;1294241;0;100;16,4846;d8ca832244
63844283638108;1294574;0;100;16,2939;d8ca832244
63844283638407;1294907;0;100;16,1054;d8ca832244
63844283638807;1295307;0;100;15,9191;d8ca832244
63844283639140;1295574;0;100;15,735;d8ca832244
63844283639673;1295907;0;100;15,5529;d8ca832244
63844283639908;1296307;0;100;15,373;d8ca832244
63844283640207;1296574;0;100;15,1952;d8ca832244
63844283640440;1296907;0;100;15,0194;d8ca832244
63844283640773;1297240;0;100;14,8457;d8ca832244
63844283641173;1297640;0;100;14,6739;d8ca832244
63844283641474;1297907;0;100;14,5042;d8ca832244
63844283642174;1298240;0;100;14,3364;d8ca832244
63844283642208;1298640;0;100;14,1705;d8ca832244
63844283642474;1298907;0;100;14,0066;d8ca832244
63844283642774;1299240;0;100;13,8446;d8ca832244
63844283643073;1299573;0;100;13,6844;d8ca832244
63844283643507;1299973;0;100;13,5261;d8ca832244
63844283643807;1300240;0;100;13,3697;d8ca832244
63844283644473;1300573;0;100;13,215;d8ca832244
63844283644540;1300973;0;100;13,0621;d8ca832244
63844283644840;1301307;0;100;12,911;d8ca832244
63844283645140;1301573;0;100;12,7617;d8ca832244
63844283645473;1301907;0;100;12,614;d8ca832244
63844283645840;1302307;0;100;12,4681;d8ca832244
63844283646175;1302573;0;100;12,3239;d8ca832244
63844283646441;1302906;0;100;12,1813;d8ca832244
63844283647008;1303240;0;100;12,0404;d8ca832244
63844283647174;1303640;0;100;11,9011;d8ca832244
63844283647473;1303906;0;100;11,7634;d8ca832244
63844283647841;1304306;0;100;11,6274;d8ca832244
63844283648140;1304573;0;100;11,4929;d8ca832244
63844283648440;1304906;0;100;11,3599;d8ca832244
63844283648840;1305306;0;100;11,2285;d8ca832244
63844283649340;1305639;0;100;11,0986;d8ca832244
63844283649473;1305906;0;100;10,9702;d8ca832244
63844283649773;1306239;0;100;12,9256;d8ca832244
63844283650173;1306639;0;100;12,776;d8ca832244
63844283650473;1306906;0;100;12,6282;d8ca832244
63844283650773;1307239;0;100;12,4822;d8ca832244
63844283651073;1307573;0;100;12,3378;d8ca832244
63844283651707;1307973;0;100;12,195;d8ca832244
63844283651840;1308239;0;100;12,054;d8ca832244
63844283652106;1308573;0;100;11,9145;d8ca832244
63844283652506;1308972;0;100;11,7767;d8ca832244
63844283652806;1309239;0;100;11,6405;d8ca832244
63844283653106;1309572;0;100;11,5058;d8ca832244
63844283653440;1309906;0;100;11,3727;d8ca832244
63844283654106;1310306;0;100;11,2411;d8ca832244
63844283654140;1310572;0;100;11,1111;d8ca832244
63844283654440;1310906;0;100;10,9826;d8ca832244
63844283654840;1311306;0;100;10,8555;d8ca832244
63844283655140;1311572;0;100;10,73;d8ca832244
63844283655440;1311906;0;100;10,6058;d8ca832244
63844283655740;1312239;0;100;10,4831;d8ca832244
63844283656506;1312639;0;100;10,3619;d8ca832244
63844283656507;1312906;0;100;10,242;d8ca832244
63844283656806;1313239;0;100;10,1235;d8ca832244
63844283657073;1313572;0;100;12,0887;d8ca832244
63844283657506;1313972;0;100;11,9488;d8ca832244
63844283657873;1314239;0;100;11,8106;d8ca832244
63844283658106;1314572;0;100;11,674;d8ca832244
63844283658906;1314972;0;100;13,6212;d8ca832244
63844283658907;1315305;0;100;15,5459;d8ca832244
63844283659140;1315572;0;100;15,366;d8ca832244
63844283659407;1315905;0;100;15,1883;d8ca832244
63844283659840;1316305;0;100;15,0126;d8ca832244
63844283660173;1316572;0;100;14,8389;d8ca832244
63844283660473;1316905;0;100;14,6672;d8ca832244
63844283660873;1317305;0;100;16,5798;d8ca832244
63844283661373;1317572;0;100;16,388;d8ca832244
63844283661540;1317972;0;100;16,1985;d8ca832244
63844283661806;1318238;0;100;16,0111;d8ca832244
63844283662107;1318572;0;100;15,8258;d8ca832244
63844283662406;1318905;0;100;15,6428;d8ca832244
63844283662840;1319305;0;100;15,4618;d8ca832244
63844283663173;1319572;0;100;15,283;d8ca832244
63844283663773;1319905;0;100;15,1062;d8ca832244
63844283663839;1320305;0;100;14,9314;d8ca832244
63844283664139;1320638;0;100;14,7587;d8ca832244
63844283664440;1320905;0;100;14,588;d8ca832244
63844283664773;1321238;0;100;14,4192;d8ca832244
63844283665173;1321638;0;100;14,2524;d8ca832244
63844283665473;1321905;0;100;14,0875;d8ca832244
63844283666106;1322238;0;100;13,9246;d8ca832244
63844283666306;1322638;0;100;13,7635;d8ca832244
63844283666506;1322971;0;100;13,6043;d8ca832244
63844283666806;1323238;0;100;13,4469;d8ca832244
63844283667106;1323571;0;100;13,2913;d8ca832244
63844283667506;1323971;0;100;13,1376;d8ca832244
63844283667806;1324238;0;100;12,9856;d8ca832244
63844283668506;1324571;0;100;12,8354;d8ca832244
63844283668506;1324904;0;100;12,6869;d8ca832244
63844283668840;1325304;0;100;12,5401;d8ca832244
63844283669140;1325571;0;100;12,3951;d8ca832244
63844283669440;1325904;0;100;12,2517;d8ca832244
63844283669839;1326304;0;100;12,11;d8ca832244
63844283670140;1326571;0;100;11,9699;d8ca832244
