Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844046264306;7365582;0;100;112,2725;dd6f89690d
63844046264307;7365849;0;100;110,9737;dd6f89690d
63844046264308;7366249;0;100;109,6899;dd6f89690d
63844046264308;7366515;0;100;110,5033;dd6f89690d
63844046264308;7366848;0;100;111,3072;dd6f89690d
63844046264308;7367248;0;100;112,1019;dd6f89690d
63844046264308;7367515;0;100;110,8051;dd6f89690d
63844046264308;7367848;0;100;111,6055;dd6f89690d
63844046264309;7368182;0;100;110,3145;dd6f89690d
63844046264309;7368582;0;100;109,0383;dd6f89690d
63844046264311;7368848;0;100;109,8592;dd6f89690d
63844046264311;7369182;0;100;110,6706;dd6f89690d
63844046264311;7369582;0;100;109,3904;dd6f89690d
63844046264311;7369915;0;100;110,2072;dd6f89690d
63844046264311;7370181;0;100;111,0146;dd6f89690d
63844046264312;7370515;0;100;111,8126;dd6f89690d
63844046264313;7370915;0;100;112,6014;dd6f89690d
63844046264313;7371181;0;100;113,3811;dd6f89690d
63844046264313;7371515;0;100;112,0695;dd6f89690d
63844046264314;7371915;0;100;112,8553;dd6f89690d
63844046264314;7372248;0;100;113,632;dd6f89690d
63844046264315;7372515;0;100;114,3998;dd6f89690d
63844046264315;7372848;0;100;115,1586;dd6f89690d
63844046264316;7373248;0;100;115,9087;dd6f89690d
63844046264316;7373515;0;100;114,5679;dd6f89690d
63844046264317;7373848;0;100;113,2425;dd6f89690d
63844046264317;7374248;0;100;114,0148;dd6f89690d
63844046264318;7374581;0;100;116,8604;dd6f89690d
63844046264318;7374848;0;100;117,5908;dd6f89690d
63844046264319;7375181;0;100;116,2305;dd6f89690d
63844046264319;7375581;0;100;116,9682;dd6f89690d
63844046264320;7375848;0;100;117,6973;dd6f89690d
63844046264320;7376181;0;100;116,3358;dd6f89690d
63844046264321;7376514;0;100;114,99;dd6f89690d
63844046264321;7376914;0;100;113,6598;dd6f89690d
63844046264322;7377181;0;100;114,4272;dd6f89690d
63844046264322;7377514;0;100;113,1035;dd6f89690d
63844046264323;7377914;0;100;113,8774;dd6f89690d
63844046264323;7378247;0;100;114,6423;dd6f89690d
63844046264323;7378514;0;100;115,3984;dd6f89690d
63844046264324;7378847;0;100;114,0634;dd6f89690d
63844046264324;7379247;0;100;114,8262;dd6f89690d
63844046264325;7379514;0;100;115,5801;dd6f89690d
63844046264326;7379847;0;100;116,3253;dd6f89690d
63844046264326;7380180;0;100;117,0619;dd6f89690d
63844046264326;7380580;0;100;117,79;dd6f89690d
63844046264326;7380847;0;100;116,4274;dd6f89690d
63844046264327;7381180;0;100;115,0806;dd6f89690d
63844046264327;7381580;0;100;115,8316;dd6f89690d
63844046264328;7381847;0;100;114,4916;dd6f89690d
63844046264328;7382180;0;100;117,3317;dd6f89690d
63844046264329;7382514;0;100;115,9744;dd6f89690d
63844046264329;7382914;0;100;116,715;dd6f89690d
63844046264330;7383180;0;100;115,3648;dd6f89690d
63844046264330;7383513;0;100;116,1125;dd6f89690d
63844046264331;7383913;0;100;114,7693;dd6f89690d
63844046264331;7384180;0;100;113,4417;dd6f89690d
63844046264332;7384513;0;100;114,2116;dd6f89690d
63844046264332;7384847;0;100;112,8904;dd6f89690d
63844046264333;7385247;0;100;113,6668;dd6f89690d
63844046264333;7385513;0;100;112,3519;dd6f89690d
63844046264334;7385847;0;100;113,1344;dd6f89690d
63844046264334;7386180;0;100;113,9079;dd6f89690d
63844046264335;7386513;0;100;112,5902;dd6f89690d
63844046264335;7386913;0;100;111,2878;dd6f89690d
63844046264336;7387180;0;100;110,0004;dd6f89690d
63844046264336;7387513;0;100;108,7279;dd6f89690d
63844046264336;7387846;0;100;107,4701;dd6f89690d
63844046264337;7388180;0;100;106,2269;dd6f89690d
63844046264337;7388513;0;100;107,0803;dd6f89690d
63844046264338;7388913;0;100;105,8416;dd6f89690d
63844046264339;7389180;0;100;106,6995;dd6f89690d
63844046264340;7389513;0;100;105,4652;dd6f89690d
63844046264342;7389913;0;100;104,2451;dd6f89690d
63844046264342;7390179;0;100;105,1215;dd6f89690d
63844046264342;7390513;0;100;103,9054;dd6f89690d
63844046264342;7390846;0;100;104,7857;dd6f89690d
63844046264342;7391246;0;100;103,5735;dd6f89690d
63844046264343;7391513;0;100;102,3754;dd6f89690d
63844046264344;7391846;0;100;101,1911;dd6f89690d
63844046264345;7392246;0;100;102,1027;dd6f89690d
63844046264345;7392513;0;100;103,0039;dd6f89690d
63844046264345;7392846;0;100;101,8123;dd6f89690d
63844046264346;7393179;0;100;102,7168;dd6f89690d
63844046264346;7393579;0;100;103,6108;dd6f89690d
63844046264347;7393846;0;100;104,4945;dd6f89690d
63844046264347;7394179;0;100;103,2857;dd6f89690d
63844046264348;7394579;0;100;104,1731;dd6f89690d
63844046264349;7394846;0;100;102,968;dd6f89690d
63844046264349;7395179;0;100;103,8592;dd6f89690d
63844046264349;7395512;0;100;102,6577;dd6f89690d
63844046264350;7395912;0;100;101,4702;dd6f89690d
63844046264351;7396179;0;100;100,2963;dd6f89690d
63844046264351;7396512;0;100;99,1361;dd6f89690d
63844046264351;7396912;0;100;97,9893;dd6f89690d
63844046264352;7397246;0;100;96,8558;dd6f89690d
63844046264352;7397512;0;100;99,8998;dd6f89690d
63844046264353;7397845;0;100;98,7442;dd6f89690d
63844046264353;7398245;0;100;99,6841;dd6f89690d
63844046264354;7398512;0;100;98,531;dd6f89690d
63844046264354;7398845;0;100;99,4734;dd6f89690d
63844046264355;7399179;0;100;98,3227;dd6f89690d
63844046264356;7399579;0;100;99,2676;dd6f89690d
63844046264356;7399845;0;100;100,2015;dd6f89690d
63844046264357;7400179;0;100;101,1246;dd6f89690d
63844046264358;7400578;0;100;99,9548;dd6f89690d
63844046264358;7400845;0;100;98,7985;dd6f89690d
63844046264359;7401178;0;100;97,6556;dd6f89690d
63844046264359;7401512;0;100;98,6082;dd6f89690d
63844046264359;7401845;0;100;99,5497;dd6f89690d
63844046264359;7402178;0;100;100,4804;dd6f89690d
63844046264360;7402578;0;100;99,318;dd6f89690d
63844046264361;7402845;0;100;98,1691;dd6f89690d
63844046264361;7403178;0;100;99,1157;dd6f89690d
63844046264362;7403578;0;100;97,9691;dd6f89690d
63844046264362;7403845;0;100;98,9181;dd6f89690d
63844046264363;7404178;0;100;97,7738;dd6f89690d
63844046264363;7404512;0;100;96,6427;dd6f89690d
63844046264364;7404911;0;100;97,607;dd6f89690d
63844046264364;7405178;0;100;98,5601;dd6f89690d
63844046264364;7405511;0;100;97,42;dd6f89690d
63844046264365;7405911;0;100;98,3753;dd6f89690d
63844046264365;7406178;0;100;99,3195;dd6f89690d
63844046264366;7406511;0;100;100,2528;dd6f89690d
63844046264367;7406845;0;100;101,1754;dd6f89690d
63844046264367;7407178;0;100;100,005;dd6f89690d
63844046264368;7407511;0;100;100,9303;dd6f89690d
63844046264368;7407911;0;100;99,7628;dd6f89690d
63844046264369;7408178;0;100;98,6087;dd6f89690d
63844046264369;7408511;0;100;97,468;dd6f89690d
63844046264370;7408911;0;100;98,4227;dd6f89690d
63844046264370;7409178;0;100;99,3664;dd6f89690d
63844046264371;7409511;0;100;98,2169;dd6f89690d
63844046264371;7409844;0;100;97,0808;dd6f89690d
63844046264372;7410244;0;100;98,04;dd6f89690d
63844046264372;7410511;0;100;98,9881;dd6f89690d
63844046264372;7410844;0;100;99,9253;dd6f89690d
63844046264373;7411244;0;100;98,7693;dd6f89690d
63844046264374;7411511;0;100;97,6267;dd6f89690d
63844046264375;7411844;0;100;96,4974;dd6f89690d
63844046264375;7412177;0;100;97,4633;dd6f89690d
63844046264376;7412577;0;100;96,3359;dd6f89690d
63844046264378;7412844;0;100;95,2215;dd6f89690d
63844046264379;7413177;0;100;94,1199;dd6f89690d
63844046264380;7413577;0;100;93,0312;dd6f89690d
63844046264381;7413910;0;100;94,0372;dd6f89690d
63844046264381;7414177;0;100;92,9494;dd6f89690d
63844046264382;7414510;0;100;91,8741;dd6f89690d
63844046264382;7414910;0;100;92,8936;dd6f89690d
63844046264382;7415177;0;100;93,9012;dd6f89690d
63844046264383;7415510;0;100;92,815;dd6f89690d
63844046264383;7415844;0;100;95,9058;dd6f89690d
63844046264384;7416244;0;100;96,8786;dd6f89690d
63844046264384;7416510;0;100;97,8402;dd6f89690d
63844046264385;7416910;0;100;96,7083;dd6f89690d
63844046264385;7417177;0;100;95,5896;dd6f89690d
63844046264386;7417510;0;100;96,5661;dd6f89690d
63844046264386;7417910;0;100;95,449;dd6f89690d
63844046264387;7418177;0;100;94,3448;dd6f89690d
63844046264387;7418510;0;100;93,2534;dd6f89690d
63844046264388;7418843;0;100;92,1747;dd6f89690d
63844046264388;7419177;0;100;93,1906;dd6f89690d
63844046264389;7419510;0;100;92,1126;dd6f89690d
63844046264389;7419910;0;100;93,1293;dd6f89690d
63844046264390;7420177;0;100;92,052;dd6f89690d
63844046264390;7420510;0;100;93,0694;dd6f89690d
63844046264391;7420910;0;100;91,9927;dd6f89690d
63844046264391;7421243;0;100;90,9286;dd6f89690d
63844046264392;7421510;0;100;89,8767;dd6f89690d
63844046264393;7421843;0;100;88,837;dd6f89690d
63844046264394;7422243;0;100;87,8093;dd6f89690d
63844046264394;7422510;0;100;86,7935;dd6f89690d
63844046264394;7422843;0;100;85,7895;dd6f89690d
63844046264395;7423176;0;100;86,8793;dd6f89690d
63844046264395;7423576;0;100;87,9566;dd6f89690d
63844046264395;7423843;0;100;91,1036;dd6f89690d
63844046264396;7424176;0;100;92,1319;dd6f89690d
63844046264396;7424576;0;100;91,0661;dd6f89690d
63844046264397;7424909;0;100;92,0949;dd6f89690d
63844046264397;7425176;0;100;91,0296;dd6f89690d
63844046264398;7425509;0;100;89,9765;dd6f89690d
63844046264398;7425909;0;100;88,9357;dd6f89690d
63844046264399;7426176;0;100;87,9069;dd6f89690d
63844046264399;7426509;0;100;86,8899;dd6f89690d
63844046264400;7426842;0;100;85,8848;dd6f89690d
63844046264400;7427242;0;100;84,8913;dd6f89690d
63844046264401;7427509;0;100;83,9092;dd6f89690d
63844046264401;7427842;0;100;82,9386;dd6f89690d
63844046264402;7428176;0;100;81,9791;dd6f89690d
63844046264402;7428576;0;100;81,0308;dd6f89690d
63844046264403;7428842;0;100;80,0934;dd6f89690d
63844046264403;7429176;0;100;79,1669;dd6f89690d
63844046264404;7429576;0;100;78,2511;dd6f89690d
63844046264405;7429909;0;100;77,3459;dd6f89690d
63844046264405;7430175;0;100;78,5334;dd6f89690d
63844046264406;7430509;0;100;77,6249;dd6f89690d
63844046264406;7430909;0;100;76,7269;dd6f89690d
63844046264407;7431175;0;100;75,8394;dd6f89690d
63844046264407;7431509;0;100;74,962;dd6f89690d
63844046264408;7431909;0;100;76,1771;dd6f89690d
63844046264408;7432242;0;100;77,3782;dd6f89690d
63844046264409;7432509;0;100;80,6475;dd6f89690d
63844046264409;7432842;0;100;79,7146;dd6f89690d
63844046264411;7433242;0;100;80,8747;dd6f89690d
63844046264411;7433508;0;100;82,0214;dd6f89690d
63844046264411;7433842;0;100;81,0726;dd6f89690d
63844046264411;7434175;0;100;80,1347;dd6f89690d
63844046264412;7434575;0;100;79,2077;dd6f89690d
63844046264412;7434842;0;100;78,2914;dd6f89690d
63844046264413;7435175;0;100;77,3858;dd6f89690d
63844046264413;7435575;0;100;78,5728;dd6f89690d
