Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844814872871;4504991;0;100;34,5995;ebbdb53346
63844814873270;4505391;0;100;34,1992;ebbdb53346
63844814873570;4505724;0;100;33,8036;ebbdb53346
63844814873871;4505991;0;100;33,4126;ebbdb53346
63844814874203;4506324;0;100;33,026;ebbdb53346
63844814874970;4506724;0;100;34,7262;ebbdb53346
63844814874971;4506991;0;100;34,3245;ebbdb53346
63844814875203;4507324;0;100;36,0097;ebbdb53346
63844814875536;4507658;0;100;37,6754;ebbdb53346
63844814875937;4508058;0;100;37,2396;ebbdb53346
63844814876237;4508324;0;100;36,8088;ebbdb53346
63844814876537;4508658;0;100;36,383;ebbdb53346
63844814877303;4509057;0;100;38,0443;ebbdb53346
63844814877303;4509324;0;100;37,6042;ebbdb53346
63844814877537;4509657;0;100;37,1692;ebbdb53346
63844814877870;4509991;0;100;36,7393;ebbdb53346
63844814878236;4510324;0;100;36,3143;ebbdb53346
63844814878603;4510724;0;100;35,8942;ebbdb53346
63844814878903;4510991;0;100;35,4789;ebbdb53346
63844814879203;4511324;0;100;35,0685;ebbdb53346
63844814879703;4511724;0;100;34,6628;ebbdb53346
63844814879937;4512057;0;100;34,2619;ebbdb53346
63844814880236;4512324;0;100;33,8655;ebbdb53346
63844814880537;4512657;0;100;33,4738;ebbdb53346
63844814880937;4513057;0;100;33,0865;ebbdb53346
63844814881236;4513324;0;100;32,7038;ebbdb53346
63844814881536;4513657;0;100;32,3255;ebbdb53346
63844814882103;4514057;0;100;31,9515;ebbdb53346
63844814882270;4514390;0;100;31,5819;ebbdb53346
63844814882537;4514657;0;100;31,2166;ebbdb53346
63844814882853;4514990;0;100;30,8555;ebbdb53346
63844814883237;4515323;0;100;30,4985;ebbdb53346
63844814883536;4515657;0;100;30,1457;ebbdb53346
63844814883936;4516057;0;100;29,797;ebbdb53346
63844814884603;4516390;0;100;31,5345;ebbdb53346
63844814884604;4516657;0;100;31,1697;ebbdb53346
63844814884870;4516990;0;100;30,8092;ebbdb53346
63844814885270;4517390;0;100;30,4528;ebbdb53346
63844814885569;4517657;0;100;30,1005;ebbdb53346
63844814885870;4517990;0;100;29,7523;ebbdb53346
63844814886287;4518390;0;100;29,4081;ebbdb53346
63844814886903;4518657;0;100;29,0679;ebbdb53346
63844814886970;4518990;0;100;28,7317;ebbdb53346
63844814887203;4519323;0;100;28,3993;ebbdb53346
63844814887603;4519723;0;100;28,0708;ebbdb53346
63844814887903;4519990;0;100;27,746;ebbdb53346
63844814888236;4520390;0;100;27,4251;ebbdb53346
63844814888570;4520656;0;100;27,1078;ebbdb53346
63844814888870;4520990;0;100;26,7942;ebbdb53346
63844814889420;4521390;0;100;26,4843;ebbdb53346
63844814889587;4521723;0;100;26,1779;ebbdb53346
63844814889903;4521989;0;100;25,8751;ebbdb53346
63844814890270;4522323;0;100;27,658;ebbdb53346
63844814890603;4522723;0;100;27,338;ebbdb53346
63844814890920;4522989;0;100;27,0218;ebbdb53346
63844814891203;4523323;0;100;26,7092;ebbdb53346
63844814891737;4523656;0;100;26,4002;ebbdb53346
63844814891937;4524056;0;100;26,0948;ebbdb53346
63844814892303;4524323;0;100;25,793;ebbdb53346
63844814892536;4524656;0;100;25,4946;ebbdb53346
63844814892920;4525056;0;100;25,1997;ebbdb53346
63844814893236;4525323;0;100;24,9082;ebbdb53346
63844814893587;4525722;0;100;24,62;ebbdb53346
63844814894136;4525989;0;100;24,3352;ebbdb53346
63844814894236;4526322;0;100;24,0537;ebbdb53346
63844814894686;4526722;0;100;23,7754;ebbdb53346
63844814894903;4527056;0;100;23,5004;ebbdb53346
63844814895286;4527322;0;100;23,2286;ebbdb53346
63844814895503;4527656;0;100;22,9598;ebbdb53346
63844814895936;4528056;0;100;22,6942;ebbdb53346
63844814896537;4528322;0;100;22,4317;ebbdb53346
63844814896537;4528655;0;100;22,1722;ebbdb53346
63844814896953;4529056;0;100;23,998;ebbdb53346
63844814897236;4529389;0;100;25,8026;ebbdb53346
63844814897537;4529655;0;100;25,5041;ebbdb53346
63844814897887;4529989;0;100;25,2091;ebbdb53346
63844814898253;4530389;0;100;24,9175;ebbdb53346
63844814898903;4530655;0;100;24,6292;ebbdb53346
63844814898954;4531055;0;100;24,3443;ebbdb53346
63844814899286;4531322;0;100;24,0627;ebbdb53346
63844814899536;4531655;0;100;23,7844;ebbdb53346
63844814899920;4532055;0;100;25,5915;ebbdb53346
63844814900237;4532388;0;100;25,2954;ebbdb53346
63844814900553;4532655;0;100;25,0028;ebbdb53346
63844814900886;4532988;0;100;24,7136;ebbdb53346
63844814901404;4533388;0;100;24,4277;ebbdb53346
63844814901553;4533655;0;100;24,1451;ebbdb53346
63844814901853;4533988;0;100;23,8658;ebbdb53346
63844814902286;4534388;0;100;25,672;ebbdb53346
63844814902620;4534721;0;100;27,4572;ebbdb53346
63844814902886;4534988;0;100;27,1396;ebbdb53346
63844814903186;4535321;0;100;26,8257;ebbdb53346
63844814903887;4535788;0;100;26,5153;ebbdb53346
63844814903888;4535988;0;100;26,2086;ebbdb53346
63844814904270;4536388;0;100;25,9054;ebbdb53346
63844814904570;4536721;0;100;27,688;ebbdb53346
63844814904886;4536988;0;100;27,3677;ebbdb53346
63844814905237;4537321;0;100;29,1334;ebbdb53346
63844814905620;4537721;0;100;28,7963;ebbdb53346
63844814906187;4537988;0;100;28,4632;ebbdb53346
63844814906187;4538321;0;100;28,134;ebbdb53346
63844814906603;4538721;0;100;29,8908;ebbdb53346
63844814906919;4539054;0;100;31,6272;ebbdb53346
63844814907203;4539321;0;100;31,2614;ebbdb53346
63844814907520;4539654;0;100;30,8997;ebbdb53346
63844814907919;4540054;0;100;30,5423;ebbdb53346
63844814908536;4540321;0;100;30,189;ebbdb53346
63844814908537;4540654;0;100;29,8397;ebbdb53346
63844814908887;4540988;0;100;31,5768;ebbdb53346
63844814909286;4541387;0;100;33,2938;ebbdb53346
63844814909586;4541721;0;100;37,0731;ebbdb53346
63844814909886;4541988;0;100;36,6443;ebbdb53346
63844814910220;4542321;0;100;38,3026;ebbdb53346
63844814910953;4542721;0;100;37,8595;ebbdb53346
63844814911020;4543054;0;100;37,4216;ebbdb53346
63844814911219;4543321;0;100;36,9887;ebbdb53346
63844814911520;4543654;0;100;38,643;ebbdb53346
63844814911903;4544054;0;100;38,196;ebbdb53346
63844814912220;4544321;0;100;37,7542;ebbdb53346
63844814912521;4544654;0;100;37,3174;ebbdb53346
63844814913353;4545054;0;100;36,8857;ebbdb53346
63844814913453;4545387;0;100;38,5413;ebbdb53346
63844814913553;4545654;0;100;38,0954;ebbdb53346
63844814913920;4545987;0;100;37,6548;ebbdb53346
63844814914252;4546320;0;100;37,2192;ebbdb53346
63844814914519;4546654;0;100;36,7886;ebbdb53346
63844814914919;4547054;0;100;36,363;ebbdb53346
63844814915219;4547320;0;100;35,9424;ebbdb53346
63844814915770;4547654;0;100;35,5266;ebbdb53346
63844814915953;4548054;0;100;35,1156;ebbdb53346
63844814916252;4548320;0;100;34,7094;ebbdb53346
63844814916553;4548653;0;100;34,3079;ebbdb53346
63844814916853;4548987;0;100;33,911;ebbdb53346
63844814917253;4549387;0;100;33,5187;ebbdb53346
63844814917553;4549653;0;100;35,2132;ebbdb53346
63844814918186;4549987;0;100;34,8059;ebbdb53346
63844814918252;4550387;0;100;36,4855;ebbdb53346
63844814918586;4550653;0;100;38,1457;ebbdb53346
63844814918886;4550987;0;100;37,7044;ebbdb53346
63844814919253;4551387;0;100;37,2682;ebbdb53346
63844814919553;4551653;0;100;38,9194;ebbdb53346
63844814919853;4551986;0;100;40,5514;ebbdb53346
63844814920553;4552386;0;100;40,0823;ebbdb53346
63844814920554;4552653;0;100;39,6186;ebbdb53346
63844814920853;4552986;0;100;41,2426;ebbdb53346
63844814921286;4553386;0;100;40,7655;ebbdb53346
63844814921586;4553720;0;100;40,2939;ebbdb53346
63844814921886;4553986;0;100;39,8278;ebbdb53346
63844814922186;4554320;0;100;39,367;ebbdb53346
63844814922952;4554720;0;100;38,9116;ebbdb53346
63844814922953;4554986;0;100;38,4615;ebbdb53346
63844814923253;4555320;0;100;38,0166;ebbdb53346
63844814923519;4555653;0;100;37,5768;ebbdb53346
63844814923920;4556053;0;100;37,1421;ebbdb53346
63844814924186;4556319;0;100;36,7124;ebbdb53346
63844814924586;4556719;0;100;36,2878;ebbdb53346
63844814924886;4556986;0;100;35,868;ebbdb53346
63844814925453;4557319;0;100;37,5353;ebbdb53346
63844814925619;4557719;0;100;37,1011;ebbdb53346
63844814925919;4558053;0;100;36,6719;ebbdb53346
63844814926220;4558319;0;100;36,2477;ebbdb53346
63844814926519;4558652;0;100;35,8284;ebbdb53346
63844814926920;4559052;0;100;35,4139;ebbdb53346
63844814927219;4559319;0;100;35,0042;ebbdb53346
63844814927786;4559652;0;100;34,5993;ebbdb53346
63844814927953;4560052;0;100;34,1991;ebbdb53346
63844814928253;4560386;0;100;33,8034;ebbdb53346
63844814928552;4560652;0;100;33,4124;ebbdb53346
63844814928852;4560986;0;100;33,0259;ebbdb53346
63844814929352;4561452;0;100;32,6438;ebbdb53346
63844814929553;4561652;0;100;32,2662;ebbdb53346
63844814930152;4561985;0;100;31,8929;ebbdb53346
63844814930286;4562385;0;100;31,524;ebbdb53346
63844814930553;4562652;0;100;31,1593;ebbdb53346
63844814930852;4562985;0;100;30,7989;ebbdb53346
63844814931286;4563385;0;100;30,4426;ebbdb53346
63844814931552;4563719;0;100;30,0904;ebbdb53346
63844814931886;4563985;0;100;29,7423;ebbdb53346
63844814932552;4564319;0;100;29,3983;ebbdb53346
63844814932586;4564719;0;100;29,0582;ebbdb53346
63844814932886;4564985;0;100;28,7221;ebbdb53346
63844814933186;4565319;1;100;28,3898;ebbdb53346
63844814933586;4565718;1;100;28,0614;ebbdb53346
63844814933919;4566052;1;100;27,7368;ebbdb53346
63844814934252;4566318;1;100;27,4159;ebbdb53346
63844814934952;4566718;1;100;27,0988;ebbdb53346
63844814935020;4566985;1;100;26,7853;ebbdb53346
63844814935186;4567318;1;100;26,4754;ebbdb53346
63844814935586;4567718;1;100;26,1692;ebbdb53346
63844814935886;4567985;1;100;25,8664;ebbdb53346
63844814936186;4568318;1;100;25,5672;ebbdb53346
63844814936619;4568718;1;100;25,2714;ebbdb53346
63844814936919;4569051;1;100;24,9791;ebbdb53346
63844814937486;4569318;1;100;24,6901;ebbdb53346
63844814937519;4569652;1;100;24,4045;ebbdb53346
63844814937919;4570051;1;100;24,1222;ebbdb53346
63844814938219;4570318;1;100;23,8432;ebbdb53346
63844814938519;4570651;1;100;23,5673;ebbdb53346
63844814938853;4570985;1;100;25,377;ebbdb53346
63844814939252;4571385;1;100;25,0834;ebbdb53346
63844814939786;4571718;1;100;24,7932;ebbdb53346
63844814939919;4572051;1;100;24,5064;ebbdb53346
63844814940252;4572318;1;100;26,3052;ebbdb53346
63844814940552;4572651;1;100;28,0831;ebbdb53346
63844814940853;4572984;1;100;29,8405;ebbdb53346
63844814941252;4573384;1;100;29,4953;ebbdb53346
63844814941552;4573651;1;100;31,2364;ebbdb53346
63844814942186;4573984;1;100;30,875;ebbdb53346
63844814942252;4574318;1;100;32,6001;ebbdb53346
63844814942586;4574718;1;100;32,223;ebbdb53346
63844814942886;4574984;1;100;31,8502;ebbdb53346
63844814943219;4575318;1;100;33,564;ebbdb53346
63844814943519;4575651;1;100;33,1758;ebbdb53346
63844814943919;4576051;1;100;32,792;ebbdb53346
63844814944586;4576317;1;100;34,4949;ebbdb53346
63844814944652;4576717;1;100;34,0959;ebbdb53346
63844814944852;4576984;1;100;33,7014;ebbdb53346
63844814945252;4577384;1;100;33,3116;ebbdb53346
63844814945552;4577651;1;100;32,9262;ebbdb53346
63844814945852;4577984;1;100;34,6276;ebbdb53346
63844814946220;4578317;1;100;34,227;ebbdb53346
63844814946519;4578650;1;100;33,8311;ebbdb53346
63844814946987;4579050;1;100;33,4397;ebbdb53346
63844814947219;4579317;1;100;33,0529;ebbdb53346
63844814947520;4579651;1;100;32,6705;ebbdb53346
63844814947919;4580050;1;100;32,2926;ebbdb53346
63844814948286;4580384;1;100;31,919;ebbdb53346
63844814948586;4580717;1;100;31,5498;ebbdb53346
63844814948886;4580984;1;100;31,1848;ebbdb53346
63844814949485;4581317;1;100;30,8241;ebbdb53346
63844814949585;4581717;1;100;30,4675;ebbdb53346
63844814949852;4581983;1;100;30,115;ebbdb53346
63844814950219;4582317;1;100;29,7667;ebbdb53346
63844814950519;4582650;1;100;31,5046;ebbdb53346
63844814950852;4582983;1;100;31,1401;ebbdb53346
63844814951252;4583383;1;100;30,7799;ebbdb53346
63844814951819;4583650;1;100;30,4238;ebbdb53346
63844814951885;4583983;1;100;30,0719;ebbdb53346
63844814952219;4584317;1;100;29,724;ebbdb53346
63844814952586;4584717;1;100;29,3802;ebbdb53346
63844814952885;4584983;1;100;31,1225;ebbdb53346
63844814953219;4585317;1;100;30,7625;ebbdb53346
63844814953519;4585650;1;100;30,4067;ebbdb53346
63844814954186;4586050;1;100;30,0549;ebbdb53346
63844814954219;4586316;1;100;29,7072;ebbdb53346
63844814954585;4586650;1;100;29,3636;ebbdb53346
63844814955019;4587116;1;100;29,0239;ebbdb53346
63844814955219;4587316;1;100;28,6882;ebbdb53346
63844814955585;4587716;1;100;28,3563;ebbdb53346
63844814955885;4587983;1;100;28,0283;ebbdb53346
63844814956586;4588316;1;100;27,704;ebbdb53346
63844814956619;4588716;1;100;27,3835;ebbdb53346
63844814956885;4588983;1;100;27,0668;ebbdb53346
63844814957219;4589316;1;100;26,7537;ebbdb53346
63844814957519;4589649;1;100;26,4442;ebbdb53346
63844814957919;4590049;1;100;26,1383;ebbdb53346
63844814958219;4590316;1;100;25,8359;ebbdb53346
63844814958518;4590649;1;100;25,537;ebbdb53346
63844814958986;4591049;1;100;25,2416;ebbdb53346
63844814959252;4591316;1;100;24,9496;ebbdb53346
63844814959552;4591649;1;100;24,661;ebbdb53346
63844814959852;4591982;1;100;24,3757;ebbdb53346
63844814960186;4592316;1;100;24,0937;ebbdb53346
63844814960619;4592716;1;100;23,815;ebbdb53346
63844814960885;4592982;1;100;25,6218;ebbdb53346
63844814961419;4593316;1;100;25,3254;ebbdb53346
63844814961552;4593649;1;100;25,0324;ebbdb53346
63844814961919;4594049;1;100;24,7428;ebbdb53346
63844814962219;4594316;1;100;24,4566;ebbdb53346
63844814962552;4594649;1;100;24,1737;ebbdb53346
63844814962852;4594982;1;100;25,9763;ebbdb53346
63844814963252;4595382;1;100;25,6758;ebbdb53346
63844814963819;4595649;1;100;25,3788;ebbdb53346
63844814963852;4595982;1;100;25,0852;ebbdb53346
63844814964252;4596382;1;100;26,8773;ebbdb53346
63844814964585;4596715;1;100;28,6486;ebbdb53346
63844814964886;4596982;1;100;28,3172;ebbdb53346
63844814965252;4597315;1;100;30,0719;ebbdb53346
63844814965552;4597649;1;100;29,724;ebbdb53346
63844814966219;4597982;1;100;31,4624;ebbdb53346
63844814966252;4598382;1;100;31,0984;ebbdb53346
63844814966552;4598649;1;100;30,7387;ebbdb53346
63844814966852;4598982;1;100;30,3831;ebbdb53346
63844814967252;4599382;1;100;30,0316;ebbdb53346
63844814967552;4599715;1;100;29,6842;ebbdb53346
63844814967885;4599982;1;100;31,4231;ebbdb53346
63844814968252;4600315;1;100;33,1418;ebbdb53346
63844814968619;4600715;1;100;32,7584;ebbdb53346
63844814968885;4600982;1;100;32,3795;ebbdb53346
63844814969185;4601315;1;100;32,0049;ebbdb53346
63844814969618;4601715;1;100;33,7169;ebbdb53346
63844814969919;4602048;1;100;33,3269;ebbdb53346
63844814970319;4602315;1;100;32,9414;ebbdb53346
63844814970518;4602648;1;100;32,5603;ebbdb53346
63844814971019;4603048;1;100;34,2659;ebbdb53346
63844814971219;4603315;1;100;33,8695;ebbdb53346
63844814971519;4603648;1;100;35,56;ebbdb53346
63844814971919;4604048;1;100;35,1486;ebbdb53346
63844814972352;4604448;1;100;34,742;ebbdb53346
63844814972552;4604648;1;100;34,3401;ebbdb53346
63844814972852;4604981;1;100;33,9428;ebbdb53346
63844814973552;4605381;1;100;33,5502;ebbdb53346
63844814973552;4605648;1;100;33,1621;ebbdb53346
63844814973851;4605981;1;100;32,7785;ebbdb53346
63844814974318;4606381;1;100;32,3993;ebbdb53346
63844814974486;4606648;1;100;32,0245;ebbdb53346
63844814974918;4607048;1;100;31,654;ebbdb53346
63844814975285;4607315;1;100;31,2878;ebbdb53346
63844814975819;4607714;1;100;30,9259;ebbdb53346
63844814975952;4608048;1;100;30,5681;ebbdb53346
63844814976318;4608314;1;100;30,2145;ebbdb53346
63844814976551;4608648;1;100;31,9473;ebbdb53346
63844814976885;4608981;1;100;31,5777;ebbdb53346
63844814977218;4609314;1;100;31,2124;ebbdb53346
63844814977585;4609714;1;100;30,8513;ebbdb53346
63844814978218;4609981;1;100;30,4944;ebbdb53346
63844814978318;4610314;1;100;30,1417;ebbdb53346
63844814978552;4610647;1;100;29,793;ebbdb53346
63844814978851;4610981;1;100;29,4484;ebbdb53346
63844814979285;4611381;1;100;29,1077;ebbdb53346
63844814979552;4611647;1;100;28,771;ebbdb53346
63844814979852;4611980;1;100;28,4381;ebbdb53346
63844814980219;4612314;1;100;28,1092;ebbdb53346
63844814980619;4612714;1;100;27,784;ebbdb53346
63844814980918;4613047;1;100;27,4626;ebbdb53346
63844814981251;4613314;1;100;27,1449;ebbdb53346
63844814981552;4613647;1;100;26,8309;ebbdb53346
63844814981952;4614047;1;100;26,5205;ebbdb53346
63844814982252;4614380;1;100;26,2137;ebbdb53346
63844814982585;4614714;1;100;25,9105;ebbdb53346
63844814983052;4614980;1;100;25,6107;ebbdb53346
63844814983185;4615314;1;100;25,3145;ebbdb53346
63844814983518;4615647;1;100;25,0216;ebbdb53346
63844814983918;4616047;1;100;24,7322;ebbdb53346
63844814984218;4616313;1;100;24,4461;ebbdb53346
63844814984552;4616647;1;100;24,1633;ebbdb53346
63844814984885;4616980;1;100;23,8838;ebbdb53346
63844814985552;4617313;1;100;23,6075;ebbdb53346
63844814985585;4617713;1;100;23,3344;ebbdb53346
63844814985852;4617980;1;100;25,1467;ebbdb53346
63844814986252;4618380;1;100;24,8558;ebbdb53346
63844814986618;4618713;1;100;24,5683;ebbdb53346
