Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63844031383924;63844031383960;1;1;08c00ca162
2;63844031480092;63844031480129;2;1;08c00ca162
3;63844031580055;63844031580107;4;1;08c00ca162
4;63844031583634;63844031583673;4;2;08c00ca162
5;63844031620008;63844031620020;-4;3;08c00ca162
6;63844031631407;63844031631454;5;4;08c00ca162
7;63844031689466;63844031689501;-5;2;08c00ca162
8;63844031700214;63844031700285;-5;2;08c00ca162
9;63844031704924;63844031704935;6;3;08c00ca162
10;63844031793365;63844031793377;7;1;08c00ca162
11;63844031927652;63844031927700;8;1;08c00ca162
12;63844032093475;63844032093511;10;1;08c00ca162
