Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844031266567;63844031266636;0;151,2539;08c00ca162
2;63844031266882;63844031266938;0;268,9446;08c00ca162
3;63844031267105;63844031267143;0;154,6069;08c00ca162
4;63844031267283;63844031267308;0;417,6837;08c00ca162
5;63844031267308;63844031267371;0;85,66361;08c00ca162
6;63844031267532;63844031267570;0;223,4797;08c00ca162
7;63844031267719;63844031267769;0;270,2031;08c00ca162
8;63844031268156;63844031268212;0;303,1682;08c00ca162
9;63844031268886;63844031268939;0;215,5579;08c00ca162
10;63844031269140;63844031269178;0;242,6895;08c00ca162
11;63844031270534;63844031270610;0;230,4667;08c00ca162
12;63844031271049;63844031271072;0;102,6547;08c00ca162
13;63844031271225;63844031271273;0;311,4656;08c00ca162
14;63844031271382;63844031271466;0;322,1519;08c00ca162
15;63844031271490;63844031271526;0;75,61607;08c00ca162
16;63844031271538;63844031271585;0;136,9232;08c00ca162
17;63844031271608;63844031271738;0;59,65503;08c00ca162
18;63844031271749;63844031271761;0;112,7229;08c00ca162
19;63844031271966;63844031272012;0;169,4985;08c00ca162
20;63844031272253;63844031272298;0;168,1716;08c00ca162
21;63844031272459;63844031272481;0;149,9527;08c00ca162
22;63844031272730;63844031272775;0;103,5;08c00ca162
23;63844031273196;63844031273220;0;147,2256;08c00ca162
24;63844031273505;63844031273562;0;230,0749;08c00ca162
25;63844031273710;63844031273744;0;332,7047;08c00ca162
26;63844031273905;63844031273938;0;165,5439;08c00ca162
27;63844031274155;63844031274189;0;241,7706;08c00ca162
28;63844031274620;63844031274694;0;276,9734;08c00ca162
29;63844031275423;63844031275476;0;228,4436;08c00ca162
30;63844031275895;63844031275933;0;180,7185;08c00ca162
31;63844031276271;63844031276361;0;409,0375;08c00ca162
32;63844031276440;63844031276596;0;95,86401;08c00ca162
33;63844031277151;63844031277205;0;317,9847;08c00ca162
34;63844031277338;63844031277377;0;145,9515;08c00ca162
35;63844031277648;63844031277686;0;207,4594;08c00ca162
36;63844031277995;63844031278034;0;167,7154;08c00ca162
37;63844031278352;63844031278392;0;264,6209;08c00ca162
38;63844031278716;63844031278770;0;222,4102;08c00ca162
39;63844031279109;63844031279149;0;454,0292;08c00ca162
40;63844031279373;63844031279411;0;532,836;08c00ca162
41;63844031279412;63844031279505;0;343,0449;08c00ca162
42;63844031279531;63844031279558;0;123,6235;08c00ca162
43;63844031279571;63844031279678;0;143,5926;08c00ca162
44;63844031279693;63844031279706;0;156,2844;08c00ca162
45;63844031279852;63844031279866;0;98,27142;08c00ca162
46;63844031280015;63844031280066;0;188,2951;08c00ca162
47;63844031280160;63844031280173;0;169,6836;08c00ca162
48;63844031280186;63844031280214;0;151,359;08c00ca162
49;63844031280463;63844031280503;0;198,8411;08c00ca162
50;63844031280619;63844031280632;0;84,07796;08c00ca162
51;63844031280671;63844031280696;0;70,49013;08c00ca162
52;63844031280826;63844031280878;0;419,3098;08c00ca162
53;63844031281008;63844031281046;0;151,4806;08c00ca162
54;63844031281366;63844031281406;0;132,5654;08c00ca162
55;63844031281905;63844031281942;0;217,1789;08c00ca162
56;63844031282211;63844031282238;0;294,5742;08c00ca162
57;63844031282574;63844031282614;0;141,5397;08c00ca162
58;63844031282884;63844031282936;0;145,4039;08c00ca162
59;63844031283253;63844031283330;0;325,0585;08c00ca162
60;63844031283361;63844031283407;0;350,1933;08c00ca162
61;63844031283466;63844031283618;0;214,4173;08c00ca162
62;63844031283676;63844031283706;0;120,2951;08c00ca162
63;63844031283721;63844031283764;0;146,0304;08c00ca162
64;63844031283764;63844031283823;0;224,173;08c00ca162
65;63844031283838;63844031284029;0;66,25085;08c00ca162
66;63844031284222;63844031284237;0;52,53858;08c00ca162
67;63844031284237;63844031284266;0;137,534;08c00ca162
68;63844031284326;63844031284340;0;129,6496;08c00ca162
69;63844031284516;63844031284631;0;315,7812;08c00ca162
70;63844031284716;63844031284730;0;91,01048;08c00ca162
71;63844031284970;63844031284997;0;89,33135;08c00ca162
72;63844031285153;63844031285166;0;69,95686;08c00ca162
73;63844031285494;63844031285578;0;302,0276;08c00ca162
74;63844031285651;63844031285694;0;57,7996;08c00ca162
75;63844031285694;63844031285782;0;250,6228;08c00ca162
76;63844031285782;63844031285989;0;29,49827;08c00ca162
77;63844031286033;63844031286049;0;106,9095;08c00ca162
78;63844031286049;63844031286161;0;168,2344;08c00ca162
79;63844031286174;63844031286231;0;243,1368;08c00ca162
80;63844031286286;63844031286396;0;100,2103;08c00ca162
81;63844031286477;63844031286505;0;206,0116;08c00ca162
82;63844031286747;63844031286785;0;441,5477;08c00ca162
83;63844031287242;63844031287280;0;143,9422;08c00ca162
84;63844031287589;63844031287676;0;388,2333;08c00ca162
85;63844031287763;63844031287876;0;98,37585;08c00ca162
86;63844031287952;63844031287990;0;217,7346;08c00ca162
87;63844031288929;63844031288966;0;178,4192;08c00ca162
