Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63845250054131;63845250054169;0;1;10dd32d73d
2;63845250093011;63845250093067;1;2;10dd32d73d
3;63845250115175;63845250115229;-1;2;10dd32d73d
4;63845250176589;63845250176765;2;1;10dd32d73d
5;63845250183075;63845250183146;2;2;10dd32d73d
6;63845250186041;63845250186108;2;3;10dd32d73d
7;63845250190404;63845250190435;2;4;10dd32d73d
8;63845250216588;63845250216628;3;5;10dd32d73d
9;63845250241650;63845250241779;-3;5;10dd32d73d
10;63845250284448;63845250284531;-4;2;10dd32d73d
11;63845250311694;63845250311694;5;2;10dd32d73d
12;63845250311719;63845250311746;5;3;10dd32d73d
13;63845250343553;63845250343627;-5;4;10dd32d73d
14;63845250410701;63845250410728;6;1;10dd32d73d
15;63845250439683;63845250439683;7;2;10dd32d73d
16;63845250439696;63845250439711;7;3;10dd32d73d
17;63845250501764;63845250501933;8;1;10dd32d73d
18;63845250502279;63845250502339;8;2;10dd32d73d
19;63845250520258;63845250520312;8;3;10dd32d73d
20;63845250575750;63845250575911;-8;2;10dd32d73d
