Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63845250018911;63845250018912;0;8,261157;10dd32d73d
2;63845250019413;63845250019655;0;26,58794;10dd32d73d
3;63845250019740;63845250019798;0;14,77772;10dd32d73d
4;63845250019825;63845250019853;0;2,21576;10dd32d73d
5;63845250019866;63845250019894;0;1,941284;10dd32d73d
6;63845250019948;63845250020097;0;14,46301;10dd32d73d
7;63845250020521;63845250020571;0;19,43835;10dd32d73d
8;63845250020735;63845250020747;0;3,084896;10dd32d73d
9;63845250020760;63845250020797;0;2,880791;10dd32d73d
10;63845250020917;63845250020933;0;1,91336;10dd32d73d
11;63845250021348;63845250021383;0;4,853289;10dd32d73d
12;63845250021856;63845250021891;0;4,338199;10dd32d73d
13;63845250022244;63845250022280;0;3,176135;10dd32d73d
14;63845250022443;63845250022479;0;4,051106;10dd32d73d
15;63845250022831;63845250022868;0;5,789838;10dd32d73d
16;63845250023196;63845250023244;0;11,11907;10dd32d73d
17;63845250023691;63845250023738;0;7,907928;10dd32d73d
18;63845250024011;63845250024047;0;3,639756;10dd32d73d
19;63845250024566;63845250024600;0;3,940891;10dd32d73d
20;63845250025398;63845250025423;0;2,523441;10dd32d73d
21;63845250025481;63845250025519;0;5,328331;10dd32d73d
22;63845250025740;63845250025814;0;7,753676;10dd32d73d
23;63845250025827;63845250025839;0;1,119775;10dd32d73d
24;63845250025901;63845250025962;0;12,63159;10dd32d73d
25;63845250026162;63845250026217;0;15,10869;10dd32d73d
26;63845250026423;63845250026448;0;4,34803;10dd32d73d
27;63845250026796;63845250026836;0;10,93747;10dd32d73d
28;63845250027065;63845250027104;0;6,841976;10dd32d73d
29;63845250027336;63845250027390;0;17,28615;10dd32d73d
30;63845250027589;63845250027643;0;18,02406;10dd32d73d
31;63845250027723;63845250027789;0;7,84908;10dd32d73d
32;63845250027830;63845250027964;0;10,79662;10dd32d73d
33;63845250027989;63845250028004;0;1,927118;10dd32d73d
34;63845250028150;63845250028271;0;33,80711;10dd32d73d
35;63845250028301;63845250028313;0;1,916732;10dd32d73d
36;63845250028340;63845250028410;0;8,514516;10dd32d73d
37;63845250028826;63845250028891;0;12,09158;10dd32d73d
38;63845250029000;63845250029045;0;3,763952;10dd32d73d
39;63845250029105;63845250029167;0;11,86387;10dd32d73d
40;63845250029272;63845250029303;0;3,596136;10dd32d73d
41;63845250029380;63845250029411;0;4,517613;10dd32d73d
42;63845250029611;63845250029643;0;16,69404;10dd32d73d
43;63845250029806;63845250029979;0;24,23938;10dd32d73d
44;63845250030111;63845250030247;0;17,76627;10dd32d73d
45;63845250030260;63845250030273;0;2,579823;10dd32d73d
46;63845250030913;63845250030965;0;12,97801;10dd32d73d
47;63845250031094;63845250031121;0;4,100357;10dd32d73d
48;63845250031186;63845250031248;0;5,343718;10dd32d73d
49;63845250031814;63845250031880;0;16,2813;10dd32d73d
50;63845250031893;63845250031919;0;1,925696;10dd32d73d
51;63845250032065;63845250032117;0;10,55894;10dd32d73d
52;63845250032261;63845250032356;0;14,67417;10dd32d73d
53;63845250032701;63845250032766;0;15,76875;10dd32d73d
54;63845250033104;63845250033131;0;2,676276;10dd32d73d
55;63845250033325;63845250033456;0;15,97313;10dd32d73d
56;63845250033468;63845250033481;0;2,308849;10dd32d73d
57;63845250034097;63845250034136;0;4,433277;10dd32d73d
58;63845250034321;63845250034358;0;11,48031;10dd32d73d
59;63845250034566;63845250034605;0;11,15586;10dd32d73d
60;63845250034826;63845250034892;0;19,47717;10dd32d73d
61;63845250034905;63845250034931;0;2,34268;10dd32d73d
62;63845250034957;63845250035036;0;8,10421;10dd32d73d
63;63845250035342;63845250035382;0;4,222528;10dd32d73d
64;63845250035790;63845250035844;0;14,60071;10dd32d73d
65;63845250036170;63845250036210;0;7,140975;10dd32d73d
66;63845250036755;63845250036795;0;10,11772;10dd32d73d
67;63845250037137;63845250037178;0;7,481206;10dd32d73d
68;63845250037288;63845250037327;0;2,762509;10dd32d73d
69;63845250037599;63845250037638;0;10,30473;10dd32d73d
70;63845250037773;63845250037801;0;8,774046;10dd32d73d
71;63845250038308;63845250038369;0;9,748627;10dd32d73d
72;63845250038667;63845250038727;0;6,059646;10dd32d73d
73;63845250039450;63845250039524;0;21,06266;10dd32d73d
74;63845250039538;63845250039597;0;5,968082;10dd32d73d
75;63845250039774;63845250039824;0;5,610177;10dd32d73d
76;63845250039848;63845250040030;0;25,15394;10dd32d73d
77;63845250040096;63845250040161;0;23,42265;10dd32d73d
78;63845250040214;63845250040227;0;1,738438;10dd32d73d
79;63845250040241;63845250040412;0;3,985263;10dd32d73d
80;63845250040465;63845250040544;0;10,20411;10dd32d73d
81;63845250040556;63845250040606;0;11,75619;10dd32d73d
82;63845250040658;63845250040760;0;10,86642;10dd32d73d
83;63845250041259;63845250041324;0;10,23962;10dd32d73d
84;63845250041539;63845250041578;0;8,324683;10dd32d73d
85;63845250041767;63845250041857;0;24,94253;10dd32d73d
86;63845250042301;63845250042348;0;7,809872;10dd32d73d
87;63845250042487;63845250042548;0;12,70826;10dd32d73d
88;63845250042574;63845250042586;0;1,432312;10dd32d73d
89;63845250042610;63845250042699;0;8,784226;10dd32d73d
90;63845250042878;63845250042931;0;5,050048;10dd32d73d
91;63845250043286;63845250043324;0;12,74633;10dd32d73d
92;63845250043500;63845250043513;0;7,745673;10dd32d73d
93;63845250043698;63845250043746;0;6,359925;10dd32d73d
94;63845250043954;63845250043980;0;2,582705;10dd32d73d
95;63845250044209;63845250044233;0;2,778476;10dd32d73d
96;63845250044245;63845250044271;0;3,914366;10dd32d73d
97;63845250044271;63845250044334;0;8,147651;10dd32d73d
98;63845250044361;63845250044375;0;2,139729;10dd32d73d
99;63845250044922;63845250044963;0;10,74627;10dd32d73d
100;63845250045081;63845250045108;0;10,29457;10dd32d73d
101;63845250045335;63845250045375;0;9,174511;10dd32d73d
102;63845250045456;63845250045481;0;2,664915;10dd32d73d
103;63845250045511;63845250045537;0;2,340674;10dd32d73d
104;63845250045578;63845250045606;0;2,489707;10dd32d73d
105;63845250045621;63845250045660;0;8,91566;10dd32d73d
106;63845250045910;63845250045965;0;11,32281;10dd32d73d
107;63845250046431;63845250046500;0;24,41003;10dd32d73d
108;63845250046772;63845250046813;0;7,05758;10dd32d73d
109;63845250047476;63845250047530;0;17,06893;10dd32d73d
110;63845250047883;63845250047925;0;5,22581;10dd32d73d
111;63845250048264;63845250048303;0;7,439913;10dd32d73d
112;63845250048565;63845250048604;0;3,282589;10dd32d73d
113;63845250048721;63845250048745;0;6,932681;10dd32d73d
114;63845250048771;63845250048885;0;27,72461;10dd32d73d
115;63845250048897;63845250049093;0;9,0044;10dd32d73d
116;63845250049323;63845250049359;0;5,450968;10dd32d73d
117;63845250049467;63845250049514;0;7,732613;10dd32d73d
118;63845250049918;63845250049977;0;10,06267;10dd32d73d
119;63845250050110;63845250050156;0;8,945096;10dd32d73d
120;63845250050465;63845250050490;0;2,799113;10dd32d73d
121;63845250050967;63845250051013;0;10,17344;10dd32d73d
122;63845250051686;63845250051746;0;9,242248;10dd32d73d
123;63845250052109;63845250052156;0;15,78317;10dd32d73d
124;63845250052326;63845250052351;0;3,724363;10dd32d73d
125;63845250052556;63845250052615;0;16,26795;10dd32d73d
126;63845250052811;63845250052846;0;4,301793;10dd32d73d
127;63845250053983;63845250053996;0;5,628383;10dd32d73d
128;63845250054308;63845250054476;0;25,05775;10dd32d73d
129;63845250054476;63845250054488;0;2,946034;10dd32d73d
130;63845250054502;63845250054528;0;3,041888;10dd32d73d
131;63845250054567;63845250054683;0;11,43542;10dd32d73d
132;63845250054831;63845250054869;0;8,569375;10dd32d73d
133;63845250055031;63845250055084;0;6,483557;10dd32d73d
134;63845250055442;63845250055483;0;2,701608;10dd32d73d
135;63845250055615;63845250055656;0;8,639906;10dd32d73d
136;63845250055908;63845250055961;0;18,07525;10dd32d73d
137;63845250056209;63845250056254;0;27,52188;10dd32d73d
138;63845250056268;63845250056282;0;0,591822;10dd32d73d
139;63845250056548;63845250056591;0;5,938844;10dd32d73d
140;63845250057119;63845250057205;0;25,23782;10dd32d73d
141;63845250057219;63845250057246;0;4,011612;10dd32d73d
142;63845250057445;63845250057457;0;7,981385;10dd32d73d
143;63845250057509;63845250057597;0;15,68344;10dd32d73d
144;63845250057610;63845250057646;0;4,442766;10dd32d73d
145;63845250058359;63845250058398;0;8,395034;10dd32d73d
146;63845250058452;63845250058478;0;1,729635;10dd32d73d
147;63845250058706;63845250058748;0;7,144903;10dd32d73d
148;63845250058911;63845250059005;0;17,63748;10dd32d73d
149;63845250059479;63845250059557;0;21,41702;10dd32d73d
150;63845250059954;63845250060116;0;39,2695;10dd32d73d
151;63845250060160;63845250060201;0;4,613927;10dd32d73d
152;63845250060201;63845250060215;0;1,245998;10dd32d73d
153;63845250060331;63845250060376;0;6,843037;10dd32d73d
154;63845250060841;63845250060870;0;2,464263;10dd32d73d
155;63845250061369;63845250061456;0;23,90355;10dd32d73d
156;63845250061486;63845250061500;0;2,61883;10dd32d73d
157;63845250061512;63845250061941;0;31,17047;10dd32d73d
158;63845250061941;63845250061941;0;2,80086;10dd32d73d
159;63845250061941;63845250061941;0;9,611369;10dd32d73d
160;63845250062135;63845250062171;0;4,271685;10dd32d73d
161;63845250062280;63845250062338;0;15,48662;10dd32d73d
162;63845250062531;63845250062579;0;6,423915;10dd32d73d
163;63845250062913;63845250062975;0;11,2869;10dd32d73d
164;63845250063131;63845250063166;0;3,598314;10dd32d73d
165;63845250063346;63845250063381;0;6,675353;10dd32d73d
166;63845250063658;63845250063696;0;16,35665;10dd32d73d
167;63845250064648;63845250064695;0;6,783072;10dd32d73d
168;63845250065832;63845250065893;0;6,961227;10dd32d73d
169;63845250066255;63845250066304;0;6,694861;10dd32d73d
170;63845250067164;63845250067211;0;10,32087;10dd32d73d
171;63845250067514;63845250067563;0;3,340351;10dd32d73d
172;63845250067670;63845250067709;0;5,015713;10dd32d73d
173;63845250067831;63845250067866;0;4,515401;10dd32d73d
174;63845250067964;63845250068000;0;2,964185;10dd32d73d
175;63845250068121;63845250068156;0;4,239238;10dd32d73d
176;63845250068348;63845250068410;0;20,33629;10dd32d73d
177;63845250068471;63845250068517;0;4,558746;10dd32d73d
178;63845250068844;63845250068869;0;8,202289;10dd32d73d
179;63845250069038;63845250069076;0;3,833489;10dd32d73d
180;63845250069425;63845250069448;0;4,135407;10dd32d73d
181;63845250069689;63845250069714;0;2,998917;10dd32d73d
182;63845250069979;63845250070027;0;5,960457;10dd32d73d
183;63845250070221;63845250070256;0;4,583856;10dd32d73d
184;63845250070546;63845250070594;0;6,384234;10dd32d73d
185;63845250070811;63845250070860;0;6,826508;10dd32d73d
186;63845250071281;63845250071318;0;5,869189;10dd32d73d
187;63845250071873;63845250071922;0;7,773471;10dd32d73d
188;63845250072536;63845250072586;0;7,119267;10dd32d73d
189;63845250073008;63845250073055;0;7,021605;10dd32d73d
190;63845250073345;63845250073392;1;9,098267;10dd32d73d
191;63845250073489;63845250073524;1;7,399424;10dd32d73d
192;63845250073860;63845250073896;1;6,094935;10dd32d73d
193;63845250074397;63845250074432;1;3,666342;10dd32d73d
194;63845250074669;63845250074707;1;5,014384;10dd32d73d
195;63845250074932;63845250074968;1;5,185876;10dd32d73d
196;63845250075231;63845250075280;1;9,84147;10dd32d73d
197;63845250075528;63845250075566;1;6,665857;10dd32d73d
198;63845250075744;63845250075767;1;4,055937;10dd32d73d
199;63845250076090;63845250076125;1;10,73389;10dd32d73d
200;63845250076291;63845250076327;1;3,711618;10dd32d73d
201;63845250076721;63845250076757;1;4,084565;10dd32d73d
202;63845250076911;63845250076947;1;4,539931;10dd32d73d
203;63845250077104;63845250077151;1;4,240208;10dd32d73d
204;63845250077391;63845250077426;1;4,209428;10dd32d73d
205;63845250077735;63845250077760;1;2,919066;10dd32d73d
206;63845250077891;63845250077926;1;9,843068;10dd32d73d
207;63845250078143;63845250078178;1;4,218537;10dd32d73d
208;63845250078476;63845250078513;1;7,042026;10dd32d73d
209;63845250078751;63845250078802;1;5,543796;10dd32d73d
210;63845250078814;63845250078841;1;2,434135;10dd32d73d
211;63845250078852;63845250078955;1;12,8878;10dd32d73d
212;63845250078994;63845250079057;1;5,280789;10dd32d73d
