Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63844639591455;63844639591544;0;1;146fbc180f
2;63844639637070;63844639637136;0;2;146fbc180f
3;63844639657943;63844639657987;1;2;146fbc180f
4;63844639700306;63844639700384;1;2;146fbc180f
5;63844639700802;63844639700853;1;3;146fbc180f
6;63844639713204;63844639713317;1;4;146fbc180f
7;63844639721379;63844639721581;-1;4;146fbc180f
8;63844639723935;63844639724040;-1;5;146fbc180f
9;63844639773140;63844639773187;2;4;146fbc180f
10;63844639776549;63844639776605;2;4;146fbc180f
11;63844639783610;63844639783670;2;4;146fbc180f
12;63844639790802;63844639790816;2;4;146fbc180f
13;63844639795636;63844639795680;2;5;146fbc180f
14;63844639810623;63844639810702;2;6;146fbc180f
15;63844639815272;63844639815349;2;7;146fbc180f
16;63844639815382;63844639815482;2;8;146fbc180f
17;63844639816027;63844639816104;2;9;146fbc180f
18;63844639816560;63844639816593;2;10;146fbc180f
19;63844639816793;63844639816849;2;11;146fbc180f
20;63844639817138;63844639817193;2;12;146fbc180f
21;63844639817449;63844639817505;2;13;146fbc180f
22;63844639817749;63844639817805;2;14;146fbc180f
23;63844639818338;63844639818371;2;15;146fbc180f
24;63844639829229;63844639829240;2;16;146fbc180f
25;63844639830047;63844639830160;2;17;146fbc180f
26;63844639845346;63844639845369;-2;15;146fbc180f
27;63844639853028;63844639853128;-2;15;146fbc180f
28;63844639895534;63844639895580;3;3;146fbc180f
29;63844639904126;63844639904181;3;4;146fbc180f
30;63844639910238;63844639910271;3;4;146fbc180f
31;63844639913139;63844639913271;3;4;146fbc180f
32;63844639922085;63844639922141;3;5;146fbc180f
33;63844639931414;63844639931469;3;6;146fbc180f
34;63844639943481;63844639943503;-3;7;146fbc180f
35;63844639965524;63844639965590;4;6;146fbc180f
36;63844639965890;63844639965967;4;7;146fbc180f
37;63844639979819;63844639979830;4;6;146fbc180f
38;63844639987311;63844639987345;4;6;146fbc180f
39;63844639998294;63844639998347;4;6;146fbc180f
40;63844640006710;63844640006766;4;6;146fbc180f
41;63844640023256;63844640023348;-4;7;146fbc180f
42;63844640055788;63844640055870;5;4;146fbc180f
43;63844640090395;63844640090450;-5;2;146fbc180f
44;63844640090586;63844640090619;-5;3;146fbc180f
45;63844640093267;63844640093340;-5;4;146fbc180f
46;63844640106000;63844640106044;6;5;146fbc180f
47;63844640152005;63844640152062;7;3;146fbc180f
48;63844640198775;63844640198820;8;2;146fbc180f
49;63844640228883;63844640228985;9;2;146fbc180f
50;63844640281042;63844640281053;10;2;146fbc180f
51;63844640281131;63844640281243;10;3;146fbc180f
52;63844640303707;63844640303719;10;3;146fbc180f
53;63844640304258;63844640304336;10;4;146fbc180f
54;63844640305860;63844640306230;10;5;146fbc180f
55;63844640314429;63844640314485;10;6;146fbc180f
56;63844640320052;63844640320130;10;7;146fbc180f
57;63844640347158;63844640347215;10;6;146fbc180f
58;63844640353239;63844640353460;10;7;146fbc180f
59;63844640353972;63844640354060;10;8;146fbc180f
60;63844640354221;63844640354272;10;9;146fbc180f
61;63844640354696;63844640354760;10;10;146fbc180f
62;63844640373173;63844640373262;10;8;146fbc180f
63;63844640397079;63844640397124;-10;7;146fbc180f
64;63844640403018;63844640403074;-10;8;146fbc180f
65;63844640404584;63844640404595;-10;9;146fbc180f
