Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63844310535968;63844310536016;0;1;264a9fb729
2;63844310598540;63844310598573;1;1;264a9fb729
3;63844310606563;63844310606607;1;2;264a9fb729
4;63844310613923;63844310614067;1;3;264a9fb729
5;63844310620246;63844310620279;1;4;264a9fb729
6;63844310630937;63844310631051;-1;5;264a9fb729
7;63844310631340;63844310631380;-1;6;264a9fb729
8;63844310631617;63844310631630;-1;7;264a9fb729
9;63844310641760;63844310641795;-1;8;264a9fb729
10;63844310661987;63844310662099;-1;8;264a9fb729
11;63844310667895;63844310667939;2;8;264a9fb729
12;63844310669924;63844310669970;2;9;264a9fb729
13;63844310677138;63844310677182;2;9;264a9fb729
14;63844310684904;63844310685149;2;9;264a9fb729
15;63844310690400;63844310690423;2;10;264a9fb729
16;63844310690515;63844310690559;2;11;264a9fb729
17;63844310695505;63844310695549;2;9;264a9fb729
18;63844310695983;63844310695994;2;10;264a9fb729
19;63844310696715;63844310696793;2;11;264a9fb729
20;63844310699901;63844310699970;2;12;264a9fb729
21;63844310719747;63844310719836;2;12;264a9fb729
22;63844310719880;63844310719902;2;13;264a9fb729
23;63844310738264;63844310738449;2;10;264a9fb729
24;63844310741760;63844310741939;2;11;264a9fb729
25;63844310744248;63844310744494;2;12;264a9fb729
26;63844310746546;63844310746695;2;12;264a9fb729
27;63844310772937;63844310772949;3;7;264a9fb729
28;63844310772982;63844310773015;3;8;264a9fb729
29;63844310775510;63844310775566;3;9;264a9fb729
30;63844310777506;63844310777551;3;10;264a9fb729
31;63844310777806;63844310777862;3;11;264a9fb729
32;63844310785345;63844310785422;3;10;264a9fb729
33;63844310785422;63844310785444;3;11;264a9fb729
34;63844310786155;63844310786433;3;12;264a9fb729
35;63844310789150;63844310789343;3;13;264a9fb729
36;63844310792323;63844310792467;3;14;264a9fb729
37;63844310794666;63844310794772;3;15;264a9fb729
38;63844310802240;63844310802301;-3;14;264a9fb729
39;63844310806225;63844310806236;-3;14;264a9fb729
40;63844310831014;63844310831084;4;14;264a9fb729
41;63844310832995;63844310833061;4;13;264a9fb729
42;63844310843109;63844310843131;4;11;264a9fb729
43;63844310874457;63844310874579;4;4;264a9fb729
44;63844310878377;63844310878517;4;5;264a9fb729
45;63844310885017;63844310885031;-4;6;264a9fb729
46;63844310890679;63844310890735;-4;7;264a9fb729
47;63844310907610;63844310907709;5;5;264a9fb729
48;63844310912472;63844310912527;5;6;264a9fb729
49;63844310919015;63844310919048;5;7;264a9fb729
50;63844310919048;63844310919071;5;8;264a9fb729
51;63844310927691;63844310927713;5;9;264a9fb729
52;63844310930254;63844310930335;5;10;264a9fb729
53;63844310941909;63844310942025;5;9;264a9fb729
54;63844310951187;63844310951280;-5;8;264a9fb729
55;63844310965222;63844310965244;6;9;264a9fb729
56;63844310967898;63844310967978;6;9;264a9fb729
57;63844310969833;63844310970022;6;10;264a9fb729
58;63844310978072;63844310978109;6;10;264a9fb729
59;63844310980832;63844310980999;6;9;264a9fb729
60;63844310981264;63844310981322;6;10;264a9fb729
61;63844310985188;63844310985398;6;11;264a9fb729
62;63844310987889;63844310987944;6;11;264a9fb729
63;63844310988033;63844310988044;6;12;264a9fb729
64;63844310988957;63844310989162;6;13;264a9fb729
65;63844310990285;63844310990318;6;13;264a9fb729
66;63844310997053;63844310997219;6;14;264a9fb729
67;63844311000999;63844311001065;6;15;264a9fb729
68;63844311002689;63844311002799;6;15;264a9fb729
69;63844311011000;63844311011278;6;16;264a9fb729
70;63844311012385;63844311012524;6;16;264a9fb729
71;63844311020786;63844311020820;6;17;264a9fb729
72;63844311025284;63844311025374;6;17;264a9fb729
73;63844311028295;63844311028441;6;17;264a9fb729
74;63844311052999;63844311053055;7;9;264a9fb729
75;63844311054820;63844311054953;7;10;264a9fb729
76;63844311054953;63844311054964;7;11;264a9fb729
77;63844311081587;63844311081654;7;6;264a9fb729
78;63844311086421;63844311086505;7;6;264a9fb729
79;63844311088378;63844311088423;7;6;264a9fb729
80;63844311100050;63844311100182;7;7;264a9fb729
81;63844311106731;63844311106806;7;8;264a9fb729
82;63844311108837;63844311109026;7;9;264a9fb729
83;63844311150252;63844311150418;8;4;264a9fb729
84;63844311171752;63844311171786;8;2;264a9fb729
85;63844311172373;63844311172439;8;3;264a9fb729
86;63844311187926;63844311187994;8;4;264a9fb729
87;63844311202613;63844311202693;8;5;264a9fb729
88;63844311230339;63844311230395;9;5;264a9fb729
89;63844311236558;63844311236738;9;4;264a9fb729
90;63844311239118;63844311239441;9;5;264a9fb729
91;63844311240351;63844311240396;9;6;264a9fb729
92;63844311257563;63844311257574;9;6;264a9fb729
93;63844311257640;63844311257707;9;7;264a9fb729
94;63844311262558;63844311262825;9;8;264a9fb729
95;63844311297749;63844311297871;10;6;264a9fb729
96;63844311300326;63844311300326;10;6;264a9fb729
97;63844311300326;63844311300440;10;7;264a9fb729
98;63844311302215;63844311302271;10;7;264a9fb729
99;63844311306291;63844311306382;10;8;264a9fb729
100;63844311318395;63844311318452;10;7;264a9fb729
101;63844311324230;63844311324301;10;7;264a9fb729
102;63844311326990;63844311326990;10;8;264a9fb729
103;63844311332871;63844311332904;10;9;264a9fb729
104;63844311339281;63844311339339;10;10;264a9fb729
105;63844311341615;63844311341726;10;11;264a9fb729
