Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844310483776;63844310483809;0;130,4241;264a9fb729
2;63844310484042;63844310484131;0;231,7256;264a9fb729
3;63844310484209;63844310484265;0;69,72485;264a9fb729
4;63844310484276;63844310484331;0;157,1888;264a9fb729
5;63844310484542;63844310484708;0;21,49182;264a9fb729
6;63844310484719;63844310484808;0;218,3243;264a9fb729
7;63844310484819;63844310484897;0;244,2243;264a9fb729
8;63844310484919;63844310484942;0;84,09806;264a9fb729
9;63844310484953;63844310485144;0;23,06314;264a9fb729
10;63844310485155;63844310485324;0;101,7407;264a9fb729
11;63844310485457;63844310485479;0;139,9151;264a9fb729
12;63844310485857;63844310485890;0;205,9077;264a9fb729
13;63844310486080;63844310486147;0;388,9535;264a9fb729
14;63844310486257;63844310486294;0;168,8248;264a9fb729
15;63844310486441;63844310486498;0;181,8387;264a9fb729
16;63844310487287;63844310487366;0;365,8703;264a9fb729
17;63844310487486;63844310487531;0;487,8963;264a9fb729
18;63844310487587;63844310487788;0;144,8995;264a9fb729
19;63844310488243;63844310488287;0;241,7154;264a9fb729
20;63844310488366;63844310488376;0;171,765;264a9fb729
21;63844310488632;63844310488676;0;299,9913;264a9fb729
22;63844310488854;63844310488876;0;85,67467;264a9fb729
23;63844310489054;63844310489088;0;103,351;264a9fb729
24;63844310489342;63844310489387;0;309,916;264a9fb729
25;63844310489621;63844310489654;0;127,9524;264a9fb729
26;63844310489843;63844310489876;0;157,8425;264a9fb729
27;63844310490120;63844310490165;0;160,6766;264a9fb729
28;63844310490488;63844310490520;0;142,7133;264a9fb729
29;63844310490976;63844310491010;0;199,6379;264a9fb729
30;63844310491243;63844310491276;0;102,7519;264a9fb729
31;63844310492031;63844310492053;0;389,3205;264a9fb729
32;63844310492142;63844310492264;0;102,1355;264a9fb729
33;63844310492275;63844310492363;0;61,1863;264a9fb729
34;63844310492396;63844310492540;0;141,4605;264a9fb729
35;63844310492618;63844310492663;0;103,832;264a9fb729
36;63844310492785;63844310492830;0;183,377;264a9fb729
37;63844310492907;63844310493031;0;101,3547;264a9fb729
38;63844310493076;63844310493189;0;161,1786;264a9fb729
39;63844310493211;63844310493443;0;53,3489;264a9fb729
40;63844310493454;63844310493702;0;17,05295;264a9fb729
41;63844310493702;63844310493838;0;111,0586;264a9fb729
42;63844310493860;63844310493904;0;76,62446;264a9fb729
43;63844310494027;63844310494071;0;189,5031;264a9fb729
44;63844310494416;63844310494482;0;276,3139;264a9fb729
45;63844310494649;63844310494694;0;393,1674;264a9fb729
46;63844310497498;63844310497520;0;79,83847;264a9fb729
