Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63844556596192;63844556596192;0;3,382172;36782ec562
2;63844556596485;63844556596511;0;7,45272;36782ec562
3;63844556596812;63844556596881;0;10,21051;36782ec562
4;63844556597032;63844556597111;0;15,04502;36782ec562
5;63844556597561;63844556597696;0;14,19738;36782ec562
6;63844556597709;63844556597763;0;12,80081;36782ec562
7;63844556597958;63844556598027;0;9,498398;36782ec562
8;63844556598039;63844556598081;0;7,476116;36782ec562
9;63844556598148;63844556598266;0;10,83531;36782ec562
10;63844556598282;63844556598332;0;14,77774;36782ec562
11;63844556598411;63844556598516;0;10,72416;36782ec562
12;63844556598516;63844556598541;0;1,672808;36782ec562
13;63844556599084;63844556599137;0;8,848176;36782ec562
14;63844556599519;63844556599544;0;2,498419;36782ec562
15;63844556599734;63844556599784;0;9,025347;36782ec562
16;63844556600015;63844556600028;0;2,28944;36782ec562
17;63844556600283;63844556600332;0;7,19413;36782ec562
18;63844556600522;63844556600562;0;4,724556;36782ec562
19;63844556600703;63844556600740;0;6,001981;36782ec562
20;63844556600907;63844556600960;0;16,85674;36782ec562
21;63844556601074;63844556601139;0;18,54004;36782ec562
22;63844556601256;63844556601349;0;13,53231;36782ec562
23;63844556604166;63844556604230;0;13,78308;36782ec562
24;63844556604383;63844556604422;0;5,37888;36782ec562
25;63844556604575;63844556604629;0;5,967327;36782ec562
26;63844556604861;63844556604892;0;5,421445;36782ec562
27;63844556605177;63844556605193;0;7,215124;36782ec562
28;63844556605485;63844556605534;0;3,633457;36782ec562
29;63844556605548;63844556605681;0;11,63195;36782ec562
30;63844556607204;63844556607239;0;4,605854;36782ec562
31;63844556607606;63844556607653;0;7,745977;36782ec562
32;63844556607761;63844556607806;0;6,309909;36782ec562
33;63844556607972;63844556608018;0;5,49105;36782ec562
34;63844556608562;63844556608609;0;11,01115;36782ec562
35;63844556608773;63844556608799;0;4,544717;36782ec562
36;63844556608894;63844556608917;0;1,395216;36782ec562
37;63844556609011;63844556609047;0;3,972467;36782ec562
38;63844556609296;63844556609342;0;12,67756;36782ec562
39;63844556609710;63844556609759;0;9,300434;36782ec562
40;63844556610125;63844556610173;0;4,88062;36782ec562
41;63844556610451;63844556610486;0;2,675251;36782ec562
42;63844556611116;63844556611151;0;3,02239;36782ec562
43;63844556611287;63844556611324;0;2,85917;36782ec562
44;63844556611860;63844556611884;0;2,905555;36782ec562
45;63844556611897;63844556611935;0;8,32164;36782ec562
46;63844556611935;63844556611986;0;0,7356848;36782ec562
47;63844556611998;63844556612025;0;7,927835;36782ec562
48;63844556612050;63844556612076;0;2,476702;36782ec562
49;63844556612089;63844556612275;0;26,93322;36782ec562
50;63844556612649;63844556612702;0;9,808707;36782ec562
51;63844556613076;63844556613169;0;30,2246;36782ec562
52;63844556613304;63844556613355;0;9,535598;36782ec562
53;63844556613370;63844556613384;0;1,14995;36782ec562
54;63844556613410;63844556613667;0;24,4082;36782ec562
55;63844556613707;63844556613719;0;2,181847;36782ec562
56;63844556613964;63844556614031;0;11,86413;36782ec562
57;63844556614193;63844556614231;0;5,736682;36782ec562
58;63844556614407;63844556614475;0;28,09819;36782ec562
59;63844556614488;63844556614515;0;8,864835;36782ec562
60;63844556614543;63844556614584;0;2,807841;36782ec562
61;63844556614598;63844556614938;0;36,99054;36782ec562
62;63844556615084;63844556615126;0;5,482979;36782ec562
63;63844556615366;63844556615420;0;12,58246;36782ec562
64;63844556615704;63844556615756;0;16,2742;36782ec562
65;63844556615851;63844556615894;0;7,937881;36782ec562
66;63844556616430;63844556616471;0;3,381014;36782ec562
67;63844556616714;63844556616741;0;6,218895;36782ec562
68;63844556617097;63844556617127;0;1,797112;36782ec562
69;63844556618370;63844556618411;0;6,416922;36782ec562
70;63844556619108;63844556619153;0;7,566052;36782ec562
71;63844556619286;63844556619332;0;15,21535;36782ec562
72;63844556619496;63844556619527;0;3,410764;36782ec562
73;63844556619798;63844556619856;0;5,662682;36782ec562
74;63844556621282;63844556621343;0;11,84244;36782ec562
75;63844556621748;63844556621808;0;10,08296;36782ec562
76;63844556621991;63844556622108;0;19,54477;36782ec562
77;63844556622151;63844556622226;0;9,269022;36782ec562
78;63844556622254;63844556622285;0;6,341401;36782ec562
79;63844556622342;63844556622476;0;11,09457;36782ec562
80;63844556622476;63844556622518;0;14,7248;36782ec562
81;63844556622548;63844556622563;0;3,239847;36782ec562
82;63844556622648;63844556622898;0;8,301062;36782ec562
83;63844556622954;63844556623087;0;14,15908;36782ec562
84;63844556623087;63844556623193;0;24,1287;36782ec562
85;63844556623205;63844556623231;0;1,824241;36782ec562
86;63844556623244;63844556623398;0;15,92301;36782ec562
87;63844556623527;63844556623588;0;18,05508;36782ec562
88;63844556623914;63844556623964;0;6,436752;36782ec562
89;63844556624070;63844556624136;0;9,331572;36782ec562
