Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63844220991091;63844220991131;0;16,26175;368275a985
2;63844220991145;63844220991199;0;2,40257;368275a985
3;63844220991320;63844220991471;0;32,81543;368275a985
4;63844220991500;63844220991557;0;8,62514;368275a985
5;63844220991586;63844220991613;0;1,540404;368275a985
6;63844220991685;63844220991742;0;30,98549;368275a985
7;63844220991878;63844220991982;0;1,703987;368275a985
8;63844220992021;63844220992047;0;7,328363;368275a985
9;63844220992085;63844220992162;0;17,95569;368275a985
10;63844220992175;63844220992187;0;5,543831;368275a985
11;63844220992200;63844220992253;0;20,18299;368275a985
12;63844220992332;63844220992358;0;2,818765;368275a985
13;63844220992371;63844220992412;0;10,74668;368275a985
14;63844220992412;63844220992438;0;3,091425;368275a985
15;63844220992478;63844220992504;0;6,995548;368275a985
16;63844220992519;63844220992544;0;2,021585;368275a985
17;63844220992570;63844220992597;0;5,06705;368275a985
18;63844220992597;63844220992635;0;10,11081;368275a985
19;63844220992687;63844220992763;0;16,39915;368275a985
20;63844220992812;63844220992849;0;3,145538;368275a985
21;63844220993002;63844220993027;0;2,33875;368275a985
22;63844220993152;63844220993177;0;2,883169;368275a985
23;63844220993313;63844220993352;0;5,983238;368275a985
24;63844220993527;63844220993541;0;2,469896;368275a985
25;63844220993767;63844220993804;0;6,78125;368275a985
26;63844220993932;63844220993982;0;13,16317;368275a985
27;63844220994085;63844220994110;0;1,783118;368275a985
28;63844220994187;63844220994237;0;7,933899;368275a985
29;63844220994379;63844220994391;0;10,51925;368275a985
30;63844220994404;63844220994431;0;13,17852;368275a985
31;63844220994444;63844220994457;0;1,979816;368275a985
32;63844220994523;63844220994549;0;2,925095;368275a985
33;63844220995545;63844220995611;0;18,39901;368275a985
34;63844220995885;63844220995939;0;15,82386;368275a985
35;63844220997232;63844220997296;0;21,94757;368275a985
36;63844220997459;63844220997510;0;9,666214;368275a985
37;63844220997672;63844220997727;0;26,36015;368275a985
38;63844220997727;63844220997746;0;3,971234;368275a985
39;63844220997757;63844220997781;0;1,728617;368275a985
40;63844220997842;63844220997947;0;10,07478;368275a985
41;63844220997959;63844220997971;0;1,185972;368275a985
42;63844220998043;63844220998077;0;4,606662;368275a985
43;63844220998265;63844220998310;0;5,407076;368275a985
44;63844220998492;63844220998537;0;5,197537;368275a985
45;63844220998921;63844220998980;0;4,453423;368275a985
46;63844220998991;63844220999052;0;15,5617;368275a985
47;63844220999489;63844220999558;0;9,285651;368275a985
48;63844220999672;63844220999696;0;7,185043;368275a985
49;63844220999936;63844220999982;0;10,71726;368275a985
50;63844221000052;63844221000064;0;1,145859;368275a985
51;63844221000157;63844221000204;0;10,97661;368275a985
52;63844221000264;63844221000323;0;8,186835;368275a985
53;63844221000749;63844221000763;0;1,609489;368275a985
54;63844221000999;63844221001183;0;17,50915;368275a985
55;63844221001196;63844221001221;0;1,976947;368275a985
56;63844221001566;63844221001591;0;9,733044;368275a985
57;63844221001897;63844221001922;0;2,251337;368275a985
58;63844221001963;63844221002158;0;19,83117;368275a985
59;63844221002665;63844221002679;0;4,278694;368275a985
60;63844221002814;63844221002827;0;1,860253;368275a985
61;63844221003017;63844221003044;0;4,050042;368275a985
62;63844221003057;63844221003099;0;9,616747;368275a985
63;63844221003614;63844221003642;0;11,34608;368275a985
64;63844221003709;63844221003749;0;2,486246;368275a985
65;63844221003930;63844221003954;0;9,210063;368275a985
66;63844221003967;63844221003991;0;10,22599;368275a985
67;63844221004078;63844221004090;0;1,450234;368275a985
68;63844221004126;63844221004138;0;3,859655;368275a985
69;63844221004150;63844221004310;0;18,27874;368275a985
70;63844221004310;63844221004358;0;4,268933;368275a985
71;63844221004370;63844221004420;0;26,53078;368275a985
72;63844221004444;63844221004481;0;5,498861;368275a985
73;63844221004683;63844221004760;0;7,636893;368275a985
74;63844221004849;63844221005020;0;23,43773;368275a985
75;63844221005033;63844221005072;0;2,349021;368275a985
76;63844221005403;63844221005431;0;9,475233;368275a985
77;63844221005632;63844221005686;0;12,82806;368275a985
78;63844221006054;63844221006098;0;13,40115;368275a985
79;63844221006185;63844221006213;0;6,567428;368275a985
80;63844221006243;63844221006286;0;3,901689;368275a985
81;63844221006331;63844221006359;0;3,304583;368275a985
82;63844221007763;63844221007791;0;7,130253;368275a985
83;63844221007990;63844221008004;0;6,778994;368275a985
84;63844221008019;63844221008074;0;14,74716;368275a985
85;63844221008153;63844221008347;0;3,293188;368275a985
86;63844221008360;63844221008464;0;15,06305;368275a985
87;63844221008477;63844221008542;0;8,927464;368275a985
88;63844221008567;63844221008619;0;5,139689;368275a985
89;63844221009139;63844221009167;0;9,133941;368275a985
90;63844221009402;63844221009455;0;16,66832;368275a985
91;63844221009614;63844221009641;0;6,022686;368275a985
92;63844221009868;63844221009909;0;4,13247;368275a985
93;63844221010224;63844221010252;0;7,609271;368275a985
