Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844220991091;63844220991131;0;406,5437;368275a985
2;63844220991145;63844220991199;0;43,68309;368275a985
3;63844220991320;63844220991471;0;205,0964;368275a985
4;63844220991500;63844220991557;0;172,5028;368275a985
5;63844220991586;63844220991613;0;77,02019;368275a985
6;63844220991685;63844220991742;0;516,4248;368275a985
7;63844220991878;63844220991982;0;15,49079;368275a985
8;63844220992021;63844220992047;0;366,4182;368275a985
9;63844220992085;63844220992162;0;224,4462;368275a985
10;63844220992175;63844220992187;0;369,5888;368275a985
11;63844220992200;63844220992253;0;366,9635;368275a985
12;63844220992332;63844220992358;0;112,7506;368275a985
13;63844220992371;63844220992412;0;358,2226;368275a985
14;63844220992412;63844220992438;0;123,657;368275a985
15;63844220992478;63844220992504;0;279,822;368275a985
16;63844220992519;63844220992544;0;80,86341;368275a985
17;63844220992570;63844220992597;0;253,3525;368275a985
18;63844220992597;63844220992635;0;337,0271;368275a985
19;63844220992687;63844220992763;0;218,6554;368275a985
20;63844220992812;63844220992849;0;89,87252;368275a985
21;63844220993002;63844220993027;0;93,54999;368275a985
22;63844220993152;63844220993177;0;115,3268;368275a985
23;63844220993313;63844220993352;0;149,5809;368275a985
24;63844220993527;63844220993541;0;164,6597;368275a985
25;63844220993767;63844220993804;0;169,5313;368275a985
26;63844220993932;63844220993982;0;329,0792;368275a985
27;63844220994085;63844220994110;0;89,15592;368275a985
28;63844220994187;63844220994237;0;198,3475;368275a985
29;63844220994379;63844220994391;0;420,7699;368275a985
30;63844220994404;63844220994431;0;439,2838;368275a985
31;63844220994444;63844220994457;0;131,9877;368275a985
32;63844220994523;63844220994549;0;97,50317;368275a985
33;63844220995545;63844220995611;0;283,0618;368275a985
34;63844220995885;63844220995939;0;263,7311;368275a985
35;63844220997232;63844220997296;0;365,7928;368275a985
36;63844220997459;63844220997510;0;193,3243;368275a985
37;63844220997672;63844220997727;0;527,2029;368275a985
38;63844220997727;63844220997746;0;264,749;368275a985
39;63844220997757;63844220997781;0;86,43083;368275a985
40;63844220997842;63844220997947;0;95,95029;368275a985
41;63844220997959;63844220997971;0;79,06481;368275a985
42;63844220998043;63844220998077;0;153,5554;368275a985
43;63844220998265;63844220998310;0;108,1415;368275a985
44;63844220998492;63844220998537;0;115,5008;368275a985
45;63844220998921;63844220998980;0;74,22371;368275a985
46;63844220998991;63844220999052;0;239,4107;368275a985
47;63844220999489;63844220999558;0;132,6522;368275a985
48;63844220999672;63844220999696;0;239,5014;368275a985
49;63844220999936;63844220999982;0;238,1613;368275a985
50;63844221000052;63844221000064;0;76,3906;368275a985
51;63844221000157;63844221000204;0;199,5747;368275a985
52;63844221000264;63844221000323;0;125,9513;368275a985
53;63844221000749;63844221000763;0;107,2993;368275a985
54;63844221000999;63844221001183;0;97,27308;368275a985
55;63844221001196;63844221001221;0;98,84734;368275a985
56;63844221001566;63844221001591;0;389,3218;368275a985
57;63844221001897;63844221001922;0;112,5669;368275a985
58;63844221001963;63844221002158;0;104,3746;368275a985
59;63844221002665;63844221002679;0;285,2463;368275a985
60;63844221002814;63844221002827;0;124,0169;368275a985
61;63844221003017;63844221003044;0;115,7155;368275a985
62;63844221003057;63844221003099;0;213,7055;368275a985
63;63844221003614;63844221003642;0;567,3038;368275a985
64;63844221003709;63844221003749;0;82,87486;368275a985
65;63844221003930;63844221003954;0;368,4025;368275a985
66;63844221003967;63844221003991;0;340,8663;368275a985
67;63844221004078;63844221004090;0;96,68228;368275a985
68;63844221004126;63844221004138;0;257,3104;368275a985
69;63844221004150;63844221004310;0;114,2421;368275a985
70;63844221004310;63844221004358;0;94,86518;368275a985
71;63844221004370;63844221004420;0;482,3779;368275a985
72;63844221004444;63844221004481;0;157,1103;368275a985
73;63844221004683;63844221004760;0;89,8458;368275a985
74;63844221004849;63844221005020;0;133,9299;368275a985
75;63844221005033;63844221005072;0;78,30069;368275a985
76;63844221005403;63844221005431;0;270,7209;368275a985
77;63844221005632;63844221005686;0;256,5612;368275a985
78;63844221006054;63844221006098;0;335,0287;368275a985
79;63844221006185;63844221006213;0;218,9143;368275a985
80;63844221006243;63844221006286;0;97,54224;368275a985
81;63844221006331;63844221006359;0;94,41665;368275a985
82;63844221007763;63844221007791;0;178,2563;368275a985
83;63844221007990;63844221008004;0;338,9497;368275a985
84;63844221008019;63844221008074;0;268,1302;368275a985
85;63844221008153;63844221008347;0;16,88815;368275a985
86;63844221008360;63844221008464;0;150,6305;368275a985
87;63844221008477;63844221008542;0;162,3175;368275a985
88;63844221008567;63844221008619;0;102,7938;368275a985
89;63844221009139;63844221009167;0;260,9697;368275a985
90;63844221009402;63844221009455;0;303,0604;368275a985
91;63844221009614;63844221009641;0;200,7562;368275a985
92;63844221009868;63844221009909;0;82,6494;368275a985
93;63844221010224;63844221010252;0;217,4077;368275a985
94;63844221010387;63844221010441;0;66,37516;368275a985
95;63844221010467;63844221010480;0;333,5622;368275a985
96;63844221010535;63844221010576;0;67,69321;368275a985
97;63844221010615;63844221010783;0;47,77872;368275a985
98;63844221010835;63844221010875;0;33,15092;368275a985
99;63844221010888;63844221010968;0;270,8388;368275a985
100;63844221010996;63844221011022;0;188,7215;368275a985
101;63844221011035;63844221011158;0;144,8677;368275a985
102;63844221011171;63844221011185;0;206,1372;368275a985
103;63844221011212;63844221011239;0;248,9391;368275a985
104;63844221011468;63844221011523;0;159,336;368275a985
105;63844221012032;63844221012060;0;142,9491;368275a985
106;63844221014547;63844221014577;0;456,9314;368275a985
107;63844221014606;63844221014649;0;224,636;368275a985
108;63844221014900;63844221014930;0;93,57377;368275a985
109;63844221015274;63844221015346;0;405,0326;368275a985
110;63844221015472;63844221015487;0;113,7828;368275a985
111;63844221015501;63844221015558;0;372,1801;368275a985
112;63844221015571;63844221015600;0;63,39745;368275a985
113;63844221015643;63844221015744;0;190,146;368275a985
114;63844221016160;63844221016233;0;113,0672;368275a985
115;63844221016676;63844221016718;0;81,97002;368275a985
116;63844221016760;63844221016801;0;131,093;368275a985
117;63844221016801;63844221016857;0;327,6865;368275a985
118;63844221016871;63844221017011;0;22,80003;368275a985
119;63844221017024;63844221017065;0;116,5069;368275a985
120;63844221017091;63844221017237;0;11,9473;368275a985
121;63844221017250;63844221017265;0;106,1727;368275a985
