Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63844554527532;63844554527584;0;7,131822;3ea2f30248
2;63844554528060;63844554528139;0;16,75377;3ea2f30248
3;63844554528472;63844554528543;0;9,389879;3ea2f30248
4;63844554528667;63844554528723;0;8,099873;3ea2f30248
5;63844554528910;63844554528948;0;9,497259;3ea2f30248
6;63844554529094;63844554529182;0;8,295336;3ea2f30248
7;63844554529198;63844554529211;0;1,546743;3ea2f30248
8;63844554529428;63844554529453;0;3,653127;3ea2f30248
9;63844554529734;63844554529772;0;12,33433;3ea2f30248
10;63844554530007;63844554530020;0;8,484269;3ea2f30248
11;63844554530046;63844554530060;0;5,693161;3ea2f30248
12;63844554530188;63844554530226;0;2,879976;3ea2f30248
13;63844554530533;63844554530545;0;3,768943;3ea2f30248
14;63844554530618;63844554530646;0;4,042298;3ea2f30248
15;63844554530658;63844554530670;0;2,261312;3ea2f30248
16;63844554530694;63844554530759;0;9,651661;3ea2f30248
17;63844554530809;63844554530835;0;5,15328;3ea2f30248
18;63844554530847;63844554530884;0;4,515532;3ea2f30248
19;63844554530936;63844554530987;0;10,40121;3ea2f30248
20;63844554531050;63844554531102;0;6,808671;3ea2f30248
21;63844554531317;63844554531343;0;3,049152;3ea2f30248
22;63844554531470;63844554531524;0;5,351413;3ea2f30248
23;63844554532487;63844554532500;0;4,89761;3ea2f30248
24;63844554532644;63844554532693;0;11,09773;3ea2f30248
25;63844554532823;63844554532911;0;14,47264;3ea2f30248
26;63844554533311;63844554533348;0;4,186428;3ea2f30248
27;63844554533401;63844554533426;0;3,273451;3ea2f30248
28;63844554533438;63844554533464;0;1,496194;3ea2f30248
29;63844554533476;63844554533503;0;2,791129;3ea2f30248
30;63844554533515;63844554533528;0;2,481123;3ea2f30248
31;63844554533593;63844554533617;0;4,006973;3ea2f30248
32;63844554534024;63844554534076;0;11,91226;3ea2f30248
33;63844554534877;63844554534913;0;3,070648;3ea2f30248
34;63844554535160;63844554535171;0;4,339598;3ea2f30248
35;63844554535234;63844554535246;0;2,267967;3ea2f30248
36;63844554535392;63844554535466;0;12,56541;3ea2f30248
37;63844554535732;63844554535754;0;8,170535;3ea2f30248
38;63844554535802;63844554535848;0;7,276885;3ea2f30248
39;63844554536024;63844554536082;0;12,24157;3ea2f30248
40;63844554536105;63844554536129;0;4,20207;3ea2f30248
41;63844554536235;63844554536258;0;9,97776;3ea2f30248
42;63844554536410;63844554536458;0;13,63298;3ea2f30248
43;63844554536469;63844554536504;0;5,286241;3ea2f30248
44;63844554536845;63844554536891;0;5,538632;3ea2f30248
45;63844554536998;63844554537068;0;7,736317;3ea2f30248
46;63844554537102;63844554537127;0;3,425999;3ea2f30248
47;63844554537426;63844554537449;0;1,770231;3ea2f30248
48;63844554537899;63844554537925;0;5,914435;3ea2f30248
49;63844554538226;63844554538250;0;4,216215;3ea2f30248
50;63844554539627;63844554539654;0;1,551165;3ea2f30248
51;63844554539799;63844554539826;0;6,05382;3ea2f30248
52;63844554540077;63844554540090;0;1,873984;3ea2f30248
53;63844554540833;63844554540860;0;1,657412;3ea2f30248
54;63844554541282;63844554541337;0;8,373486;3ea2f30248
55;63844554541499;63844554541528;0;3,510396;3ea2f30248
56;63844554541727;63844554541765;0;6,035269;3ea2f30248
57;63844554542565;63844554542625;0;11,89974;3ea2f30248
58;63844554542880;63844554542922;0;13,48831;3ea2f30248
59;63844554543120;63844554543150;0;20,69173;3ea2f30248
60;63844554543980;63844554544053;0;16,53717;3ea2f30248
61;63844554544233;63844554544249;0;2,112852;3ea2f30248
62;63844554544276;63844554544293;0;3,418218;3ea2f30248
63;63844554544322;63844554544396;0;16,14289;3ea2f30248
64;63844554544410;63844554544427;0;1,664246;3ea2f30248
65;63844554544440;63844554544500;0;6,641009;3ea2f30248
66;63844554544515;63844554544543;0;9,220448;3ea2f30248
67;63844554544618;63844554544693;0;7,164837;3ea2f30248
68;63844554544706;63844554544720;0;3,227314;3ea2f30248
69;63844554544777;63844554544806;0;0,301316;3ea2f30248
70;63844554544974;63844554544986;0;5,039367;3ea2f30248
71;63844554545164;63844554545178;0;4,722732;3ea2f30248
72;63844554545405;63844554545418;0;6,929398;3ea2f30248
73;63844554545431;63844554545473;0;9,086943;3ea2f30248
74;63844554545583;63844554545634;0;4,604747;3ea2f30248
75;63844554545856;63844554545926;0;7,636688;3ea2f30248
76;63844554546452;63844554546479;0;13,11566;3ea2f30248
77;63844554546493;63844554546521;0;4,919283;3ea2f30248
78;63844554546589;63844554546632;0;2,637747;3ea2f30248
79;63844554546857;63844554546870;0;2,386139;3ea2f30248
80;63844554547050;63844554547064;0;6,734962;3ea2f30248
81;63844554547077;63844554547128;0;10,71085;3ea2f30248
82;63844554547462;63844554547511;0;5,325057;3ea2f30248
83;63844554547838;63844554547878;0;11,85283;3ea2f30248
84;63844554548052;63844554548078;0;2,301037;3ea2f30248
85;63844554548197;63844554548239;0;4,46765;3ea2f30248
86;63844554548252;63844554548265;0;2,413056;3ea2f30248
87;63844554549216;63844554549266;0;14,78816;3ea2f30248
