Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844554527532;63844554527584;0;109,7203;3ea2f30248
2;63844554528060;63844554528139;0;223,3837;3ea2f30248
3;63844554528472;63844554528543;0;144,4597;3ea2f30248
4;63844554528667;63844554528723;0;179,9972;3ea2f30248
5;63844554528910;63844554528948;0;271,3503;3ea2f30248
6;63844554529094;63844554529182;0;103,6917;3ea2f30248
7;63844554529198;63844554529211;0;103,1162;3ea2f30248
8;63844554529428;63844554529453;0;146,1251;3ea2f30248
9;63844554529734;63844554529772;0;308,3584;3ea2f30248
10;63844554530007;63844554530020;0;565,618;3ea2f30248
11;63844554530046;63844554530060;0;284,6581;3ea2f30248
12;63844554530188;63844554530226;0;82,28503;3ea2f30248
13;63844554530533;63844554530545;0;188,4471;3ea2f30248
14;63844554530618;63844554530646;0;202,1149;3ea2f30248
15;63844554530658;63844554530670;0;150,7542;3ea2f30248
16;63844554530694;63844554530759;0;148,4871;3ea2f30248
17;63844554530809;63844554530835;0;206,1312;3ea2f30248
18;63844554530847;63844554530884;0;100,3451;3ea2f30248
19;63844554530936;63844554530987;0;208,0242;3ea2f30248
20;63844554531050;63844554531102;0;136,1734;3ea2f30248
21;63844554531317;63844554531343;0;121,9661;3ea2f30248
22;63844554531470;63844554531524;0;118,9203;3ea2f30248
23;63844554532487;63844554532500;0;326,5074;3ea2f30248
24;63844554532644;63844554532693;0;221,9546;3ea2f30248
25;63844554532823;63844554532911;0;152,3436;3ea2f30248
26;63844554533311;63844554533348;0;119,6122;3ea2f30248
27;63844554533401;63844554533426;0;130,9381;3ea2f30248
28;63844554533438;63844554533464;0;74,80972;3ea2f30248
29;63844554533476;63844554533503;0;111,6452;3ea2f30248
30;63844554533515;63844554533528;0;165,4082;3ea2f30248
31;63844554533593;63844554533617;0;160,2789;3ea2f30248
32;63844554534024;63844554534076;0;238,2452;3ea2f30248
33;63844554534877;63844554534913;0;87,7328;3ea2f30248
34;63844554535160;63844554535171;0;289,3065;3ea2f30248
35;63844554535234;63844554535246;0;151,1978;3ea2f30248
36;63844554535392;63844554535466;0;157,0676;3ea2f30248
37;63844554535732;63844554535754;0;408,5268;3ea2f30248
38;63844554535802;63844554535848;0;145,5377;3ea2f30248
39;63844554536024;63844554536082;0;204,0262;3ea2f30248
40;63844554536105;63844554536129;0;168,0828;3ea2f30248
41;63844554536235;63844554536258;0;399,1104;3ea2f30248
42;63844554536410;63844554536458;0;272,6597;3ea2f30248
43;63844554536469;63844554536504;0;151,0355;3ea2f30248
44;63844554536845;63844554536891;0;123,0807;3ea2f30248
45;63844554536998;63844554537068;0;110,5188;3ea2f30248
46;63844554537102;63844554537127;0;114,2;3ea2f30248
47;63844554537426;63844554537449;0;88,51154;3ea2f30248
48;63844554537899;63844554537925;0;295,7217;3ea2f30248
49;63844554538226;63844554538250;0;140,5405;3ea2f30248
50;63844554539627;63844554539654;0;51,70549;3ea2f30248
51;63844554539799;63844554539826;0;242,1528;3ea2f30248
52;63844554540077;63844554540090;0;93,6992;3ea2f30248
53;63844554540833;63844554540860;0;82,8706;3ea2f30248
54;63844554541282;63844554541337;0;152,2452;3ea2f30248
55;63844554541499;63844554541528;0;117,0132;3ea2f30248
56;63844554541727;63844554541765;0;201,1756;3ea2f30248
57;63844554542565;63844554542625;0;216,359;3ea2f30248
58;63844554542880;63844554542922;0;269,7662;3ea2f30248
59;63844554543120;63844554543150;0;591,1924;3ea2f30248
60;63844554543980;63844554544053;0;236,2453;3ea2f30248
61;63844554544233;63844554544249;0;140,8568;3ea2f30248
62;63844554544276;63844554544293;0;136,7287;3ea2f30248
63;63844554544322;63844554544396;0;201,7861;3ea2f30248
64;63844554544410;63844554544427;0;110,9498;3ea2f30248
65;63844554544440;63844554544500;0;132,8202;3ea2f30248
66;63844554544515;63844554544543;0;263,4414;3ea2f30248
67;63844554544618;63844554544693;0;102,3548;3ea2f30248
68;63844554544706;63844554544720;0;215,1543;3ea2f30248
69;63844554544777;63844554544806;0;15,0658;3ea2f30248
70;63844554544974;63844554544986;0;335,9578;3ea2f30248
71;63844554545164;63844554545178;0;314,8488;3ea2f30248
72;63844554545405;63844554545418;0;461,9599;3ea2f30248
73;63844554545431;63844554545473;0;227,1736;3ea2f30248
