Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63844988625281;63844988625308;0;1;3ff709a4a6
2;63844988626065;63844988626119;0;2;3ff709a4a6
3;63844988627004;63844988627191;0;3;3ff709a4a6
4;63844988648076;63844988648122;0;4;3ff709a4a6
5;63844988656707;63844988656747;0;5;3ff709a4a6
6;63844988660764;63844988660818;0;6;3ff709a4a6
7;63844988672833;63844988672873;0;7;3ff709a4a6
8;63844988681628;63844988681682;0;8;3ff709a4a6
9;63844988685361;63844988685424;0;8;3ff709a4a6
10;63844988686804;63844988686895;0;8;3ff709a4a6
11;63844988692017;63844988692082;0;8;3ff709a4a6
12;63844988693354;63844988693394;0;9;3ff709a4a6
13;63844988698935;63844988698986;0;10;3ff709a4a6
14;63844988702681;63844988702727;0;11;3ff709a4a6
15;63844988703476;63844988703552;0;12;3ff709a4a6
16;63844988704115;63844988704175;0;13;3ff709a4a6
17;63844988706573;63844988706648;0;14;3ff709a4a6
18;63844988712297;63844988712364;0;14;3ff709a4a6
19;63844988712650;63844988712705;0;15;3ff709a4a6
20;63844988720841;63844988720854;0;14;3ff709a4a6
21;63844988732353;63844988732443;0;15;3ff709a4a6
22;63844988733705;63844988733795;0;15;3ff709a4a6
23;63844988744619;63844988744673;0;15;3ff709a4a6
24;63844988752978;63844988753014;0;13;3ff709a4a6
25;63844988757618;63844988757691;0;13;3ff709a4a6
26;63844988764048;63844988764096;0;11;3ff709a4a6
27;63844988765994;63844988766054;0;11;3ff709a4a6
28;63844988768945;63844988768969;0;11;3ff709a4a6
29;63844988784478;63844988784534;1;9;3ff709a4a6
30;63844988791195;63844988791282;1;10;3ff709a4a6
31;63844988802238;63844988802295;1;9;3ff709a4a6
32;63844988802709;63844988802783;1;10;3ff709a4a6
33;63844988806589;63844988806628;1;10;3ff709a4a6
34;63844988808223;63844988808304;1;11;3ff709a4a6
35;63844988809983;63844988810023;1;12;3ff709a4a6
36;63844988816430;63844988816498;1;12;3ff709a4a6
37;63844988819651;63844988819714;1;12;3ff709a4a6
38;63844988825935;63844988825948;1;12;3ff709a4a6
39;63844988826594;63844988826635;1;12;3ff709a4a6
40;63844988826922;63844988826973;1;13;3ff709a4a6
41;63844988827273;63844988827367;1;14;3ff709a4a6
42;63844988835149;63844988835211;1;14;3ff709a4a6
43;63844988835656;63844988835717;1;15;3ff709a4a6
44;63844988840127;63844988840207;1;16;3ff709a4a6
45;63844988844306;63844988844381;1;17;3ff709a4a6
46;63844988846903;63844988846985;1;17;3ff709a4a6
47;63844988849010;63844988849078;1;18;3ff709a4a6
48;63844988854330;63844988854385;-1;18;3ff709a4a6
49;63844988855332;63844988855463;-1;19;3ff709a4a6
50;63844988861799;63844988861859;-1;20;3ff709a4a6
51;63844988866135;63844988866170;-1;19;3ff709a4a6
52;63844988875473;63844988875485;-1;17;3ff709a4a6
53;63844988877899;63844988877947;-1;17;3ff709a4a6
54;63844988883139;63844988883189;2;17;3ff709a4a6
55;63844988883815;63844988883911;2;18;3ff709a4a6
56;63844988898337;63844988898443;2;13;3ff709a4a6
57;63844988899531;63844988899649;2;14;3ff709a4a6
58;63844988902939;63844988902981;2;14;3ff709a4a6
59;63844988906635;63844988906687;2;14;3ff709a4a6
60;63844988907736;63844988907790;2;14;3ff709a4a6
61;63844988909025;63844988909091;2;14;3ff709a4a6
62;63844988910482;63844988910576;2;15;3ff709a4a6
63;63844988911449;63844988911489;2;16;3ff709a4a6
64;63844988914123;63844988914165;2;17;3ff709a4a6
65;63844988919384;63844988919432;2;16;3ff709a4a6
66;63844988919816;63844988919909;2;17;3ff709a4a6
67;63844988924902;63844988924969;2;17;3ff709a4a6
68;63844988927187;63844988927260;2;17;3ff709a4a6
69;63844988930515;63844988930577;2;18;3ff709a4a6
70;63844988943951;63844988943990;2;15;3ff709a4a6
71;63844988946089;63844988946103;2;16;3ff709a4a6
72;63844988951767;63844988951796;2;17;3ff709a4a6
73;63844988957114;63844988957192;2;18;3ff709a4a6
74;63844988958271;63844988958350;2;19;3ff709a4a6
75;63844988961449;63844988961449;2;18;3ff709a4a6
76;63844988967133;63844988967193;2;17;3ff709a4a6
77;63844988969516;63844988969563;2;16;3ff709a4a6
78;63844988973764;63844988973801;2;15;3ff709a4a6
79;63844988976468;63844988976521;2;15;3ff709a4a6
80;63844988982199;63844988982199;2;14;3ff709a4a6
81;63844988985719;63844988985771;2;14;3ff709a4a6
82;63844988989447;63844988989537;2;14;3ff709a4a6
83;63844988997257;63844988997318;2;14;3ff709a4a6
84;63844988998359;63844988998409;2;15;3ff709a4a6
85;63844989006596;63844989006609;2;14;3ff709a4a6
86;63844989008974;63844989009096;2;15;3ff709a4a6
87;63844989010553;63844989010677;2;16;3ff709a4a6
88;63844989016874;63844989016942;2;16;3ff709a4a6
89;63844989017120;63844989017214;2;16;3ff709a4a6
90;63844989023800;63844989023909;2;15;3ff709a4a6
91;63844989026830;63844989026967;2;16;3ff709a4a6
92;63844989037357;63844989037455;-2;13;3ff709a4a6
93;63844989037925;63844989037981;-2;14;3ff709a4a6
94;63844989039520;63844989039591;-2;15;3ff709a4a6
95;63844989041448;63844989041507;-2;16;3ff709a4a6
96;63844989048986;63844989049047;-2;15;3ff709a4a6
97;63844989061259;63844989061286;3;13;3ff709a4a6
98;63844989068050;63844989068090;3;13;3ff709a4a6
99;63844989076003;63844989076064;3;12;3ff709a4a6
100;63844989076410;63844989076455;3;13;3ff709a4a6
101;63844989080312;63844989080378;3;12;3ff709a4a6
102;63844989083086;63844989083165;3;13;3ff709a4a6
103;63844989084132;63844989084174;3;13;3ff709a4a6
104;63844989091622;63844989091681;3;13;3ff709a4a6
105;63844989096823;63844989096853;3;14;3ff709a4a6
106;63844989103210;63844989103262;3;11;3ff709a4a6
107;63844989111128;63844989111207;3;11;3ff709a4a6
108;63844989116296;63844989116334;-3;12;3ff709a4a6
109;63844989119579;63844989119683;-3;13;3ff709a4a6
