Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63845150718927;63845150719375;0;1;4e8ae8d588
2;63845150719386;63845150719496;0;2;4e8ae8d588
3;63845150722163;63845150722263;0;3;4e8ae8d588
4;63845150724482;63845150724516;0;4;4e8ae8d588
5;63845150727808;63845150728308;0;5;4e8ae8d588
6;63845150741171;63845150741207;0;6;4e8ae8d588
7;63845150742041;63845150742090;0;7;4e8ae8d588
8;63845150747973;63845150747984;0;8;4e8ae8d588
9;63845150758606;63845150758640;0;9;4e8ae8d588
10;63845150766630;63845150766797;0;10;4e8ae8d588
11;63845150778318;63845150778363;1;11;4e8ae8d588
12;63845150782806;63845150782829;1;9;4e8ae8d588
13;63845150782906;63845150783118;1;10;4e8ae8d588
14;63845150791216;63845150791406;1;9;4e8ae8d588
15;63845150819450;63845150819484;1;6;4e8ae8d588
16;63845150827928;63845150827955;1;6;4e8ae8d588
17;63845150845773;63845150845829;2;4;4e8ae8d588
18;63845150845940;63845150845995;2;5;4e8ae8d588
19;63845150847606;63845150847768;2;6;4e8ae8d588
20;63845150850639;63845150850850;2;7;4e8ae8d588
21;63845150863209;63845150863452;2;7;4e8ae8d588
22;63845150867098;63845150867176;2;8;4e8ae8d588
23;63845150871773;63845150871851;2;9;4e8ae8d588
24;63845150880182;63845150880280;2;9;4e8ae8d588
25;63845150898534;63845150898556;2;9;4e8ae8d588
26;63845150920794;63845150921126;3;6;4e8ae8d588
27;63845150927848;63845150927919;3;5;4e8ae8d588
28;63845150936327;63845150936569;3;5;4e8ae8d588
29;63845150940636;63845150940714;3;5;4e8ae8d588
30;63845150944704;63845150944753;3;6;4e8ae8d588
31;63845150961768;63845150961856;3;6;4e8ae8d588
32;63845150969736;63845150969793;-3;7;4e8ae8d588
33;63845150971459;63845150971614;-3;8;4e8ae8d588
34;63845150984738;63845150984756;4;8;4e8ae8d588
35;63845150992754;63845150992810;4;8;4e8ae8d588
36;63845151007567;63845151007600;4;6;4e8ae8d588
37;63845151036346;63845151036425;5;4;4e8ae8d588
38;63845151043713;63845151043998;5;5;4e8ae8d588
39;63845151046644;63845151046699;5;5;4e8ae8d588
40;63845151056978;63845151057533;5;5;4e8ae8d588
41;63845151066301;63845151066358;5;6;4e8ae8d588
42;63845151069995;63845151070250;5;6;4e8ae8d588
43;63845151073225;63845151073314;5;7;4e8ae8d588
44;63845151096191;63845151096445;6;8;4e8ae8d588
45;63845151106569;63845151106630;6;7;4e8ae8d588
46;63845151116548;63845151116827;6;7;4e8ae8d588
47;63845151130949;63845151130949;6;5;4e8ae8d588
48;63845151154256;63845151154389;7;5;4e8ae8d588
49;63845151158120;63845151158144;7;5;4e8ae8d588
50;63845151165870;63845151165916;7;6;4e8ae8d588
51;63845151167760;63845151167959;7;6;4e8ae8d588
52;63845151168790;63845151168910;7;7;4e8ae8d588
53;63845151171335;63845151171609;7;8;4e8ae8d588
54;63845151175689;63845151175766;7;9;4e8ae8d588
55;63845151180391;63845151180686;7;9;4e8ae8d588
56;63845151184103;63845151184180;7;10;4e8ae8d588
57;63845151185236;63845151185292;7;11;4e8ae8d588
58;63845151193103;63845151193288;7;11;4e8ae8d588
59;63845151204168;63845151204227;7;12;4e8ae8d588
60;63845151204365;63845151204380;7;13;4e8ae8d588
61;63845151208214;63845151208259;7;14;4e8ae8d588
62;63845151212563;63845151212599;7;15;4e8ae8d588
63;63845151216375;63845151216420;7;15;4e8ae8d588
64;63845151239833;63845151240088;8;10;4e8ae8d588
65;63845151240099;63845151240144;8;11;4e8ae8d588
66;63845151240177;63845151240232;8;12;4e8ae8d588
67;63845151247183;63845151247431;8;10;4e8ae8d588
68;63845151262667;63845151262700;8;10;4e8ae8d588
69;63845151292453;63845151292687;9;6;4e8ae8d588
70;63845151292698;63845151292809;9;7;4e8ae8d588
71;63845151309972;63845151310027;9;4;4e8ae8d588
72;63845151315041;63845151315266;9;5;4e8ae8d588
73;63845151320594;63845151320639;-9;6;4e8ae8d588
74;63845151322784;63845151322829;-9;6;4e8ae8d588
75;63845151342464;63845151342696;10;7;4e8ae8d588
76;63845151348851;63845151348983;10;8;4e8ae8d588
77;63845151352076;63845151352099;10;9;4e8ae8d588
78;63845151361529;63845151361562;10;8;4e8ae8d588
79;63845151367854;63845151367952;10;9;4e8ae8d588
80;63845151375844;63845151375967;10;8;4e8ae8d588
81;63845151379784;63845151379828;10;9;4e8ae8d588
82;63845151383245;63845151383408;10;8;4e8ae8d588
83;63845151387426;63845151387740;10;9;4e8ae8d588
84;63845151387859;63845151387904;10;10;4e8ae8d588
85;63845151391596;63845151391640;10;11;4e8ae8d588
86;63845151395494;63845151395694;10;12;4e8ae8d588
87;63845151400184;63845151400329;10;13;4e8ae8d588
88;63845151402006;63845151402051;10;14;4e8ae8d588
89;63845151410840;63845151410962;10;13;4e8ae8d588
90;63845151415244;63845151415362;10;13;4e8ae8d588
91;63845151425629;63845151426017;-10;13;4e8ae8d588
92;63845151427641;63845151427769;-10;14;4e8ae8d588
