Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63845150708516;63845150708539;0;323,6387;4e8ae8d588
2;63845150709000;63845150709066;0;214,1081;4e8ae8d588
3;63845150709541;63845150709685;0;151,0853;4e8ae8d588
4;63845150709741;63845150709796;0;60,56211;4e8ae8d588
5;63845150709974;63845150710019;0;205,0378;4e8ae8d588
6;63845150710142;63845150710260;0;227,0452;4e8ae8d588
7;63845150710342;63845150710365;0;165,7481;4e8ae8d588
8;63845150710387;63845150710582;0;181,1894;4e8ae8d588
9;63845150710616;63845150710638;0;106,8446;4e8ae8d588
10;63845150710649;63845150710683;0;180,4146;4e8ae8d588
11;63845150710694;63845150710705;0;95,72397;4e8ae8d588
12;63845150710772;63845150710851;0;89,18401;4e8ae8d588
13;63845150711162;63845150711239;0;247,2307;4e8ae8d588
14;63845150712315;63845150712372;0;363,1261;4e8ae8d588
15;63845150713007;63845150713041;0;112,2784;4e8ae8d588
16;63845150713416;63845150713482;0;218,7728;4e8ae8d588
17;63845150713516;63845150713581;0;228,6723;4e8ae8d588
18;63845150713826;63845150713893;0;265,2423;4e8ae8d588
19;63845150713983;63845150714051;0;385,118;4e8ae8d588
20;63845150714072;63845150714094;0;60,56078;4e8ae8d588
21;63845150714286;63845150714330;0;155,2508;4e8ae8d588
22;63845150714596;63845150714619;0;78,95895;4e8ae8d588
23;63845150716364;63845150716409;0;116,4578;4e8ae8d588
24;63845150717253;63845150717286;0;109,0251;4e8ae8d588
25;63845150717619;63845150717653;0;89,67671;4e8ae8d588
26;63845150718397;63845150718441;0;197,9456;4e8ae8d588
27;63845150719808;63845150719841;0;147,1703;4e8ae8d588
28;63845150721119;63845150721163;0;214,8107;4e8ae8d588
29;63845150722341;63845150722353;0;326,043;4e8ae8d588
30;63845150722561;63845150722595;0;113,3515;4e8ae8d588
31;63845150723398;63845150723436;0;90,12113;4e8ae8d588
32;63845150724269;63845150724305;0;397,8335;4e8ae8d588
33;63845150724434;63845150724445;0;306,1141;4e8ae8d588
34;63845150724552;63845150724575;0;214,9075;4e8ae8d588
35;63845150726490;63845150726534;0;162,018;4e8ae8d588
36;63845150726659;63845150726703;0;242,1786;4e8ae8d588
37;63845150726771;63845150726839;0;87,45831;4e8ae8d588
38;63845150726908;63845150726952;0;220,1741;4e8ae8d588
39;63845150727107;63845150727140;0;115,4466;4e8ae8d588
40;63845150728341;63845150728363;0;368,5405;4e8ae8d588
41;63845150728619;63845150728664;0;162,5536;4e8ae8d588
42;63845150729630;63845150729708;0;224,6916;4e8ae8d588
43;63845150730275;63845150730330;0;303,5637;4e8ae8d588
44;63845150730519;63845150730553;0;101,6614;4e8ae8d588
45;63845150731342;63845150731375;0;81,36527;4e8ae8d588
46;63845150731609;63845150731641;0;148,5157;4e8ae8d588
47;63845150732086;63845150732109;0;80,01722;4e8ae8d588
48;63845150732331;63845150732353;0;113,516;4e8ae8d588
49;63845150732652;63845150732674;0;266,7033;4e8ae8d588
50;63845150733329;63845150733395;0;241,5117;4e8ae8d588
51;63845150733706;63845150733751;0;131,0823;4e8ae8d588
52;63845150734006;63845150734040;0;138,0281;4e8ae8d588
53;63845150734229;63845150734319;0;80,00265;4e8ae8d588
54;63845150734330;63845150734385;0;219,2464;4e8ae8d588
55;63845150735186;63845150735241;0;286,4932;4e8ae8d588
56;63845150735329;63845150735396;0;91,7833;4e8ae8d588
57;63845150735574;63845150735629;0;172,9281;4e8ae8d588
58;63845150735785;63845150735852;0;236,5609;4e8ae8d588
59;63845150737373;63845150737418;0;191,1626;4e8ae8d588
60;63845150737485;63845150737506;0;124,4926;4e8ae8d588
61;63845150737589;63845150737698;0;102,0066;4e8ae8d588
62;63845150737710;63845150737772;0;236,4197;4e8ae8d588
63;63845150737903;63845150737963;0;112,0896;4e8ae8d588
64;63845150737986;63845150738024;0;180,1161;4e8ae8d588
65;63845150738073;63845150738182;0;106,0772;4e8ae8d588
66;63845150738182;63845150738255;0;231,9821;4e8ae8d588
67;63845150738329;63845150738388;0;86,62994;4e8ae8d588
68;63845150738595;63845150738693;0;194,5568;4e8ae8d588
69;63845150738998;63845150739009;0;200,0409;4e8ae8d588
70;63845150739120;63845150739144;0;96,51826;4e8ae8d588
71;63845150739228;63845150739310;0;124,4132;4e8ae8d588
72;63845150739666;63845150739702;0;130,0781;4e8ae8d588
73;63845150741266;63845150741293;0;206,2458;4e8ae8d588
74;63845150741582;63845150741616;0;5,791679;4e8ae8d588
75;63845150741628;63845150741675;0;219,2762;4e8ae8d588
76;63845150741770;63845150741826;0;116,9853;4e8ae8d588
77;63845150742199;63845150742222;0;129,4367;4e8ae8d588
78;63845150742370;63845150742455;0;228,5737;4e8ae8d588
79;63845150742762;63845150742796;0;141,3601;4e8ae8d588
80;63845150743362;63845150743408;0;238,3163;4e8ae8d588
81;63845150743592;63845150743646;0;155,5659;4e8ae8d588
82;63845150743993;63845150744074;0;265,3681;4e8ae8d588
