Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63843964837732;63843964837771;0;6,980615;62be6f86c1
2;63843964837984;63843964838050;0;13,12934;62be6f86c1
3;63843964838148;63843964838180;0;4,573204;62be6f86c1
4;63843964838217;63843964838230;0;3,335483;62be6f86c1
5;63843964838267;63843964838291;0;2,911814;62be6f86c1
6;63843964838354;63843964838488;0;11,35281;62be6f86c1
7;63843964838989;63843964839035;0;9,555758;62be6f86c1
8;63843964839178;63843964839248;0;12,82751;62be6f86c1
9;63843964839567;63843964839602;0;4,573803;62be6f86c1
10;63843964839745;63843964839768;0;9,589171;62be6f86c1
11;63843964839877;63843964839890;0;0,5055169;62be6f86c1
12;63843964839938;63843964840076;0;17,12608;62be6f86c1
13;63843964840088;63843964840189;0;16,98722;62be6f86c1
14;63843964840215;63843964840388;0;7,404911;62be6f86c1
15;63843964840465;63843964840578;0;10,84686;62be6f86c1
16;63843964840590;63843964840628;0;4,573846;62be6f86c1
17;63843964840693;63843964840733;0;8,276853;62be6f86c1
18;63843964840758;63843964840798;0;2,902117;62be6f86c1
19;63843964840811;63843964840824;0;1,919079;62be6f86c1
20;63843964840862;63843964840889;0;3,707765;62be6f86c1
21;63843964840942;63843964840955;0;1,771446;62be6f86c1
22;63843964841020;63843964841033;0;1,626182;62be6f86c1
23;63843964841269;63843964841309;0;5,349765;62be6f86c1
24;63843964841477;63843964841527;0;11,25109;62be6f86c1
25;63843964841690;63843964841702;0;1,739901;62be6f86c1
26;63843964841715;63843964841777;0;10,83818;62be6f86c1
27;63843964841777;63843964841814;0;2,986096;62be6f86c1
28;63843964841826;63843964841947;0;9,162123;62be6f86c1
29;63843964841982;63843964842087;0;7,252011;62be6f86c1
30;63843964842431;63843964842454;0;3,118976;62be6f86c1
31;63843964842655;63843964842691;0;8,313731;62be6f86c1
32;63843964842753;63843964842777;0;3,08388;62be6f86c1
33;63843964842777;63843964842801;0;5,4649;62be6f86c1
34;63843964842977;63843964843013;0;6,548619;62be6f86c1
35;63843964843025;63843964843209;0;30,71448;62be6f86c1
36;63843964843260;63843964843299;0;2,635;62be6f86c1
37;63843964843654;63843964843693;0;10,22528;62be6f86c1
38;63843964843836;63843964843877;0;5,682307;62be6f86c1
39;63843964844059;63843964844112;0;16,14127;62be6f86c1
40;63843964844479;63843964844557;0;21,07683;62be6f86c1
41;63843964844584;63843964844597;0;1,247411;62be6f86c1
42;63843964844611;63843964844716;0;7,985934;62be6f86c1
43;63843964844836;63843964844878;0;7,578776;62be6f86c1
44;63843964845244;63843964845283;0;9,002394;62be6f86c1
45;63843964845758;63843964845856;0;22,98081;62be6f86c1
46;63843964845912;63843964845994;0;7,734465;62be6f86c1
47;63843964846259;63843964846344;0;37,65253;62be6f86c1
48;63843964846383;63843964846398;0;2,536285;62be6f86c1
49;63843964846436;63843964846450;0;2,638266;62be6f86c1
50;63843964846465;63843964846583;0;13,20306;62be6f86c1
51;63843964846899;63843964846938;0;8,188562;62be6f86c1
52;63843964847592;63843964847632;0;10,7988;62be6f86c1
53;63843964847801;63843964847841;0;7,095668;62be6f86c1
54;63843964848062;63843964848114;0;24,76424;62be6f86c1
55;63843964848403;63843964848481;0;35,60725;62be6f86c1
56;63843964848493;63843964848508;0;2,661681;62be6f86c1
57;63843964848599;63843964848638;0;4,243578;62be6f86c1
58;63843964848666;63843964848704;0;5,39681;62be6f86c1
59;63843964849064;63843964849103;0;4,377748;62be6f86c1
60;63843964849305;63843964849347;0;8,807921;62be6f86c1
61;63843964849670;63843964849698;0;6,905239;62be6f86c1
62;63843964850014;63843964850083;0;19,33607;62be6f86c1
63;63843964850167;63843964850209;0;5,356318;62be6f86c1
64;63843964850486;63843964850527;0;10,91136;62be6f86c1
65;63843964850749;63843964850790;0;4,924736;62be6f86c1
66;63843964850993;63843964851076;0;26,30729;62be6f86c1
67;63843964851102;63843964851116;0;1,608881;62be6f86c1
68;63843964851131;63843964851294;0;16,03863;62be6f86c1
69;63843964851689;63843964851745;0;15,67404;62be6f86c1
70;63843964852165;63843964852204;0;8,234137;62be6f86c1
71;63843964852501;63843964852515;0;3,268184;62be6f86c1
72;63843964852543;63843964852556;0;1,590286;62be6f86c1
73;63843964852730;63843964852756;0;8,656418;62be6f86c1
74;63843964853187;63843964853242;0;11,99202;62be6f86c1
75;63843964853348;63843964853402;0;14,58304;62be6f86c1
76;63843964853858;63843964853886;0;8,968983;62be6f86c1
77;63843964854072;63843964854087;0;1,854352;62be6f86c1
78;63843964854479;63843964854520;0;6,340752;62be6f86c1
79;63843964854790;63843964854845;0;18,80099;62be6f86c1
80;63843964854939;63843964855035;0;13,35015;62be6f86c1
81;63843964855415;63843964855455;0;7,178651;62be6f86c1
82;63843964855561;63843964855601;0;9,685863;62be6f86c1
83;63843964855682;63843964855722;0;6,489301;62be6f86c1
84;63843964856035;63843964856077;0;10,4334;62be6f86c1
85;63843964856170;63843964856212;0;13,44176;62be6f86c1
86;63843964856835;63843964856889;0;12,12993;62be6f86c1
87;63843964857779;63843964857820;0;9,553454;62be6f86c1
88;63843964858787;63843964858845;0;12,51363;62be6f86c1
89;63843964859209;63843964859236;0;2,829993;62be6f86c1
90;63843964859411;63843964859425;0;2,060516;62be6f86c1
91;63843964859915;63843964859957;0;6,656671;62be6f86c1
92;63843964862435;63843964862465;0;3,001723;62be6f86c1
93;63843964862711;63843964862725;0;4,853451;62be6f86c1
94;63843964867297;63843964867326;0;6,382514;62be6f86c1
95;63843964867965;63843964867980;0;1,132115;62be6f86c1
96;63843964868082;63843964868125;0;5,908931;62be6f86c1
97;63843964868516;63843964868559;0;4,54226;62be6f86c1
98;63843964868864;63843964868892;0;5,553933;62be6f86c1
99;63843964869211;63843964869254;0;4,979883;62be6f86c1
100;63843964871225;63843964871255;0;6,081927;62be6f86c1
101;63843964871797;63843964871825;0;6,278572;62be6f86c1
102;63843964874432;63843964874476;0;7,557644;62be6f86c1
103;63843964875509;63843964875553;0;5,800829;62be6f86c1
104;63843964875682;63843964875839;0;8,113;62be6f86c1
105;63843964875855;63843964875869;0;6,434833;62be6f86c1
106;63843964875969;63843964876012;0;5,768913;62be6f86c1
107;63843964876069;63843964876083;0;0,989525;62be6f86c1
108;63843964876097;63843964876112;0;4,818694;62be6f86c1
109;63843964876167;63843964876310;0;2,022747;62be6f86c1
110;63843964876394;63843964876423;0;3,328255;62be6f86c1
111;63843964876524;63843964876554;0;1,627385;62be6f86c1
112;63843964876581;63843964876639;0;7,87118;62be6f86c1
113;63843964876809;63843964876902;0;9,299927;62be6f86c1
114;63843964876930;63843964876956;0;5,786858;62be6f86c1
115;63843964877010;63843964877115;0;6,359586;62be6f86c1
116;63843964877130;63843964877144;0;1,572217;62be6f86c1
117;63843964877170;63843964877277;0;10,35604;62be6f86c1
118;63843964877290;63843964877356;0;12,88661;62be6f86c1
119;63843964877410;63843964877463;0;6,043351;62be6f86c1
120;63843964877527;63843964877554;0;3,641101;62be6f86c1
121;63843964878334;63843964878375;0;12,62076;62be6f86c1
122;63843964878690;63843964878730;0;11,42481;62be6f86c1
123;63843964878888;63843964878901;0;1,472596;62be6f86c1
124;63843964878940;63843964878993;0;11,25085;62be6f86c1
125;63843964879320;63843964879359;0;12,46575;62be6f86c1
126;63843964879465;63843964879531;0;15,63541;62be6f86c1
127;63843964880119;63843964880145;0;2,711444;62be6f86c1
128;63843964881252;63843964881289;0;16,7573;62be6f86c1
129;63843964881694;63843964881757;0;18,29212;62be6f86c1
130;63843964882145;63843964882196;0;8,614658;62be6f86c1
131;63843964882742;63843964882797;0;7,901968;62be6f86c1
132;63843964882919;63843964882959;0;8,91555;62be6f86c1
133;63843964883894;63843964883936;0;3,307425;62be6f86c1
134;63843964884313;63843964884337;0;2,094524;62be6f86c1
135;63843964884835;63843964884877;0;11,68489;62be6f86c1
136;63843964885056;63843964885150;0;12,95273;62be6f86c1
137;63843964885314;63843964885329;0;6,904472;62be6f86c1
138;63843964885546;63843964885574;0;6,487638;62be6f86c1
139;63843964885694;63843964885722;0;4,282948;62be6f86c1
140;63843964885761;63843964886054;0;42,7509;62be6f86c1
141;63843964886169;63843964886221;0;9,179522;62be6f86c1
142;63843964886286;63843964886363;0;7,194729;62be6f86c1
143;63843964886376;63843964886400;0;0,7322189;62be6f86c1
144;63843964886413;63843964886425;0;2,05538;62be6f86c1
145;63843964886554;63843964886591;0;8,530669;62be6f86c1
146;63843964886841;63843964886879;0;5,298053;62be6f86c1
147;63843964886903;63843964886930;0;9,780522;62be6f86c1
148;63843964887144;63843964887220;0;15,95286;62be6f86c1
149;63843964887232;63843964887321;0;3,07638;62be6f86c1
150;63843964887386;63843964887424;0;3,128814;62be6f86c1
151;63843964887464;63843964887489;0;2,114518;62be6f86c1
152;63843964887553;63843964887566;0;1,376008;62be6f86c1
153;63843964888002;63843964888054;0;23,51626;62be6f86c1
154;63843964888197;63843964888211;0;1,342755;62be6f86c1
155;63843964888433;63843964888446;0;2,443364;62be6f86c1
156;63843964888802;63843964888869;0;17,08194;62be6f86c1
157;63843964889224;63843964889254;0;4,81536;62be6f86c1
158;63843964889698;63843964889725;0;3,256782;62be6f86c1
159;63843964890799;63843964890826;0;2,151951;62be6f86c1
160;63843964894694;63843964894723;0;3,221242;62be6f86c1
161;63843964894837;63843964894866;0;1,172364;62be6f86c1
162;63843964894893;63843964894977;0;4,50163;62be6f86c1
163;63843964894991;63843964895100;0;2,930578;62be6f86c1
164;63843964895139;63843964895245;0;12,07798;62be6f86c1
165;63843964895245;63843964895322;0;0,8122882;62be6f86c1
166;63843964895375;63843964895413;0;6,575574;62be6f86c1
167;63843964895437;63843964895464;0;2,762084;62be6f86c1
