Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63844036225659;63844036225697;0;7,558605;6e4d7fa8b2
2;63844036225896;63844036225945;0;21,39478;6e4d7fa8b2
3;63844036225957;63844036225981;0;3,594938;6e4d7fa8b2
4;63844036226016;63844036226063;0;2,367115;6e4d7fa8b2
5;63844036226075;63844036226145;0;10,67601;6e4d7fa8b2
6;63844036226156;63844036226225;0;18,94429;6e4d7fa8b2
7;63844036226248;63844036226271;0;1,641037;6e4d7fa8b2
8;63844036226294;63844036226375;0;8,511632;6e4d7fa8b2
9;63844036226433;63844036226456;0;1,553812;6e4d7fa8b2
10;63844036226639;63844036226703;0;25,1867;6e4d7fa8b2
11;63844036226792;63844036226855;0;6,806625;6e4d7fa8b2
12;63844036226867;63844036226929;0;13,70228;6e4d7fa8b2
13;63844036226955;63844036226979;0;1,357683;6e4d7fa8b2
14;63844036226979;63844036227102;0;12,26847;6e4d7fa8b2
15;63844036227115;63844036227154;0;3,932733;6e4d7fa8b2
16;63844036227204;63844036227281;0;26,67952;6e4d7fa8b2
17;63844036227396;63844036227435;0;12,77506;6e4d7fa8b2
18;63844036227459;63844036227484;0;2,25238;6e4d7fa8b2
19;63844036227497;63844036227658;0;3,515301;6e4d7fa8b2
20;63844036227670;63844036227694;0;1,837389;6e4d7fa8b2
21;63844036227706;63844036227780;0;9,628392;6e4d7fa8b2
22;63844036227792;63844036227841;0;6,506894;6e4d7fa8b2
23;63844036228002;63844036228038;0;5,686823;6e4d7fa8b2
24;63844036228385;63844036228422;0;7,034194;6e4d7fa8b2
25;63844036228589;63844036228625;0;3,630816;6e4d7fa8b2
26;63844036228841;63844036228890;0;20,00749;6e4d7fa8b2
27;63844036229073;63844036229112;0;7,74623;6e4d7fa8b2
28;63844036230634;63844036230695;0;19,36358;6e4d7fa8b2
29;63844036230904;63844036230990;0;26,70275;6e4d7fa8b2
30;63844036231002;63844036231014;0;0,9261956;6e4d7fa8b2
31;63844036231123;63844036231159;0;8,293181;6e4d7fa8b2
32;63844036231194;63844036231217;0;3,920915;6e4d7fa8b2
33;63844036231229;63844036231252;0;3,613951;6e4d7fa8b2
34;63844036231604;63844036231650;0;3,848376;6e4d7fa8b2
35;63844036231807;63844036231830;0;2,593972;6e4d7fa8b2
36;63844036231930;63844036231965;0;5,858727;6e4d7fa8b2
37;63844036232065;63844036232098;0;2,222551;6e4d7fa8b2
38;63844036232687;63844036232720;0;3,337008;6e4d7fa8b2
39;63844036233202;63844036233236;0;2,609096;6e4d7fa8b2
40;63844036233677;63844036233733;0;16,01826;6e4d7fa8b2
41;63844036233959;63844036234015;0;11,75554;6e4d7fa8b2
42;63844036234118;63844036234166;0;11,60904;6e4d7fa8b2
43;63844036234972;63844036235008;0;8,466125;6e4d7fa8b2
44;63844036235242;63844036235293;0;6,598557;6e4d7fa8b2
45;63844036235717;63844036235756;0;9,553063;6e4d7fa8b2
46;63844036235937;63844036235977;0;6,220756;6e4d7fa8b2
47;63844036236208;63844036236259;0;19,54551;6e4d7fa8b2
48;63844036236645;63844036236722;0;30,79051;6e4d7fa8b2
49;63844036237148;63844036237186;0;3,945162;6e4d7fa8b2
50;63844036237926;63844036237966;0;11,07804;6e4d7fa8b2
51;63844036239450;63844036239490;0;7,801296;6e4d7fa8b2
52;63844036239675;63844036239728;0;21,462;6e4d7fa8b2
53;63844036240549;63844036240577;0;2,125412;6e4d7fa8b2
54;63844036240669;63844036240682;0;1,435314;6e4d7fa8b2
55;63844036241178;63844036241217;0;7,649424;6e4d7fa8b2
56;63844036241694;63844036241740;0;14,35419;6e4d7fa8b2
57;63844036241786;63844036241834;0;8,771202;6e4d7fa8b2
58;63844036241910;63844036241925;0;3,266986;6e4d7fa8b2
59;63844036242045;63844036242074;0;2,672763;6e4d7fa8b2
60;63844036242134;63844036242148;0;0,9333511;6e4d7fa8b2
61;63844036242641;63844036242688;0;14,22848;6e4d7fa8b2
62;63844036243326;63844036243357;0;3,485375;6e4d7fa8b2
63;63844036244093;63844036244138;0;11,03815;6e4d7fa8b2
64;63844036244705;63844036244736;0;2,912957;6e4d7fa8b2
65;63844036245005;63844036245067;0;10,74519;6e4d7fa8b2
66;63844036245407;63844036245451;0;6,820011;6e4d7fa8b2
67;63844036245711;63844036245781;0;29,00549;6e4d7fa8b2
68;63844036246338;63844036246379;0;6,713291;6e4d7fa8b2
69;63844036246703;63844036246758;0;7,812083;6e4d7fa8b2
70;63844036247000;63844036247026;0;3,387262;6e4d7fa8b2
71;63844036247528;63844036247591;0;18,03467;6e4d7fa8b2
