Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63844227138026;63844227138159;0;1;6f7e481ac0
2;63844227184458;63844227184524;0;2;6f7e481ac0
3;63844227265278;63844227265278;-1;1;6f7e481ac0
4;63844227265289;63844227265356;-1;2;6f7e481ac0
5;63844227304749;63844227304771;2;3;6f7e481ac0
6;63844227316675;63844227316719;2;4;6f7e481ac0
7;63844227333476;63844227333536;2;3;6f7e481ac0
8;63844227360365;63844227360453;-2;4;6f7e481ac0
9;63844227383732;63844227383743;3;3;6f7e481ac0
10;63844227417774;63844227417819;3;3;6f7e481ac0
11;63844227468244;63844227468334;-3;2;6f7e481ac0
12;63844227487163;63844227487196;4;2;6f7e481ac0
13;63844227527762;63844227527817;4;3;6f7e481ac0
14;63844227528117;63844227528173;4;4;6f7e481ac0
15;63844227539975;63844227540053;-4;4;6f7e481ac0
16;63844227557529;63844227557585;5;4;6f7e481ac0
17;63844227611615;63844227611660;5;2;6f7e481ac0
18;63844227611961;63844227611994;5;3;6f7e481ac0
19;63844227612593;63844227612627;5;4;6f7e481ac0
20;63844227613550;63844227613605;5;5;6f7e481ac0
21;63844227618415;63844227618515;5;5;6f7e481ac0
22;63844227647861;63844227647905;6;6;6f7e481ac0
23;63844227733258;63844227733371;-6;1;6f7e481ac0
24;63844227751359;63844227751403;7;2;6f7e481ac0
25;63844227751603;63844227751658;7;3;6f7e481ac0
26;63844227804901;63844227804956;-7;3;6f7e481ac0
27;63844227806486;63844227806643;-7;4;6f7e481ac0
28;63844227868442;63844227868475;8;1;6f7e481ac0
29;63844227876633;63844227876789;8;2;6f7e481ac0
30;63844227911496;63844227911521;-8;3;6f7e481ac0
31;63844227911610;63844227911654;-8;4;6f7e481ac0
32;63844227965557;63844227965613;-9;3;6f7e481ac0
33;63844227983976;63844227984055;10;2;6f7e481ac0
34;63844227984199;63844227984276;10;3;6f7e481ac0
35;63844228044225;63844228044248;10;1;6f7e481ac0
