Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844227128688;63844227128688;0;69,74675;6f7e481ac0
2;63844227128918;63844227129029;0;165,0281;6f7e481ac0
3;63844227129051;63844227129086;0;156,8625;6f7e481ac0
4;63844227129130;63844227129186;0;202,8178;6f7e481ac0
5;63844227129196;63844227129252;0;202,9469;6f7e481ac0
6;63844227129275;63844227129311;0;106,3243;6f7e481ac0
7;63844227129383;63844227129503;0;114,9291;6f7e481ac0
8;63844227129587;63844227129620;0;101,2565;6f7e481ac0
9;63844227129689;63844227129845;0;144,8268;6f7e481ac0
10;63844227129889;63844227129946;0;239,4928;6f7e481ac0
11;63844227130091;63844227130114;0;286,3024;6f7e481ac0
12;63844227130271;63844227130294;0;94,24979;6f7e481ac0
13;63844227131416;63844227131462;0;441,6019;6f7e481ac0
14;63844227131573;63844227131618;0;130,4332;6f7e481ac0
15;63844227131629;63844227131663;0;113,4624;6f7e481ac0
16;63844227131709;63844227131870;0;90,09498;6f7e481ac0
17;63844227131881;63844227131913;0;280,5693;6f7e481ac0
18;63844227132058;63844227132136;0;146,1496;6f7e481ac0
19;63844227132303;63844227132336;0;148,9549;6f7e481ac0
20;63844227132592;63844227132625;0;168,3017;6f7e481ac0
21;63844227132848;63844227132892;0;281,9014;6f7e481ac0
22;63844227132992;63844227133048;0;329,0588;6f7e481ac0
23;63844227133170;63844227133181;0;132,7195;6f7e481ac0
24;63844227133336;63844227133370;0;134,3033;6f7e481ac0
25;63844227133814;63844227133848;0;167,3912;6f7e481ac0
26;63844227134015;63844227134059;0;268,0972;6f7e481ac0
27;63844227134314;63844227134348;0;168,5675;6f7e481ac0
28;63844227134748;63844227134781;0;178,6037;6f7e481ac0
29;63844227134981;63844227135014;0;185,4992;6f7e481ac0
30;63844227135159;63844227135192;0;108,1418;6f7e481ac0
31;63844227136226;63844227136259;0;167,3214;6f7e481ac0
32;63844227136725;63844227136758;0;100,0987;6f7e481ac0
33;63844227136970;63844227137003;0;175,5932;6f7e481ac0
34;63844227137269;63844227137303;0;148,2769;6f7e481ac0
35;63844227137492;63844227137503;0;81,51291;6f7e481ac0
36;63844227137914;63844227137948;0;143,2804;6f7e481ac0
37;63844227138347;63844227138447;0;102,5431;6f7e481ac0
38;63844227138558;63844227138603;0;114,9878;6f7e481ac0
39;63844227138636;63844227138647;0;89,82735;6f7e481ac0
40;63844227139539;63844227139583;0;194,9657;6f7e481ac0
41;63844227139767;63844227139824;0;490,2968;6f7e481ac0
42;63844227140036;63844227140235;0;95,1205;6f7e481ac0
43;63844227140257;63844227140291;0;119,1837;6f7e481ac0
44;63844227140402;63844227140425;0;105,5684;6f7e481ac0
45;63844227140635;63844227140669;0;127,471;6f7e481ac0
46;63844227140936;63844227140969;0;286,0857;6f7e481ac0
47;63844227141269;63844227141303;0;108,7908;6f7e481ac0
