Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63845764480747;63845764480802;0;12,70382;839d1c9ec4
2;63845764481268;63845764481349;0;17,22943;839d1c9ec4
3;63845764481349;63845764481374;0;3,97631;839d1c9ec4
4;63845764481388;63845764481426;0;8,569489;839d1c9ec4
5;63845764481481;63845764481641;0;3,367321;839d1c9ec4
6;63845764481903;63845764481956;0;14,83838;839d1c9ec4
7;63845764482226;63845764482252;0;7,342325;839d1c9ec4
8;63845764482497;63845764482548;0;7,930905;839d1c9ec4
9;63845764482728;63845764482755;0;3,841654;839d1c9ec4
10;63845764483099;63845764483199;0;20,98386;839d1c9ec4
11;63845764483383;63845764483418;0;6,862185;839d1c9ec4
12;63845764483700;63845764483760;0;17,21021;839d1c9ec4
13;63845764483918;63845764483957;0;6,323597;839d1c9ec4
14;63845764484176;63845764484225;0;11,47743;839d1c9ec4
15;63845764484544;63845764484591;0;11,10207;839d1c9ec4
16;63845764484790;63845764484827;0;5,684893;839d1c9ec4
17;63845764485086;63845764485187;0;21,7229;839d1c9ec4
18;63845764485533;63845764485557;0;5,934221;839d1c9ec4
19;63845764485783;63845764485821;0;5,085539;839d1c9ec4
20;63845764485921;63845764485958;0;15,96637;839d1c9ec4
21;63845764486133;63845764486170;0;5,495474;839d1c9ec4
22;63845764486417;63845764486468;0;14,82826;839d1c9ec4
23;63845764486752;63845764486790;0;8,636381;839d1c9ec4
24;63845764487266;63845764487295;0;1,900634;839d1c9ec4
25;63845764487379;63845764487434;0;11,87869;839d1c9ec4
26;63845764487533;63845764487576;0;2,512169;839d1c9ec4
27;63845764487716;63845764487730;0;1,604984;839d1c9ec4
28;63845764488022;63845764488051;0;5,70073;839d1c9ec4
29;63845764488124;63845764488259;0;8,50974;839d1c9ec4
30;63845764488289;63845764488535;0;1,715206;839d1c9ec4
31;63845764489799;63845764489889;0;20,32688;839d1c9ec4
32;63845764489903;63845764489917;0;2,23992;839d1c9ec4
33;63845764489932;63845764490159;0;7,164179;839d1c9ec4
34;63845764490199;63845764490407;0;7,633475;839d1c9ec4
35;63845764490433;63845764490459;0;2,166363;839d1c9ec4
36;63845764490472;63845764490652;0;5,965158;839d1c9ec4
37;63845764490715;63845764490915;0;15,4409;839d1c9ec4
38;63845764490966;63845764491001;0;9,735911;839d1c9ec4
39;63845764491200;63845764491238;0;6,561842;839d1c9ec4
40;63845764491661;63845764491715;0;19,29696;839d1c9ec4
41;63845764491825;63845764491888;0;4,973624;839d1c9ec4
42;63845764492000;63845764492096;0;14,69211;839d1c9ec4
43;63845764492481;63845764492516;0;7,642545;839d1c9ec4
44;63845764492899;63845764492936;0;2,702695;839d1c9ec4
45;63845764493126;63845764493150;0;3,52892;839d1c9ec4
46;63845764493449;63845764493510;0;10,47176;839d1c9ec4
47;63845764494057;63845764494382;0;8,938945;839d1c9ec4
48;63845764494382;63845764494557;0;18,26529;839d1c9ec4
49;63845764494636;63845764494665;0;4,122886;839d1c9ec4
50;63845764494837;63845764494866;0;6,832768;839d1c9ec4
51;63845764495090;63845764495144;0;8,628259;839d1c9ec4
52;63845764495262;63845764495289;0;13,70419;839d1c9ec4
53;63845764495328;63845764495380;0;9,313821;839d1c9ec4
54;63845764495447;63845764495511;0;5,814262;839d1c9ec4
55;63845764495934;63845764495973;0;5,305814;839d1c9ec4
56;63845764496200;63845764496238;0;9,41198;839d1c9ec4
57;63845764496425;63845764496492;0;10,29111;839d1c9ec4
58;63845764497112;63845764497153;0;6,050483;839d1c9ec4
59;63845764497948;63845764498009;0;16,57139;839d1c9ec4
60;63845764498613;63845764498702;0;7,819667;839d1c9ec4
61;63845764498702;63845764498788;0;14,50195;839d1c9ec4
62;63845764499099;63845764499240;0;20,40003;839d1c9ec4
63;63845764499256;63845764499348;0;19,89963;839d1c9ec4
64;63845764499373;63845764499387;0;1,790894;839d1c9ec4
65;63845764499399;63845764499479;0;7,505979;839d1c9ec4
66;63845764499557;63845764499636;0;15,71831;839d1c9ec4
67;63845764499804;63845764499822;0;3,060367;839d1c9ec4
68;63845764500048;63845764500093;0;13,91243;839d1c9ec4
69;63845764500232;63845764500246;0;1,628587;839d1c9ec4
70;63845764500472;63845764500534;0;15,93725;839d1c9ec4
71;63845764500758;63845764500803;0;13,11335;839d1c9ec4
72;63845764500989;63845764501038;0;15,24512;839d1c9ec4
73;63845764501051;63845764501124;0;18,3526;839d1c9ec4
74;63845764501148;63845764501174;0;2,092748;839d1c9ec4
75;63845764501187;63845764501236;0;5,574396;839d1c9ec4
76;63845764501734;63845764501790;0;9,49904;839d1c9ec4
77;63845764501817;63845764501834;0;1,852557;839d1c9ec4
78;63845764501848;63845764501922;0;5,817633;839d1c9ec4
79;63845764502169;63845764502240;0;17,40538;839d1c9ec4
80;63845764502295;63845764502393;0;8,325887;839d1c9ec4
81;63845764502765;63845764502829;0;14,70575;839d1c9ec4
82;63845764503167;63845764503203;0;10,37202;839d1c9ec4
83;63845764503434;63845764503473;0;4,477766;839d1c9ec4
84;63845764503652;63845764503690;0;10,706;839d1c9ec4
85;63845764503933;63845764504007;0;25,23789;839d1c9ec4
86;63845764504667;63845764504694;0;6,152305;839d1c9ec4
87;63845764504961;63845764504993;0;4,52593;839d1c9ec4
88;63845764505217;63845764505279;0;19,50747;839d1c9ec4
89;63845764505487;63845764505543;0;7,55528;839d1c9ec4
90;63845764505722;63845764505794;0;23,1413;839d1c9ec4
91;63845764506545;63845764506634;0;15,66236;839d1c9ec4
92;63845764506691;63845764506879;0;8,743589;839d1c9ec4
