Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63844230325319;63844230325386;0;1;8cf2a7d56a
2;63844230326486;63844230326564;0;2;8cf2a7d56a
3;63844230329875;63844230329975;0;3;8cf2a7d56a
4;63844230436640;63844230436662;2;1;8cf2a7d56a
5;63844230472003;63844230472025;2;2;8cf2a7d56a
6;63844230479140;63844230479201;2;3;8cf2a7d56a
7;63844230546205;63844230546218;3;1;8cf2a7d56a
8;63844230602308;63844230602375;4;2;8cf2a7d56a
9;63844230624087;63844230624184;4;2;8cf2a7d56a
10;63844230924741;63844230924838;7;1;8cf2a7d56a
11;63844230930049;63844230930105;7;2;8cf2a7d56a
12;63844230981972;63844230981983;7;3;8cf2a7d56a
13;63844231006885;63844231006952;-7;2;8cf2a7d56a
14;63844231071436;63844231071480;8;1;8cf2a7d56a
15;63844231093640;63844231093708;-8;2;8cf2a7d56a
16;63844231112461;63844231112605;9;3;8cf2a7d56a
17;63844231121398;63844231121467;9;4;8cf2a7d56a
18;63844231147536;63844231147580;9;4;8cf2a7d56a
19;63844231148182;63844231148304;9;5;8cf2a7d56a
20;63844231148726;63844231148848;9;6;8cf2a7d56a
21;63844231151526;63844231151537;9;7;8cf2a7d56a
22;63844231215313;63844231215377;10;1;8cf2a7d56a
23;63844231227758;63844231227769;10;2;8cf2a7d56a
