Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63844294232481;63844294232592;0;1;c70877f17a
2;63844294232939;63844294233006;0;2;c70877f17a
3;63844294236578;63844294236656;0;3;c70877f17a
4;63844294238743;63844294238788;0;4;c70877f17a
5;63844294239877;63844294240043;0;5;c70877f17a
6;63844294245045;63844294245104;0;6;c70877f17a
7;63844294248665;63844294248732;0;7;c70877f17a
8;63844294250026;63844294250092;0;8;c70877f17a
9;63844294251436;63844294251481;0;9;c70877f17a
10;63844294251972;63844294252006;0;10;c70877f17a
11;63844294254439;63844294254474;0;11;c70877f17a
12;63844294256376;63844294256498;0;12;c70877f17a
13;63844294256869;63844294256958;0;13;c70877f17a
14;63844294263780;63844294263802;0;14;c70877f17a
15;63844294264939;63844294265194;0;15;c70877f17a
16;63844294268490;63844294268529;0;16;c70877f17a
17;63844294268935;63844294269068;0;17;c70877f17a
18;63844294271128;63844294271163;0;18;c70877f17a
19;63844294276762;63844294276861;0;19;c70877f17a
20;63844294282118;63844294282167;0;20;c70877f17a
21;63844294284151;63844294284217;0;21;c70877f17a
22;63844294285251;63844294285351;0;22;c70877f17a
23;63844294291662;63844294291739;0;23;c70877f17a
24;63844294293172;63844294293284;0;22;c70877f17a
25;63844294293939;63844294294017;0;23;c70877f17a
26;63844294301061;63844294301239;1;21;c70877f17a
27;63844294304794;63844294304927;1;22;c70877f17a
28;63844294308779;63844294308804;1;21;c70877f17a
29;63844294311247;63844294311335;1;21;c70877f17a
30;63844294313714;63844294313970;1;20;c70877f17a
31;63844294317939;63844294317985;1;18;c70877f17a
32;63844294322871;63844294322949;1;19;c70877f17a
33;63844294323816;63844294323938;1;19;c70877f17a
34;63844294325135;63844294325271;1;19;c70877f17a
35;63844294325538;63844294325605;1;20;c70877f17a
36;63844294328832;63844294328910;1;20;c70877f17a
37;63844294331744;63844294331931;1;19;c70877f17a
38;63844294332232;63844294332300;1;20;c70877f17a
39;63844294336502;63844294336548;1;21;c70877f17a
40;63844294339115;63844294339272;1;21;c70877f17a
41;63844294343095;63844294343129;1;21;c70877f17a
42;63844294345568;63844294345590;-1;20;c70877f17a
43;63844294347157;63844294347334;-1;21;c70877f17a
44;63844294352137;63844294352204;-1;21;c70877f17a
45;63844294365660;63844294365705;2;18;c70877f17a
46;63844294374859;63844294375037;2;16;c70877f17a
47;63844294384511;63844294384600;2;14;c70877f17a
48;63844294389370;63844294389403;2;12;c70877f17a
49;63844294397736;63844294397803;2;10;c70877f17a
50;63844294398858;63844294398914;2;11;c70877f17a
51;63844294405035;63844294405128;2;10;c70877f17a
52;63844294407974;63844294408052;2;9;c70877f17a
53;63844294413685;63844294413755;2;9;c70877f17a
54;63844294416312;63844294416412;2;10;c70877f17a
55;63844294416488;63844294416510;2;11;c70877f17a
56;63844294425422;63844294425457;-2;12;c70877f17a
57;63844294426192;63844294426236;-2;12;c70877f17a
58;63844294427282;63844294427348;-2;13;c70877f17a
59;63844294446181;63844294446281;3;12;c70877f17a
60;63844294448691;63844294448725;3;13;c70877f17a
61;63844294452362;63844294452433;3;13;c70877f17a
62;63844294454976;63844294455176;3;14;c70877f17a
63;63844294456314;63844294456402;3;15;c70877f17a
64;63844294459199;63844294459267;3;14;c70877f17a
65;63844294461249;63844294461316;3;15;c70877f17a
66;63844294462414;63844294462447;3;16;c70877f17a
67;63844294465046;63844294465068;3;16;c70877f17a
68;63844294465573;63844294465640;3;17;c70877f17a
69;63844294472357;63844294472591;3;17;c70877f17a
70;63844294473902;63844294473969;3;17;c70877f17a
71;63844294476932;63844294476992;3;16;c70877f17a
72;63844294479254;63844294479300;3;17;c70877f17a
73;63844294482276;63844294482342;3;18;c70877f17a
74;63844294482959;63844294483155;3;19;c70877f17a
75;63844294485262;63844294485312;3;20;c70877f17a
76;63844294486742;63844294486790;3;19;c70877f17a
77;63844294488024;63844294488139;3;19;c70877f17a
78;63844294489875;63844294489952;3;20;c70877f17a
79;63844294493046;63844294493095;3;21;c70877f17a
80;63844294496132;63844294496321;3;22;c70877f17a
81;63844294496712;63844294496734;3;23;c70877f17a
82;63844294497546;63844294497585;3;24;c70877f17a
83;63844294498146;63844294498223;3;25;c70877f17a
84;63844294500773;63844294500829;3;26;c70877f17a
85;63844294503856;63844294503932;3;27;c70877f17a
86;63844294504984;63844294505028;3;28;c70877f17a
87;63844294507719;63844294507830;3;28;c70877f17a
88;63844294510752;63844294510831;3;28;c70877f17a
89;63844294511556;63844294511625;3;29;c70877f17a
90;63844294512443;63844294512524;3;29;c70877f17a
91;63844294513202;63844294513261;3;30;c70877f17a
92;63844294514845;63844294514934;3;31;c70877f17a
93;63844294523656;63844294523751;-3;27;c70877f17a
94;63844294525289;63844294525400;-3;27;c70877f17a
95;63844294526952;63844294527019;-3;27;c70877f17a
96;63844294528213;63844294528257;-3;28;c70877f17a
97;63844294534635;63844294534690;4;27;c70877f17a
98;63844294539090;63844294539146;4;27;c70877f17a
99;63844294543068;63844294543168;4;25;c70877f17a
100;63844294545655;63844294545711;4;25;c70877f17a
101;63844294548483;63844294548530;4;24;c70877f17a
102;63844294550596;63844294550652;4;24;c70877f17a
103;63844294554176;63844294554201;4;24;c70877f17a
104;63844294557566;63844294557712;4;22;c70877f17a
105;63844294557790;63844294557820;4;23;c70877f17a
106;63844294562947;63844294562997;4;22;c70877f17a
107;63844294565677;63844294565743;4;21;c70877f17a
108;63844294565888;63844294565888;4;22;c70877f17a
109;63844294565888;63844294565943;4;23;c70877f17a
110;63844294567622;63844294567645;4;24;c70877f17a
111;63844294567711;63844294567722;4;25;c70877f17a
112;63844294567722;63844294567745;4;25;c70877f17a
113;63844294568994;63844294569049;4;26;c70877f17a
114;63844294575111;63844294575189;4;22;c70877f17a
115;63844294579051;63844294579051;4;23;c70877f17a
116;63844294590923;63844294590973;-4;20;c70877f17a
117;63844294593666;63844294593711;-4;21;c70877f17a
118;63844294618755;63844294618866;5;13;c70877f17a
119;63844294626952;63844294626988;5;10;c70877f17a
120;63844294633741;63844294633796;5;7;c70877f17a
121;63844294681509;63844294681520;6;3;c70877f17a
122;63844294691705;63844294691758;6;3;c70877f17a
123;63844294693269;63844294693325;6;4;c70877f17a
124;63844294701062;63844294701106;6;4;c70877f17a
125;63844294701117;63844294701117;6;5;c70877f17a
126;63844294701128;63844294701205;6;6;c70877f17a
127;63844294707657;63844294707691;6;7;c70877f17a
128;63844294711376;63844294711409;6;8;c70877f17a
129;63844294715935;63844294716002;-6;9;c70877f17a
130;63844294720405;63844294720471;-6;10;c70877f17a
131;63844294726874;63844294726918;-6;11;c70877f17a
132;63844294729686;63844294729752;7;12;c70877f17a
133;63844294735542;63844294735587;7;13;c70877f17a
134;63844294738005;63844294738027;7;14;c70877f17a
135;63844294747885;63844294748186;7;14;c70877f17a
136;63844294753607;63844294753711;7;13;c70877f17a
137;63844294758111;63844294758299;7;14;c70877f17a
138;63844294768133;63844294768189;7;11;c70877f17a
139;63844294781330;63844294781377;7;9;c70877f17a
140;63844294783678;63844294783737;7;10;c70877f17a
141;63844294785034;63844294785092;7;11;c70877f17a
142;63844294796537;63844294796637;7;9;c70877f17a
143;63844294802565;63844294802626;7;9;c70877f17a
144;63844294802626;63844294802639;7;10;c70877f17a
145;63844294804300;63844294804521;7;11;c70877f17a
146;63844294805200;63844294805272;7;12;c70877f17a
147;63844294809230;63844294809308;7;12;c70877f17a
148;63844294811042;63844294811097;7;13;c70877f17a
149;63844294837252;63844294837285;8;11;c70877f17a
150;63844294845829;63844294845908;8;9;c70877f17a
151;63844294865572;63844294865594;8;5;c70877f17a
152;63844294865983;63844294866006;8;6;c70877f17a
153;63844294867432;63844294867479;8;7;c70877f17a
154;63844294868518;63844294868597;8;8;c70877f17a
155;63844294869305;63844294869425;8;8;c70877f17a
156;63844294874148;63844294874344;8;8;c70877f17a
157;63844294880714;63844294880781;8;9;c70877f17a
158;63844294884594;63844294884632;8;10;c70877f17a
159;63844294892319;63844294892369;8;11;c70877f17a
160;63844294914772;63844294914784;9;10;c70877f17a
161;63844294952461;63844294952539;10;2;c70877f17a
162;63844294966005;63844294966049;10;3;c70877f17a
163;63844294976442;63844294976511;10;3;c70877f17a
164;63844294982931;63844294983012;10;4;c70877f17a
165;63844294989100;63844294989122;10;5;c70877f17a
166;63844294995181;63844294995237;10;6;c70877f17a
167;63844294996476;63844294996510;10;7;c70877f17a
168;63844294999808;63844294999858;10;8;c70877f17a
169;63844295000444;63844295000518;10;9;c70877f17a
170;63844295005809;63844295005831;10;10;c70877f17a
171;63844295009186;63844295009235;10;11;c70877f17a
172;63844295011889;63844295011945;10;12;c70877f17a
173;63844295016439;63844295016474;10;12;c70877f17a
174;63844295019518;63844295019541;10;13;c70877f17a
175;63844295020290;63844295020328;10;14;c70877f17a
176;63844295022661;63844295022716;10;15;c70877f17a
177;63844295027816;63844295027852;10;15;c70877f17a
178;63844295031090;63844295031145;10;16;c70877f17a
179;63844295031902;63844295031991;10;17;c70877f17a
180;63844295035792;63844295035881;10;18;c70877f17a
181;63844295037261;63844295037383;10;18;c70877f17a
182;63844295039048;63844295039092;10;19;c70877f17a
183;63844295050202;63844295050258;10;18;c70877f17a
184;63844295056123;63844295056224;-10;18;c70877f17a
185;63844295063236;63844295063304;-10;16;c70877f17a
