Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844294232684;63844294232717;0;113,4028;c70877f17a
2;63844294232717;63844294232739;0;113,8057;c70877f17a
3;63844294232750;63844294232884;0;182,8454;c70877f17a
4;63844294233084;63844294233228;0;111,5698;c70877f17a
5;63844294233239;63844294233350;0;290,5699;c70877f17a
6;63844294233372;63844294233394;0;80,15163;c70877f17a
7;63844294233572;63844294233584;0;194,5606;c70877f17a
8;63844294233725;63844294233782;0;255,9091;c70877f17a
9;63844294233805;63844294233816;0;92,11409;c70877f17a
10;63844294233850;63844294233916;0;90,60605;c70877f17a
11;63844294234005;63844294234050;0;181,3877;c70877f17a
12;63844294234750;63844294234805;0;344,7596;c70877f17a
13;63844294234995;63844294235051;0;219,9361;c70877f17a
14;63844294235062;63844294235278;0;93,0651;c70877f17a
15;63844294235389;63844294235422;0;143,1442;c70877f17a
16;63844294235889;63844294235922;0;96,1165;c70877f17a
17;63844294236089;63844294236133;0;104,8214;c70877f17a
18;63844294236267;63844294236278;0;74,65169;c70877f17a
19;63844294236400;63844294236445;0;246,5397;c70877f17a
20;63844294236755;63844294236922;0;98,34562;c70877f17a
21;63844294236932;63844294236944;0;167,0671;c70877f17a
22;63844294237252;63844294237288;0;245,045;c70877f17a
23;63844294237344;63844294237410;0;87,09367;c70877f17a
24;63844294237543;63844294237577;0;233,7684;c70877f17a
25;63844294237919;63844294237978;0;336,1908;c70877f17a
26;63844294238054;63844294238176;0;60,95781;c70877f17a
27;63844294238577;63844294238610;0;248,3492;c70877f17a
28;63844294238699;63844294238721;0;108,4716;c70877f17a
29;63844294238788;63844294238832;0;347,2116;c70877f17a
30;63844294238888;63844294238943;0;84,38293;c70877f17a
31;63844294239288;63844294239321;0;149,493;c70877f17a
32;63844294239532;63844294239566;0;145,9571;c70877f17a
33;63844294239776;63844294239810;0;120,0991;c70877f17a
34;63844294240175;63844294240379;0;57,85377;c70877f17a
35;63844294240457;63844294240535;0;192,2799;c70877f17a
36;63844294240568;63844294240668;0;145,9908;c70877f17a
37;63844294240690;63844294240801;0;121,6058;c70877f17a
38;63844294240812;63844294240854;0;151,634;c70877f17a
39;63844294240977;63844294241011;0;101,5182;c70877f17a
40;63844294241141;63844294241185;0;170,6819;c70877f17a
41;63844294241340;63844294241385;0;367,1695;c70877f17a
42;63844294242015;63844294242054;0;147,7826;c70877f17a
43;63844294242487;63844294242560;0;201,7384;c70877f17a
44;63844294242685;63844294242748;0;370,0905;c70877f17a
45;63844294242760;63844294242784;0;92,33702;c70877f17a
46;63844294243209;63844294243295;0;286,6814;c70877f17a
47;63844294243420;63844294243481;0;105,9693;c70877f17a
48;63844294243815;63844294243891;0;422,446;c70877f17a
49;63844294244166;63844294244291;0;186,3349;c70877f17a
50;63844294244304;63844294244465;0;44,64638;c70877f17a
51;63844294244670;63844294244718;0;224,5856;c70877f17a
52;63844294245149;63844294245194;0;65,86491;c70877f17a
53;63844294245467;63844294245512;0;211,1886;c70877f17a
54;63844294245659;63844294245730;0;219,4021;c70877f17a
55;63844294246040;63844294246066;0;110,2791;c70877f17a
56;63844294246732;63844294246789;0;249,9704;c70877f17a
57;63844294246889;63844294246933;0;163,0682;c70877f17a
58;63844294247255;63844294247311;0;235,3295;c70877f17a
59;63844294248815;63844294248860;0;113,1147;c70877f17a
60;63844294248860;63844294248949;0;136,5568;c70877f17a
61;63844294248960;63844294249005;0;184,7664;c70877f17a
62;63844294249437;63844294249471;0;149,2064;c70877f17a
63;63844294249715;63844294249760;0;176,543;c70877f17a
64;63844294250115;63844294250137;0;380,548;c70877f17a
65;63844294250591;63844294250636;0;160,7862;c70877f17a
66;63844294251548;63844294251582;0;125,4984;c70877f17a
67;63844294251592;63844294251715;0;116,9363;c70877f17a
68;63844294251760;63844294251805;0;278,8058;c70877f17a
69;63844294251917;63844294251939;0;248,055;c70877f17a
70;63844294252052;63844294252097;0;121,341;c70877f17a
71;63844294252120;63844294252269;0;106,0206;c70877f17a
72;63844294252280;63844294252324;0;300,3227;c70877f17a
73;63844294252608;63844294252654;0;394,9423;c70877f17a
74;63844294253094;63844294253154;0;291,2123;c70877f17a
75;63844294253347;63844294253394;0;227,3495;c70877f17a
76;63844294254096;63844294254130;0;117,1285;c70877f17a
77;63844294254142;63844294254212;0;116,2491;c70877f17a
78;63844294254259;63844294254305;0;287,435;c70877f17a
79;63844294254327;63844294254349;0;78,34589;c70877f17a
80;63844294254372;63844294254406;0;208,6108;c70877f17a
81;63844294254542;63844294254566;0;114,1504;c70877f17a
82;63844294254588;63844294254677;0;104,5437;c70877f17a
83;63844294254788;63844294254832;0;327,0476;c70877f17a
84;63844294255057;63844294255112;0;390,3482;c70877f17a
85;63844294255146;63844294255168;0;87,07375;c70877f17a
86;63844294255213;63844294255253;0;153,5072;c70877f17a
87;63844294255298;63844294255387;0;91,14971;c70877f17a
88;63844294256076;63844294256109;0;251,0967;c70877f17a
89;63844294256593;63844294256615;0;99,25204;c70877f17a
90;63844294256627;63844294256850;0;134,981;c70877f17a
91;63844294257047;63844294257070;0;115,9922;c70877f17a
92;63844294257081;63844294257325;0;38,81541;c70877f17a
