Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844549068178;63844549068204;0;396,1566;c7bd047d00
2;63844549068417;63844549068457;0;120,4397;c7bd047d00
3;63844549068802;63844549068854;0;263,8323;c7bd047d00
4;63844549068979;63844549068994;0;94,36047;c7bd047d00
5;63844549069063;63844549069119;0;207,1443;c7bd047d00
6;63844549069229;63844549069271;0;306,9997;c7bd047d00
7;63844549069424;63844549069479;0;119,7296;c7bd047d00
8;63844549069641;63844549069670;0;110,5627;c7bd047d00
9;63844549069872;63844549069912;0;103,9447;c7bd047d00
10;63844549070107;63844549070148;0;152,3694;c7bd047d00
11;63844549070509;63844549070549;0;146,2288;c7bd047d00
12;63844549070975;63844549071027;0;72,56772;c7bd047d00
13;63844549071224;63844549071287;0;391,7165;c7bd047d00
14;63844549071457;63844549071496;0;151,8256;c7bd047d00
15;63844549073795;63844549073846;0;294,8388;c7bd047d00
16;63844549073996;63844549074047;0;373,0916;c7bd047d00
17;63844549074235;63844549074273;0;162,8869;c7bd047d00
18;63844549074447;63844549074482;0;250,5021;c7bd047d00
19;63844549074792;63844549074815;0;113,5643;c7bd047d00
20;63844549074958;63844549074993;0;102,4755;c7bd047d00
21;63844549075359;63844549075407;0;128,3248;c7bd047d00
22;63844549075714;63844549075737;0;129,4415;c7bd047d00
23;63844549076138;63844549076174;0;153,1077;c7bd047d00
24;63844549076634;63844549076682;0;211,8327;c7bd047d00
25;63844549076859;63844549076979;0;116,0251;c7bd047d00
26;63844549077087;63844549077150;0;114,79;c7bd047d00
27;63844549077175;63844549077201;0;338,0523;c7bd047d00
28;63844549077643;63844549077696;0;266,0766;c7bd047d00
29;63844549077712;63844549077763;0;370,5423;c7bd047d00
30;63844549078287;63844549078353;0;360,1964;c7bd047d00
31;63844549078368;63844549078395;0;78,27404;c7bd047d00
32;63844549078461;63844549078503;0;97,87378;c7bd047d00
33;63844549078824;63844549078864;0;130,2214;c7bd047d00
34;63844549078974;63844549079013;0;393,7424;c7bd047d00
35;63844549079190;63844549079216;0;158,6676;c7bd047d00
36;63844549079602;63844549079630;0;111,1612;c7bd047d00
37;63844549079856;63844549079909;0;214,1241;c7bd047d00
38;63844549080028;63844549080069;0;92,70161;c7bd047d00
39;63844549080348;63844549080390;0;228,2753;c7bd047d00
40;63844549080536;63844549080576;0;357,3379;c7bd047d00
41;63844549080912;63844549080965;0;237,9654;c7bd047d00
42;63844549081754;63844549081808;0;402,7733;c7bd047d00
43;63844549082309;63844549082360;0;329,5919;c7bd047d00
44;63844549082478;63844549082505;0;76,09867;c7bd047d00
45;63844549082739;63844549082781;0;135,4394;c7bd047d00
46;63844549083386;63844549083427;0;140,6977;c7bd047d00
47;63844549083509;63844549083550;0;165,0385;c7bd047d00
48;63844549084081;63844549084107;0;167,2594;c7bd047d00
49;63844549084381;63844549084437;0;270,3647;c7bd047d00
50;63844549084881;63844549084925;0;199,1943;c7bd047d00
51;63844549085040;63844549085085;0;402,0606;c7bd047d00
52;63844549085568;63844549085612;0;81,52319;c7bd047d00
53;63844549086745;63844549086787;0;105,1278;c7bd047d00
54;63844549087794;63844549087958;0;267,578;c7bd047d00
55;63844549088091;63844549088164;0;124,1261;c7bd047d00
56;63844549088225;63844549088314;0;93,27868;c7bd047d00
57;63844549088564;63844549088610;0;87,1779;c7bd047d00
58;63844549088982;63844549089027;0;134,4667;c7bd047d00
59;63844549089159;63844549089232;0;351,0735;c7bd047d00
60;63844549089504;63844549089545;0;111,6327;c7bd047d00
61;63844549089630;63844549089704;0;205,3766;c7bd047d00
62;63844549089830;63844549089859;0;139,2403;c7bd047d00
63;63844549089998;63844549090026;0;432,3501;c7bd047d00
64;63844549090040;63844549090054;0;270,1833;c7bd047d00
65;63844549090135;63844549090191;0;104,2834;c7bd047d00
66;63844549090328;63844549090371;0;163,9945;c7bd047d00
67;63844549090470;63844549090483;0;76,39925;c7bd047d00
