Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63844283638458;63844283638496;0;4,747388;d8ca832244
2;63844283638982;63844283639008;0;2,429225;d8ca832244
3;63844283639395;63844283639423;0;3,223308;d8ca832244
4;63844283639807;63844283639836;0;9,03157;d8ca832244
5;63844283639836;63844283639880;0;4,754192;d8ca832244
6;63844283639968;63844283640014;0;11,94195;d8ca832244
7;63844283640472;63844283640525;0;17,81458;d8ca832244
8;63844283641028;63844283641054;0;2,471718;d8ca832244
9;63844283641344;63844283641396;0;16,36433;d8ca832244
10;63844283641714;63844283641765;0;14,97748;d8ca832244
11;63844283642055;63844283642082;0;5,05222;d8ca832244
12;63844283642534;63844283642584;0;7,705865;d8ca832244
13;63844283642986;63844283643021;0;6,496579;d8ca832244
14;63844283643343;63844283643380;0;12,07896;d8ca832244
15;63844283643581;63844283643615;0;6,260904;d8ca832244
16;63844283643937;63844283643984;0;3,768371;d8ca832244
17;63844283644043;63844283644103;0;13,25023;d8ca832244
18;63844283644329;63844283644363;0;6,271886;d8ca832244
19;63844283644471;63844283644507;0;5,516474;d8ca832244
20;63844283644723;63844283644783;0;15,91751;d8ca832244
21;63844283644962;63844283645008;0;11,04659;d8ca832244
22;63844283645387;63844283645424;0;6,311618;d8ca832244
23;63844283645685;63844283645720;0;4,547389;d8ca832244
24;63844283646026;63844283646048;0;3,440711;d8ca832244
25;63844283646352;63844283646375;0;1,862566;d8ca832244
26;63844283646639;63844283646674;0;3,359812;d8ca832244
27;63844283646769;63844283646816;0;9,445001;d8ca832244
28;63844283647109;63844283647180;0;28,98734;d8ca832244
29;63844283647439;63844283647476;0;5,396011;d8ca832244
30;63844283647742;63844283647790;0;8,088401;d8ca832244
31;63844283648373;63844283648409;0;4,458433;d8ca832244
32;63844283648649;63844283648696;0;6,914947;d8ca832244
33;63844283648874;63844283648923;0;16,40181;d8ca832244
34;63844283649173;63844283649212;0;8,151241;d8ca832244
35;63844283649381;63844283649416;0;2,708122;d8ca832244
36;63844283649619;63844283649669;0;11,80744;d8ca832244
37;63844283650116;63844283650164;0;7,282194;d8ca832244
38;63844283651071;63844283651119;0;9,526998;d8ca832244
39;63844283651667;63844283651702;0;2,900161;d8ca832244
40;63844283651824;63844283651860;0;12,31355;d8ca832244
41;63844283651946;63844283651993;0;6,079574;d8ca832244
42;63844283652249;63844283652284;0;4,863289;d8ca832244
43;63844283652939;63844283652987;0;8,184893;d8ca832244
44;63844283653213;63844283653287;0;26,82704;d8ca832244
45;63844283653472;63844283653508;0;7,358875;d8ca832244
46;63844283653836;63844283653848;0;5,661159;d8ca832244
47;63844283654227;63844283654288;0;14,41666;d8ca832244
48;63844283654724;63844283654763;0;5,538455;d8ca832244
49;63844283655304;63844283655343;0;13,93927;d8ca832244
50;63844283655558;63844283655598;0;6,749216;d8ca832244
51;63844283655918;63844283655957;0;8,052836;d8ca832244
52;63844283656124;63844283656150;0;0,3292442;d8ca832244
53;63844283656163;63844283656189;0;3,962497;d8ca832244
54;63844283656554;63844283656607;0;15,59033;d8ca832244
