Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844283638458;63844283638496;0;105,4975;d8ca832244
2;63844283638982;63844283639008;0;80,97416;d8ca832244
3;63844283639395;63844283639423;0;92,09451;d8ca832244
4;63844283639807;63844283639836;0;361,2628;d8ca832244
5;63844283639836;63844283639880;0;158,4731;d8ca832244
6;63844283639968;63844283640014;0;238,8391;d8ca832244
7;63844283640472;63844283640525;0;296,9097;d8ca832244
8;63844283641028;63844283641054;0;98,86872;d8ca832244
9;63844283641344;63844283641396;0;297,5332;d8ca832244
10;63844283641714;63844283641765;0;272,3177;d8ca832244
11;63844283642055;63844283642082;0;126,3055;d8ca832244
12;63844283642534;63844283642584;0;154,1173;d8ca832244
13;63844283642986;63844283643021;0;162,4145;d8ca832244
14;63844283643343;63844283643380;0;268,4213;d8ca832244
15;63844283643581;63844283643615;0;156,5226;d8ca832244
16;63844283643937;63844283643984;0;107,6677;d8ca832244
17;63844283644043;63844283644103;0;265,0045;d8ca832244
18;63844283644329;63844283644363;0;156,7972;d8ca832244
19;63844283644471;63844283644507;0;157,6135;d8ca832244
20;63844283644723;63844283644783;0;289,4093;d8ca832244
21;63844283644962;63844283645008;0;245,4797;d8ca832244
22;63844283645387;63844283645424;0;157,7905;d8ca832244
23;63844283645685;63844283645720;0;129,9254;d8ca832244
24;63844283646026;63844283646048;0;137,6284;d8ca832244
25;63844283646352;63844283646375;0;74,50265;d8ca832244
26;63844283646639;63844283646674;0;95,99462;d8ca832244
27;63844283646769;63844283646816;0;209,8889;d8ca832244
28;63844283647109;63844283647180;0;362,3418;d8ca832244
29;63844283647439;63844283647476;0;154,1718;d8ca832244
30;63844283647742;63844283647790;0;161,768;d8ca832244
31;63844283648373;63844283648409;0;127,3838;d8ca832244
32;63844283648649;63844283648696;0;153,6655;d8ca832244
33;63844283648874;63844283648923;0;328,0363;d8ca832244
34;63844283649173;63844283649212;0;203,781;d8ca832244
35;63844283649381;63844283649416;0;90,27072;d8ca832244
36;63844283649619;63844283649669;0;236,1488;d8ca832244
37;63844283650116;63844283650164;0;182,0549;d8ca832244
38;63844283651071;63844283651119;0;190,54;d8ca832244
39;63844283651667;63844283651702;0;96,67203;d8ca832244
40;63844283651824;63844283651860;0;273,6345;d8ca832244
41;63844283651946;63844283651993;0;151,9893;d8ca832244
42;63844283652249;63844283652284;0;162,1096;d8ca832244
43;63844283652939;63844283652987;0;148,8162;d8ca832244
44;63844283653213;63844283653287;0;357,6939;d8ca832244
45;63844283653472;63844283653508;0;210,2536;d8ca832244
46;63844283653836;63844283653848;0;283,058;d8ca832244
47;63844283654227;63844283654288;0;262,1211;d8ca832244
48;63844283654724;63844283654763;0;123,0768;d8ca832244
49;63844283655304;63844283655343;0;278,7854;d8ca832244
50;63844283655558;63844283655598;0;168,7304;d8ca832244
51;63844283655918;63844283655957;0;201,3209;d8ca832244
52;63844283656124;63844283656150;0;13,16977;d8ca832244
53;63844283656163;63844283656189;0;132,0832;d8ca832244
54;63844283656554;63844283656607;0;311,8065;d8ca832244
55;63844283656863;63844283656914;0;402,8496;d8ca832244
56;63844283657249;63844283657262;0;429,188;d8ca832244
57;63844283657349;63844283657362;0;129,6607;d8ca832244
58;63844283657629;63844283657685;0;162,0594;d8ca832244
