Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844046199334;63844046199347;0;349,6823;dd6f89690d
2;63844046199427;63844046199522;0;86,45071;dd6f89690d
3;63844046199591;63844046199659;0;88,84915;dd6f89690d
4;63844046199673;63844046199688;0;145,2628;dd6f89690d
5;63844046199745;63844046199759;0;235,9151;dd6f89690d
6;63844046199917;63844046199946;0;172,0242;dd6f89690d
7;63844046199960;63844046200089;0;149,5735;dd6f89690d
8;63844046200089;63844046200239;0;150,4041;dd6f89690d
9;63844046200268;63844046200360;0;152,5381;dd6f89690d
10;63844046200373;63844046200438;0;62,0325;dd6f89690d
11;63844046200451;63844046200463;0;263,5027;dd6f89690d
12;63844046200515;63844046200681;0;86,79269;dd6f89690d
13;63844046201048;63844046201112;0;214,3473;dd6f89690d
14;63844046201326;63844046201351;0;119,6242;dd6f89690d
15;63844046201490;63844046201515;0;88,63826;dd6f89690d
16;63844046201666;63844046201703;0;233,9397;dd6f89690d
17;63844046202316;63844046202341;0;105,165;dd6f89690d
18;63844046202717;63844046202779;0;155,0784;dd6f89690d
19;63844046202988;63844046203035;0;267,6775;dd6f89690d
20;63844046203227;63844046203276;0;320,6088;dd6f89690d
21;63844046203467;63844046203526;0;331,428;dd6f89690d
22;63844046203623;63844046203670;0;232,0534;dd6f89690d
23;63844046203768;63844046203827;0;239,1356;dd6f89690d
24;63844046204020;63844046204067;0;223,5944;dd6f89690d
25;63844046204295;63844046204306;0;307,7168;dd6f89690d
26;63844046204645;63844046204837;0;14,93867;dd6f89690d
27;63844046204866;63844046204880;0;84,59184;dd6f89690d
28;63844046204893;63844046205112;0;41,34054;dd6f89690d
29;63844046205334;63844046205363;0;182,1169;dd6f89690d
30;63844046206473;63844046206532;0;483,6602;dd6f89690d
31;63844046206545;63844046206602;0;162,4283;dd6f89690d
32;63844046206685;63844046206955;0;36,99101;dd6f89690d
33;63844046206967;63844046207162;0;56,28249;dd6f89690d
34;63844046207516;63844046207566;0;348,2632;dd6f89690d
35;63844046207737;63844046207749;0;271,2457;dd6f89690d
36;63844046207811;63844046207871;0;276,2542;dd6f89690d
37;63844046208121;63844046208178;0;156,9267;dd6f89690d
38;63844046208977;63844046209011;0;135,0004;dd6f89690d
39;63844046209828;63844046209862;0;129,2641;dd6f89690d
40;63844046210151;63844046210187;0;128,7236;dd6f89690d
41;63844046210520;63844046210555;0;168,256;dd6f89690d
42;63844046210761;63844046210807;0;154,6689;dd6f89690d
43;63844046211433;63844046211490;0;207,4865;dd6f89690d
44;63844046211981;63844046212005;0;309,6495;dd6f89690d
45;63844046212076;63844046212111;0;111,3883;dd6f89690d
46;63844046212221;63844046212281;0;85,1035;dd6f89690d
47;63844046212293;63844046212355;0;179,316;dd6f89690d
48;63844046212455;63844046212517;0;149,8618;dd6f89690d
49;63844046212555;63844046212604;0;159,8865;dd6f89690d
50;63844046212679;63844046212804;0;105,8324;dd6f89690d
51;63844046212855;63844046213007;0;12,84746;dd6f89690d
52;63844046213112;63844046213164;0;158,6972;dd6f89690d
53;63844046213582;63844046213622;0;177,248;dd6f89690d
54;63844046214089;63844046214140;0;441,4863;dd6f89690d
55;63844046214310;63844046214322;0;74,21938;dd6f89690d
56;63844046214754;63844046214805;0;382,6399;dd6f89690d
57;63844046214988;63844046215013;0;111,347;dd6f89690d
58;63844046215346;63844046215399;0;162,2779;dd6f89690d
59;63844046215991;63844046216031;0;114,7651;dd6f89690d
60;63844046216691;63844046216728;0;115,0955;dd6f89690d
61;63844046216846;63844046216884;0;211,7081;dd6f89690d
62;63844046217691;63844046217717;0;136,768;dd6f89690d
63;63844046217914;63844046217979;0;126,279;dd6f89690d
64;63844046218409;63844046218490;0;232,2865;dd6f89690d
65;63844046218663;63844046218783;0;110,4296;dd6f89690d
66;63844046218851;63844046218921;0;106,9275;dd6f89690d
67;63844046219003;63844046219058;0;132,0233;dd6f89690d
68;63844046219421;63844046219477;0;104,0309;dd6f89690d
69;63844046220051;63844046220111;0;342,1526;dd6f89690d
70;63844046220536;63844046220579;0;166,9285;dd6f89690d
71;63844046220900;63844046220940;0;122,5372;dd6f89690d
72;63844046221091;63844046221132;0;366,425;dd6f89690d
73;63844046221200;63844046221239;0;177,7639;dd6f89690d
74;63844046221345;63844046221449;0;103,6367;dd6f89690d
75;63844046221462;63844046221514;0;292,2635;dd6f89690d
76;63844046221604;63844046221629;0;86,60613;dd6f89690d
77;63844046221745;63844046221822;0;396,4561;dd6f89690d
78;63844046222020;63844046222087;0;127,5161;dd6f89690d
79;63844046222234;63844046222365;0;319,3987;dd6f89690d
80;63844046222378;63844046222403;0;77,96329;dd6f89690d
81;63844046222428;63844046222529;0;100,6719;dd6f89690d
82;63844046222679;63844046222703;0;163,0509;dd6f89690d
83;63844046223680;63844046223718;0;104,5875;dd6f89690d
84;63844046224148;63844046224201;0;124,5084;dd6f89690d
85;63844046224659;63844046224724;0;268,0928;dd6f89690d
86;63844046224750;63844046224803;0;170,8913;dd6f89690d
87;63844046224894;63844046224987;0;76,88915;dd6f89690d
88;63844046226420;63844046226472;0;79,80421;dd6f89690d
89;63844046226499;63844046226722;0;26,33877;dd6f89690d
90;63844046226789;63844046226868;0;107,2836;dd6f89690d
91;63844046226881;63844046226972;0;19,56207;dd6f89690d
92;63844046227038;63844046227091;0;100,1145;dd6f89690d
93;63844046227537;63844046227576;0;218,4031;dd6f89690d
94;63844046228751;63844046228918;0;207,9529;dd6f89690d
95;63844046228946;63844046228973;0;84,20589;dd6f89690d
96;63844046228988;63844046229045;0;148,5223;dd6f89690d
97;63844046229059;63844046229073;0;100,2508;dd6f89690d
98;63844046229088;63844046229102;0;104,332;dd6f89690d
99;63844046229401;63844046229457;0;92,58676;dd6f89690d
100;63844046230140;63844046230169;0;658,3825;dd6f89690d
101;63844046230198;63844046230255;0;184,5563;dd6f89690d
102;63844046230439;63844046230580;0;55,79449;dd6f89690d
103;63844046230607;63844046230622;0;141,2391;dd6f89690d
104;63844046230678;63844046230842;0;49,23056;dd6f89690d
105;63844046230894;63844046231013;0;94,14476;dd6f89690d
106;63844046231025;63844046231051;0;74,84241;dd6f89690d
107;63844046231391;63844046231429;0;94,28004;dd6f89690d
108;63844046231936;63844046231963;0;79,58718;dd6f89690d
109;63844046232722;63844046232762;0;166,5332;dd6f89690d
110;63844046233005;63844046233073;0;187,3127;dd6f89690d
111;63844046233637;63844046233665;0;117,3685;dd6f89690d
112;63844046234584;63844046234624;0;109,0253;dd6f89690d
113;63844046235014;63844046235053;0;180,8764;dd6f89690d
114;63844046235078;63844046235131;0;140,9071;dd6f89690d
115;63844046235301;63844046235314;0;404,0001;dd6f89690d
116;63844046235327;63844046235393;0;199,5791;dd6f89690d
117;63844046236749;63844046236777;0;402,8417;dd6f89690d
118;63844046236803;63844046236816;0;115,0145;dd6f89690d
119;63844046236831;63844046236857;0;172,1351;dd6f89690d
120;63844046237017;63844046237178;0;45,94695;dd6f89690d
121;63844046237192;63844046237218;0;109,1364;dd6f89690d
122;63844046237244;63844046237257;0;78,82244;dd6f89690d
123;63844046237283;63844046237402;0;79,10147;dd6f89690d
124;63844046237480;63844046237572;0;135,2956;dd6f89690d
125;63844046237733;63844046237772;0;75,22114;dd6f89690d
126;63844046237868;63844046237909;0;240,0463;dd6f89690d
127;63844046237990;63844046238070;0;99,04129;dd6f89690d
128;63844046238125;63844046238165;0;116,5163;dd6f89690d
129;63844046238178;63844046238349;0;73,64906;dd6f89690d
130;63844046238376;63844046238415;0;128,5713;dd6f89690d
131;63844046238468;63844046238738;0;115,8168;dd6f89690d
132;63844046238827;63844046238916;0;154,7547;dd6f89690d
133;63844046238956;63844046238993;0;128,5404;dd6f89690d
134;63844046239071;63844046239151;0;84,94399;dd6f89690d
135;63844046239232;63844046239300;0;90,29165;dd6f89690d
136;63844046239382;63844046239436;0;247,3438;dd6f89690d
137;63844046240124;63844046240190;0;150,3468;dd6f89690d
138;63844046240256;63844046240322;0;104,5247;dd6f89690d
139;63844046240336;63844046240361;0;97,66407;dd6f89690d
140;63844046240644;63844046240723;0;383,6075;dd6f89690d
141;63844046240854;63844046240880;0;101,652;dd6f89690d
142;63844046241288;63844046241340;0;139,7284;dd6f89690d
143;63844046241523;63844046241562;0;167,5871;dd6f89690d
144;63844046241961;63844046242026;0;385,9993;dd6f89690d
145;63844046242180;63844046242205;0;93,53196;dd6f89690d
146;63844046242476;63844046242539;0;403,314;dd6f89690d
147;63844046243145;63844046243198;0;205,2886;dd6f89690d
148;63844046243547;63844046243587;0;238,2239;dd6f89690d
149;63844046243986;63844046244024;0;120,446;dd6f89690d
150;63844046244321;63844046244371;0;366,2097;dd6f89690d
151;63844046244933;63844046244970;0;157,9062;dd6f89690d
152;63844046245474;63844046245513;0;89,90205;dd6f89690d
153;63844046245733;63844046245758;0;207,2729;dd6f89690d
154;63844046246014;63844046246054;0;168,0562;dd6f89690d
155;63844046246361;63844046246426;0;159,9683;dd6f89690d
156;63844046247133;63844046247186;0;197,7289;dd6f89690d
157;63844046247856;63844046247926;0;250,9734;dd6f89690d
158;63844046248200;63844046248244;0;196,5331;dd6f89690d
159;63844046248753;63844046248826;0;175,4676;dd6f89690d
160;63844046249104;63844046249164;0;198,3274;dd6f89690d
161;63844046250847;63844046250953;0;144,1432;dd6f89690d
162;63844046251144;63844046251158;0;87,13553;dd6f89690d
163;63844046251172;63844046251203;0;131,2155;dd6f89690d
164;63844046252601;63844046252631;0;85,16704;dd6f89690d
165;63844046253006;63844046253123;0;278,0664;dd6f89690d
166;63844046253266;63844046253309;0;256,7027;dd6f89690d
167;63844046253396;63844046253425;0;150,338;dd6f89690d
168;63844046253455;63844046253512;0;76,99217;dd6f89690d
169;63844046253512;63844046253555;0;147,8049;dd6f89690d
170;63844046253827;63844046253871;0;175,538;dd6f89690d
171;63844046253988;63844046254046;0;271,5869;dd6f89690d
172;63844046254703;63844046254790;0;190,8825;dd6f89690d
173;63844046254804;63844046254917;0;210,1757;dd6f89690d
174;63844046254932;63844046255111;0;132,0536;dd6f89690d
175;63844046255137;63844046255190;0;296,1627;dd6f89690d
176;63844046255203;63844046255243;0;52,54852;dd6f89690d
177;63844046255256;63844046255376;0;191,8392;dd6f89690d
178;63844046255390;63844046255444;0;287,9231;dd6f89690d
179;63844046255527;63844046255599;0;101,7388;dd6f89690d
180;63844046255694;63844046255761;0;316,2566;dd6f89690d
181;63844046255854;63844046255917;0;110,8102;dd6f89690d
182;63844046257142;63844046257179;0;110,2983;dd6f89690d
183;63844046257606;63844046257711;0;224,5177;dd6f89690d
184;63844046258183;63844046258210;0;141,8388;dd6f89690d
185;63844046258722;63844046258748;0;165,7129;dd6f89690d
186;63844046258971;63844046258999;0;402,5779;dd6f89690d
187;63844046259194;63844046259287;0;98,56857;dd6f89690d
188;63844046259361;63844046259412;0;84,22007;dd6f89690d
189;63844046259740;63844046259777;0;332,8037;dd6f89690d
190;63844046259933;63844046259981;0;118,2217;dd6f89690d
191;63844046260090;63844046260161;0;408,3479;dd6f89690d
192;63844046260367;63844046260427;0;287,9185;dd6f89690d
193;63844046260439;63844046260452;0;98,8705;dd6f89690d
194;63844046260512;63844046260562;0;65,94998;dd6f89690d
195;63844046260575;63844046260624;0;308,8435;dd6f89690d
196;63844046260748;63844046260760;0;75,35056;dd6f89690d
197;63844046260930;63844046260969;0;310,0966;dd6f89690d
198;63844046261138;63844046261165;0;131,1467;dd6f89690d
199;63844046261371;63844046261435;0;475,1124;dd6f89690d
200;63844046261631;63844046261682;0;233,8466;dd6f89690d
201;63844046261964;63844046262221;0;57,22422;dd6f89690d
202;63844046262235;63844046262321;0;64,88683;dd6f89690d
203;63844046262407;63844046262467;0;119,997;dd6f89690d
204;63844046262481;63844046262497;0;78,77829;dd6f89690d
205;63844046262703;63844046262747;0;99,45438;dd6f89690d
206;63844046263559;63844046263660;0;360,9759;dd6f89690d
207;63844046263703;63844046263733;0;50,69474;dd6f89690d
208;63844046263759;63844046263950;0;13,23547;dd6f89690d
209;63844046263964;63844046264028;0;219,5514;dd6f89690d
210;63844046264028;63844046264131;0;265,2554;dd6f89690d
211;63844046264143;63844046264167;0;126,8826;dd6f89690d
212;63844046264167;63844046264283;0;114,4619;dd6f89690d
213;63844046264331;63844046264331;0;237,2859;dd6f89690d
214;63844046264608;63844046264655;0;266,7292;dd6f89690d
215;63844046264820;63844046264879;0;184,8607;dd6f89690d
216;63844046264987;63844046265023;0;157,8;dd6f89690d
217;63844046265179;63844046265214;0;204,4617;dd6f89690d
218;63844046265472;63844046265506;0;98,62093;dd6f89690d
219;63844046265680;63844046265715;0;151,2958;dd6f89690d
220;63844046265911;63844046265935;0;87,04565;dd6f89690d
221;63844046266157;63844046266248;0;273,6871;dd6f89690d
222;63844046266502;63844046266550;0;94,2207;dd6f89690d
223;63844046266704;63844046266762;0;148,0309;dd6f89690d
224;63844046266925;63844046266959;0;128,7769;dd6f89690d
225;63844046267179;63844046267225;0;194,8676;dd6f89690d
226;63844046268005;63844046268055;0;222,5827;dd6f89690d
227;63844046268303;63844046268349;0;263,9883;dd6f89690d
228;63844046268535;63844046268591;0;227,6832;dd6f89690d
229;63844046268915;63844046268950;0;125,1404;dd6f89690d
230;63844046269355;63844046269400;0;276,5219;dd6f89690d
