Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63844814857445;63844814857525;0;87,23837;ebbdb53346
2;63844814857566;63844814857607;0;180,1992;ebbdb53346
3;63844814857704;63844814857802;0;171,8568;ebbdb53346
4;63844814857954;63844814857981;0;220,417;ebbdb53346
5;63844814858036;63844814858076;0;152,6196;ebbdb53346
6;63844814858091;63844814858118;0;228,883;ebbdb53346
7;63844814858132;63844814858175;0;65,38764;ebbdb53346
8;63844814858202;63844814858322;0;92,0534;ebbdb53346
9;63844814858473;63844814858515;0;213,8908;ebbdb53346
10;63844814858805;63844814858843;0;163,9668;ebbdb53346
11;63844814859061;63844814859088;0;150,2589;ebbdb53346
12;63844814859251;63844814859279;0;134,6414;ebbdb53346
13;63844814859467;63844814859492;0;151,235;ebbdb53346
14;63844814859668;63844814859693;0;139,1009;ebbdb53346
15;63844814859858;63844814859948;0;300,4408;ebbdb53346
16;63844814860103;63844814860130;0;386,8159;ebbdb53346
17;63844814861654;63844814861717;0;297,4839;ebbdb53346
18;63844814861845;63844814861858;0;216,9348;ebbdb53346
19;63844814861869;63844814861907;0;131,2076;ebbdb53346
20;63844814861946;63844814862104;0;109,8517;ebbdb53346
21;63844814862152;63844814862175;0;223,7316;ebbdb53346
22;63844814862363;63844814862409;0;216,5622;ebbdb53346
23;63844814862740;63844814862762;0;104,3189;ebbdb53346
24;63844814862927;63844814862939;0;168,8746;ebbdb53346
25;63844814863231;63844814863254;0;186,703;ebbdb53346
26;63844814863572;63844814863595;0;144,1848;ebbdb53346
27;63844814864332;63844814864356;0;266,1749;ebbdb53346
28;63844814864495;63844814864517;0;147,8645;ebbdb53346
29;63844814864694;63844814864719;0;156,6236;ebbdb53346
30;63844814865307;63844814865330;0;174,712;ebbdb53346
31;63844814865393;63844814865404;0;229,1606;ebbdb53346
32;63844814865668;63844814865703;0;123,7335;ebbdb53346
33;63844814865915;63844814865927;0;156,5958;ebbdb53346
34;63844814866263;63844814866275;0;254,8657;ebbdb53346
35;63844814866493;63844814866516;0;260,0973;ebbdb53346
36;63844814866906;63844814866945;0;146,1594;ebbdb53346
37;63844814866957;63844814867008;0;100,9607;ebbdb53346
38;63844814867045;63844814867070;0;175,3891;ebbdb53346
39;63844814867070;63844814867173;0;143,8653;ebbdb53346
40;63844814867202;63844814867306;0;108,3437;ebbdb53346
41;63844814867358;63844814867384;0;190,5152;ebbdb53346
42;63844814867663;63844814867705;0;380,7134;ebbdb53346
43;63844814867893;63844814867918;0;113,6182;ebbdb53346
44;63844814868132;63844814868174;0;429,1904;ebbdb53346
45;63844814868295;63844814868350;0;93,0758;ebbdb53346
46;63844814868619;63844814868661;0;301,9086;ebbdb53346
47;63844814868770;63844814868810;0;388,5201;ebbdb53346
48;63844814869315;63844814869354;0;201,4033;ebbdb53346
49;63844814869658;63844814869686;0;135,0739;ebbdb53346
50;63844814870624;63844814870683;0;300,4068;ebbdb53346
51;63844814870816;63844814870847;0;262,1888;ebbdb53346
52;63844814870919;63844814870979;0;64,03011;ebbdb53346
53;63844814871142;63844814871200;0;246,4539;ebbdb53346
54;63844814871924;63844814871984;0;223,8306;ebbdb53346
55;63844814872574;63844814872665;0;199,1749;ebbdb53346
56;63844814872695;63844814872710;0;133,1948;ebbdb53346
57;63844814872786;63844814872848;0;149,5283;ebbdb53346
58;63844814872861;63844814872903;0;19,85921;ebbdb53346
59;63844814872947;63844814873028;0;96,12618;ebbdb53346
60;63844814873084;63844814873183;0;53,876;ebbdb53346
61;63844814873279;63844814873347;0;93,38387;ebbdb53346
62;63844814874541;63844814874593;0;272,4496;ebbdb53346
63;63844814874707;63844814874770;0;213,1504;ebbdb53346
64;63844814875172;63844814875236;0;329,6151;ebbdb53346
65;63844814875439;63844814875463;0;88,80492;ebbdb53346
66;63844814876035;63844814876085;0;295,6284;ebbdb53346
67;63844814876224;63844814876287;0;292,485;ebbdb53346
68;63844814876299;63844814876363;0;66,0893;ebbdb53346
69;63844814876376;63844814876484;0;124,3304;ebbdb53346
70;63844814876511;63844814876619;0;123,8614;ebbdb53346
71;63844814876619;63844814876647;0;85,9506;ebbdb53346
72;63844814876688;63844814876715;0;220,4289;ebbdb53346
73;63844814877483;63844814877524;0;174,3249;ebbdb53346
74;63844814877756;63844814877837;0;299,1815;ebbdb53346
75;63844814878314;63844814878352;0;372,569;ebbdb53346
76;63844814878686;63844814878739;0;294,4541;ebbdb53346
77;63844814878913;63844814878938;0;134,1472;ebbdb53346
78;63844814879780;63844814879834;0;127,8216;ebbdb53346
79;63844814879952;63844814880005;0;131,6307;ebbdb53346
80;63844814880390;63844814880430;0;178,8905;ebbdb53346
81;63844814881163;63844814881206;0;214,4866;ebbdb53346
82;63844814881347;63844814881390;0;266,2231;ebbdb53346
83;63844814881461;63844814881516;0;116,6993;ebbdb53346
