"User_ID","Mean_Answer_Q1","Mean_Answer_Q2","Age","Height","Weight","Gender","Trainingsversion"
"0a8d84e96a",2.33333333333333,2.66666666666667,35,180,78,"M","NonAdaptive"
"0c8862eb19",3,2.88888888888889,27,182,95,"M","Adaptive"
"192cedabcf",2.88888888888889,2.88888888888889,24,160,53,"F","NonAdaptive"
"1c6e0ea7da",4.44444444444444,4.44444444444444,24,180,81,"M","Adaptive"
"229f4576b9",3.22222222222222,3.11111111111111,31,158,56,"F","NonAdaptive"
"235a8f471d",2.55555555555556,1.44444444444444,27,165,70,"F","Adaptive"
"2720d37c22",4,3.44444444444444,20,160,48,"F","NonAdaptive"
"2b3497a4be",2.77777777777778,3,29,178,89,"M","Adaptive"
"319e183604",2.66666666666667,2.55555555555556,30,185,85,"M","NonAdaptive"
"3939936f19",2.44444444444444,2.66666666666667,16,175,60,"M","Adaptive"
"4195c2f34e",2.66666666666667,2.66666666666667,24,154,48,"F","NonAdaptive"
"44fe85427e",4.55555555555556,4.55555555555556,32,182,105,"M","Adaptive"
"47b3054ad0",3.33333333333333,3.11111111111111,34,167,54,"F","Adaptive"
"495d99c243",2.77777777777778,3,27,189,70,"M","Adaptive"
"4fbe985576",1.88888888888889,2,20,186,89,"M","NonAdaptive"
"505823420d",4,4,26,185,82,"M","Adaptive"
"5262348c36",3.55555555555556,3.33333333333333,27,181,85,"M","Adaptive"
"5546a2f355",3,2.77777777777778,25,182,65,"M","Adaptive"
"6511a4907e",3.77777777777778,1.77777777777778,16,194,72,"M","Adaptive"
"66bb61393c",3,3,21,173,64,"F","Adaptive"
"68a5b124d8",2.11111111111111,1.88888888888889,29,173,70,"M","Adaptive"
"70f1b2e31f",3,3.11111111111111,25,187,71,"M","NonAdaptive"
"78ef50aafd",3.11111111111111,3,20,175,70,"M","NonAdaptive"
"7bee04cb79",3,2.88888888888889,28,171,60,"M","Adaptive"
"87e4f56616",3.33333333333333,3.55555555555556,27,178,73,"F","Adaptive"
"9010301179",2.66666666666667,2.77777777777778,26,199,100,"M","Adaptive"
"998f101ac0",2.55555555555556,2.44444444444444,25,157,48,"F","Adaptive"
"9bb91adf73",2.77777777777778,2.88888888888889,26,167,80,"F","Adaptive"
"9bc69d3da4",2.77777777777778,3.55555555555556,27,192,96,"M","NonAdaptive"
"a144f91c89",4.22222222222222,4.33333333333333,21,187,73,"M","NonAdaptive"
"a453d61137",3.88888888888889,3.77777777777778,25,187,105,"M","NonAdaptive"
"a4e491a559",2.77777777777778,2.77777777777778,25,185,64,"M","NonAdaptive"
